season,player_id,display_name,touches,bucket,age,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2002,00-0021253,Jarrod Baxter,12,<150,23,13.0,1.2076923076923076,15.7,0,0.0,0.0,True
2015,00-0027218,Joique Bell,112,<150,29,13.0,8.13076923076923,105.7,0,0.0,0.0,True
2012,00-0026579,Kahlil Bell,31,<150,26,5.0,1.78,8.9,0,0.0,0.0,True
2017,00-0030496,Le'Veon Bell,407,350+,25,15.0,22.89333333333333,343.4,0,0.0,0.0,True
2010,00-0024011,Mike Bell,54,<150,27,12.0,1.9666666666666668,23.6,0,0.0,0.0,True
2008,00-0022893,Tatum Bell,54,<150,27,6.0,8.766666666666667,52.6,0,0.0,0.0,True
2022,00-0036383,Eno Benjamin,102,<150,23,12.0,7.483333333333333,89.8,0,0.0,0.0,True
2003,00-0001098,Brandon Bennett,81,<150,30,14.0,4.564285714285714,63.9,0,0.0,0.0,True
2007,00-0020514,Michael Bennett,75,<150,29,13.0,4.523076923076923,58.8,0,0.0,0.0,True
2002,00-0001112,Sean Bennett,5,<150,25,5.0,1.7399999999999998,8.7,0,0.0,0.0,True
2012,00-0023439,Cedric Benson,85,<150,30,5.0,10.9,54.5,0,0.0,0.0,True
2024,00-0039921,Trey Benson,69,<150,22,12.0,3.9166666666666665,47.0,4.0,8.85,35.4,False
2021,00-0030456,Giovani Bernard,31,<150,30,10.0,5.91,59.1,0,0.0,0.0,True
2011,00-0027880,Jahvid Best,111,<150,22,6.0,18.78333333333333,112.7,0,0.0,0.0,True
2005,00-0001215,Jerome Bettis,114,<150,33,12.0,8.233333333333333,98.8,0,0.0,0.0,True
2010,00-0021184,Ladell Betts,68,<150,31,7.0,8.871428571428572,62.1,0,0.0,0.0,True
2001,00-0001224,Tim Biakabutuka,65,<150,27,5.0,9.82,49.1,0,0.0,0.0,True
2018,00-0031102,Kapri Bibbs,37,<150,25,9.0,6.866666666666666,61.8,0,0.0,0.0,True
2003,00-0022174,Erik Bickerstaff,19,<150,23,4.0,2.9,11.6,0,0.0,0.0,True
2024,00-0038555,Tank Bigsby,175,150-199,22,15.0,8.6,129.0,11.0,4.890909090909091,53.8,False
2023,00-0037429,Raheem Blackshear,20,<150,25,8.0,2.1625,17.3,0,0.0,0.0,True
2005,00-0020315,Derrick Blaylock,20,<150,26,6.0,1.6666666666666667,10.0,0,0.0,0.0,True
2018,00-0027325,LeGarrette Blount,164,150-199,32,16.0,5.40625,86.5,0,0.0,0.0,True
2018,00-0031075,Alfred Blue,170,150-199,27,16.0,6.08125,97.3,0,0.0,0.0,True
2015,00-0029239,Brandon Bolden,82,<150,25,11.0,6.336363636363637,69.7,0,0.0,0.0,True
2011,00-0026607,Brock Bolen,4,<150,26,6.0,0.6666666666666666,4.0,0,0.0,0.0,True
2019,00-0034578,Reggie Bonnafon,22,<150,23,8.0,3.6625,29.3,0,0.0,0.0,True
2021,00-0032972,Devontae Booker,185,150-199,29,16.0,9.00625,144.1,0,0.0,0.0,True
2024,00-0032104,Ameer Abdullah,106,<150,31,13.0,9.63076923076923,125.2,12.0,3.158333333333333,37.9,False
2003,00-0000007,Rabih Abdullah,26,<150,28,12.0,1.4333333333333331,17.2,6.0,1.5333333333333332,9.2,False
2023,00-0039040,De'Von Achane,130,<150,22,11.0,17.336363636363636,190.7,17.0,17.50588235294118,297.6,False
2018,00-0034457,Josh Adams,127,<150,22,12.0,6.841666666666666,82.1,0,0.0,0.0,True
2010,00-0024245,Joseph Addai,135,<150,27,8.0,12.8625,102.9,12.0,6.133333333333333,73.6,False
2022,00-0036020,Salvon Ahmed,13,<150,24,6.0,2.3666666666666667,14.2,7.0,6.128571428571428,42.9,False
2017,00-0031590,Jay Ajayi,232,200-249,24,14.0,9.65,135.1,4.0,10.9,43.6,False
2020,00-0036414,Cam Akers,156,150-199,21,11.0,9.254545454545454,101.8,0,0.0,0.0,True
2007,00-0019647,Shaun Alexander,221,200-249,30,13.0,9.476923076923075,123.2,4.0,1.075,4.3,False
2001,00-0000210,James Allen,165,150-199,26,16.0,6.78125,108.5,16.0,8.33125,133.3,False
2015,00-0031577,Javorius Allen,182,150-199,24,16.0,9.04375,144.7,0,0.0,0.0,True
2023,00-0037263,Tyler Allgeier,204,200-249,23,17.0,8.094117647058823,137.6,17.0,6.258823529411765,106.4,False
2017,00-0029854,C.J. Anderson,273,250-299,26,16.0,10.94375,175.1,9.0,7.48888888888889,67.4,False
2002,00-0021048,Damien Anderson,27,<150,23,4.0,3.275,13.1,11.0,1.4909090909090907,16.4,False
2003,00-0019594,Mike Anderson,82,<150,30,10.0,7.3,73.0,0,0.0,0.0,True
2020,00-0033296,Alex Armah,11,<150,26,12.0,0.6416666666666667,7.7,5.0,1.84,9.2,False
2007,00-0023479,J.J. Arrington,55,<150,24,14.0,4.778571428571429,66.9,11.0,8.381818181818183,92.2,False
2018,00-0031599,Cameron Artis-Payne,22,<150,28,4.0,4.35,17.4,0,0.0,0.0,True
2015,00-0028198,Matt Asiata,48,<150,28,15.0,2.893333333333333,43.4,16.0,8.28125,132.5,False
2006,00-0000552,Obafemi Ayanbadejo,26,<150,31,10.0,3.46,34.6,0,0.0,0.0,True
2011,00-0026432,Lance Ball,112,<150,26,15.0,5.266666666666667,79.0,10.0,3.86,38.6,False
2013,00-0030522,Montee Ball,140,<150,23,15.0,7.2266666666666675,108.4,5.0,7.279999999999999,36.4,False
2020,00-0034799,Kalen Ballage,120,<150,25,11.0,8.536363636363637,93.9,8.0,0.8,6.4,False
2005,00-0000745,Tiki Barber,411,350+,30,16.0,22.4625,359.4,16.0,18.66875,298.7,False
2020,00-0032741,Peyton Barber,98,<150,26,14.0,3.928571428571429,55.0,9.0,5.544444444444444,49.9,False
2010,00-0023544,Marion Barber,124,<150,27,13.0,5.946153846153846,77.3,11.0,7.836363636363637,86.2,False
2024,00-0034844,Saquon Barkley,378,350+,27,16.0,22.24375,355.9,16.0,14.53125,232.5,False
2005,00-0020474,Kevan Barlow,207,200-249,26,12.0,10.766666666666666,129.2,12.0,6.841666666666666,82.1,False
2018,00-0030465,Kenjon Barner,20,<150,29,6.0,1.4,8.4,8.0,2.14,17.12,False
2013,00-0025701,Jackie Battle,40,<150,30,8.0,3.475,27.8,6.0,2.45,14.7,False
2014,00-0027218,Joique Bell,257,250-299,28,15.0,13.213333333333331,198.2,13.0,8.13076923076923,105.7,False
2009,00-0026579,Kahlil Bell,41,<150,23,7.0,3.3428571428571425,23.4,0,0.0,0.0,True
2021,00-0030496,Le'Veon Bell,44,<150,29,8.0,4.7875,38.3,0,0.0,0.0,True
2006,00-0024011,Mike Bell,177,150-199,23,14.0,10.821428571428571,151.5,0,0.0,0.0,True
2007,00-0022893,Tatum Bell,58,<150,26,5.0,8.5,42.5,6.0,8.766666666666667,52.6,False
2021,00-0036383,Eno Benjamin,40,<150,22,7.0,4.0,28.0,12.0,7.483333333333333,89.8,False
2002,00-0001098,Brandon Bennett,51,<150,29,10.0,5.04,50.4,14.0,4.564285714285714,63.9,False
2006,00-0020514,Michael Bennett,45,<150,28,8.0,4.5875,36.7,13.0,4.523076923076923,58.8,False
2011,00-0023439,Cedric Benson,288,250-299,29,15.0,10.793333333333331,161.9,5.0,10.9,54.5,False
2020,00-0030456,Giovani Bernard,171,150-199,29,16.0,9.88125,158.1,10.0,5.91,59.1,False
2010,00-0027880,Jahvid Best,230,200-249,21,15.0,13.133333333333333,197.0,6.0,18.78333333333333,112.7,False
2004,00-0001215,Jerome Bettis,256,250-299,32,14.0,13.364285714285714,187.1,12.0,8.233333333333333,98.8,False
2009,00-0021184,Ladell Betts,73,<150,30,10.0,6.7,67.0,7.0,8.871428571428572,62.1,False
2016,00-0031102,Kapri Bibbs,31,<150,23,8.0,3.55,28.4,0,0.0,0.0,True
2023,00-0038555,Tank Bigsby,51,<150,21,13.0,1.907692307692308,24.8,15.0,8.6,129.0,False
2022,00-0037429,Raheem Blackshear,33,<150,24,10.0,4.5,45.0,8.0,2.1625,17.3,False
2004,00-0020315,Derrick Blaylock,143,<150,25,12.0,13.108333333333334,157.3,6.0,1.6666666666666667,10.0,False
2017,00-0027325,LeGarrette Blount,181,150-199,31,16.0,6.7375,107.8,16.0,5.40625,86.5,False
2017,00-0031075,Alfred Blue,78,<150,26,8.0,5.575,44.6,16.0,6.08125,97.3,False
2022,00-0029239,Brandon Bolden,26,<150,32,8.0,3.4375,27.5,0,0.0,0.0,True
2020,00-0032972,Devontae Booker,110,<150,28,15.0,5.713333333333334,85.7,16.0,9.00625,144.1,False
2023,00-0032104,Ameer Abdullah,34,<150,30,16.0,2.5625,41.0,13.0,9.63076923076923,125.2,False
2009,00-0024245,Joseph Addai,270,250-299,26,15.0,16.552,248.28,8.0,12.8625,102.9,False
2021,00-0036020,Salvon Ahmed,66,<150,23,11.0,3.5090909090909093,38.6,6.0,2.3666666666666667,14.2,False
2016,00-0031590,Jay Ajayi,287,250-299,23,15.0,14.353333333333332,215.3,14.0,9.65,135.1,False
2023,00-0036414,Cam Akers,71,<150,24,7.0,6.671428571428572,46.7,15.0,6.213333333333334,93.2,False
2006,00-0019647,Shaun Alexander,264,250-299,29,10.0,14.24,142.4,13.0,9.476923076923075,123.2,False
2017,00-0031577,Javorius Allen,199,150-199,26,16.0,10.38125,166.1,11.0,8.581818181818182,94.4,False
2022,00-0037263,Tyler Allgeier,226,200-249,22,16.0,9.975,159.6,17.0,8.094117647058823,137.6,False
2016,00-0029854,C.J. Anderson,126,<150,25,7.0,14.642857142857142,102.5,16.0,10.94375,175.1,False
2006,00-0019594,Mike Anderson,48,<150,33,13.0,2.976923076923077,38.7,6.0,1.8,10.8,False
2019,00-0033296,Alex Armah,8,<150,25,6.0,1.6166666666666665,9.7,12.0,0.6416666666666667,7.7,False
2006,00-0023479,J.J. Arrington,22,<150,23,10.0,2.17,21.7,14.0,4.778571428571429,66.9,False
2017,00-0031599,Cameron Artis-Payne,19,<150,27,5.0,3.34,16.7,4.0,4.35,17.4,False
2014,00-0028198,Matt Asiata,208,200-249,27,15.0,12.973333333333333,194.6,15.0,2.893333333333333,43.4,False
2005,00-0000552,Obafemi Ayanbadejo,56,<150,30,13.0,4.93076923076923,64.1,10.0,3.46,34.6,False
2010,00-0026432,Lance Ball,44,<150,25,7.0,2.914285714285714,20.4,15.0,5.266666666666667,79.0,False
2019,00-0034799,Kalen Ballage,88,<150,24,12.0,4.316666666666666,51.8,11.0,8.536363636363637,93.9,False
2004,00-0000745,Tiki Barber,374,350+,29,16.0,21.725,347.6,16.0,22.4625,359.4,False
2019,00-0032741,Peyton Barber,170,150-199,25,16.0,7.29375,116.7,14.0,3.928571428571429,55.0,False
2009,00-0023544,Marion Barber,240,200-249,26,15.0,11.953333333333337,179.3,13.0,5.946153846153846,77.3,False
2023,00-0034844,Saquon Barkley,288,250-299,26,14.0,15.957142857142856,223.4,16.0,22.24375,355.9,False
2004,00-0020474,Kevan Barlow,279,250-299,25,15.0,11.76,176.4,12.0,10.766666666666666,129.2,False
2017,00-0030465,Kenjon Barner,21,<150,28,9.0,2.477777777777778,22.3,6.0,1.4,8.4,False
2012,00-0025701,Jackie Battle,110,<150,29,14.0,5.778571428571429,80.9,8.0,3.475,27.8,False
2013,00-0027218,Joique Bell,219,200-249,27,16.0,13.54375,216.7,15.0,13.213333333333331,198.2,False
2011,00-0026579,Kahlil Bell,98,<150,25,7.0,10.0,70.0,5.0,1.78,8.9,False
2020,00-0030496,Le'Veon Bell,98,<150,28,11.0,6.127272727272728,67.4,8.0,4.7875,38.3,False
2009,00-0024011,Mike Bell,176,150-199,26,13.0,7.43076923076923,96.6,12.0,1.9666666666666668,23.6,False
2006,00-0022893,Tatum Bell,257,250-299,25,13.0,10.76923076923077,140.0,5.0,8.5,42.5,False
2001,00-0001098,Brandon Bennett,70,<150,28,15.0,3.88,58.2,10.0,5.04,50.4,False
2005,00-0020514,Michael Bennett,153,150-199,27,16.0,6.79375,108.7,8.0,4.5875,36.7,False
