season,player_id,display_name,carries,bucket,tier_current,tier_score_current,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2023,00-0036973,Travis Etienne,267,250-299,Superstar,4,17.0,16.63529411764706,282.8,15.0,8.68,130.2,False
2023,00-0033280,Christian McCaffrey,272,250-299,League Winner,5,16.0,24.45625,391.3,4.0,11.95,47.8,False
2024,00-0038542,Bijan Robinson,304,300+,League Winner,5,17.0,20.11176470588235,341.9,17.0,21.823529411764707,371.0,False
2024,00-0039139,Jahmyr Gibbs,250,250-299,League Winner,5,17.0,20.75294117647059,352.8,17.0,21.564705882352943,366.6,False
2024,00-0036223,Jonathan Taylor,303,300+,Superstar,4,14.0,17.478571428571428,244.7,17.0,21.323529411764707,362.5,False
2024,00-0032764,Derrick Henry,325,300+,League Winner,5,17.0,19.788235294117644,336.4,17.0,16.441176470588236,279.5,False
2024,00-0037840,Kyren Williams,316,300+,Superstar,4,16.0,17.00625,272.1,17.0,15.488235294117649,263.3,False
2024,00-0035700,Josh Jacobs,301,300+,Superstar,4,17.0,17.241176470588236,293.1,15.0,15.806666666666668,237.1,False
2024,00-0034844,Saquon Barkley,345,300+,League Winner,5,16.0,22.24375,355.9,16.0,14.53125,232.5,False
2024,00-0036275,D'Andre Swift,253,250-299,Starter,2,17.0,12.617647058823527,214.5,16.0,14.23125,227.7,False
2024,00-0035261,Tony Pollard,260,250-299,Starter,2,16.0,12.55625,200.9,17.0,10.929411764705884,185.8,False
2024,00-0036555,Chuba Hubbard,250,250-299,Star,3,15.0,16.12,241.8,15.0,8.360000000000001,125.4,False
2024,00-0033293,Aaron Jones,255,250-299,Star,3,17.0,14.211764705882352,241.6,12.0,9.891666666666667,118.7,False
2015,00-0025394,Adrian Peterson,327,300+,Superstar,4,16.0,16.29375,260.7,0,0.0,0.0,True
2019,00-0033280,Christian McCaffrey,287,250-299,League Winner,5,16.0,29.4625,471.4,0,0.0,0.0,True
2013,00-0025394,Adrian Peterson,279,250-299,Superstar,4,14.0,16.62142857142857,232.7,0,0.0,0.0,True
2003,00-0004052,Stephen Davis,318,300+,Star,3,14.0,15.45,216.3,0,0.0,0.0,True
2024,00-0036893,Najee Harris,263,250-299,Starter,2,17.0,12.03529411764706,204.6,0,0.0,0.0,True
2006,00-0000745,Tiki Barber,327,300+,League Winner,5,16.0,18.66875,298.7,0,0.0,0.0,True
2016,00-0032187,David Johnson,293,250-299,League Winner,5,16.0,25.4875,407.8,0,0.0,0.0,True
2004,00-0015165,Emmitt Smith,267,250-299,Starter,2,15.0,11.736,176.04,0,0.0,0.0,True
2009,00-0022984,Ryan Grant,282,250-299,Star,3,16.0,14.625,234.0,0,0.0,0.0,True
2003,00-0017915,Ricky Williams,392,300+,Superstar,4,16.0,17.01875,272.3,0,0.0,0.0,True
2017,00-0030496,Le'Veon Bell,321,300+,League Winner,5,15.0,22.89333333333333,343.4,0,0.0,0.0,True
2022,00-0034791,Nick Chubb,302,300+,Superstar,4,17.0,16.564705882352943,281.6,0,0.0,0.0,True
