coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Mike Tomlin,2,0.01475694444444442,0.3984375,0.3836805555555556,0.3207547169811317,0.8024012395256389
Drew Petzing,2,0.0013020833333333426,0.5,0.49869791666666663,0.007299270072992753,0.9953532228722562
Bruce Arians,5,-0.005919107243916255,0.6415625,0.6474816072439162,-0.14548758386112623,0.8913628228845765
Bob Bratkowski,4,-0.008008512544802865,0.3118699596774194,0.3198784722222222,-0.07685688191622944,0.943576138393153
Dan Campbell,2,-0.01475694444444442,0.578125,0.5928819444444444,-0.15887850467289696,0.899693189436499
Kellen Moore,3,-0.018804112554112573,0.6197916666666666,0.6385957792207793,-0.18333674907157613,0.8714371653857225
Greg Olson,5,-0.01886904761904763,0.32135416666666666,0.3402232142857143,-0.14092026323278034,0.8947447958738702
Bill Musgrave,3,-0.01967592592592593,0.4583333333333333,0.47800925925925924,-0.19515750637137785,0.8632982862156876
Bill Parcells,2,-0.021874999999999978,0.734375,0.75625,-0.16279069767441842,0.8972654139381864
Liam Coen,2,-0.024479166666666663,0.5,0.5244791666666666,-0.0637720488466757,0.9594563552679845
Jason Garrett,5,-0.026885080645161298,0.4984375,0.5253225806451612,-0.3145625098707309,0.7688184662163827
Brad Idzik,2,-0.029829545454545442,0.265625,0.2954545454545454,-0.2413793103448275,0.8492173957204281
Rob Chudzinski,3,-0.030736367127496167,0.4322916666666667,0.46302803379416285,-0.10542130124964,0.9256621381296058
Matt Canada,2,-0.03515625,0.484375,0.51953125,-0.09278350515463918,0.9411008164830478
Brian Schottenheimer,7,-0.038134840629800326,0.4828869047619047,0.5210217453917051,-0.6181371908182249,0.5592023522301584
Bill Lazor,4,-0.04201388888888889,0.36328125,0.4052951388888889,-0.4669379024565128,0.6723648856337249
Norv Turner,2,-0.046875,0.484375,0.53125,-0.2727272727272727,0.830498681077136
Todd Haley,2,-0.04999999999999999,0.453125,0.503125,-0.3478260869565217,0.7868999108243253
Mike Shula,3,-0.05833333333333333,0.45208333333333334,0.5104166666666666,-4.723034399822708,0.042023299791320294
Jim Caldwell,3,-0.05952060931899641,0.5520833333333334,0.6116039426523298,-0.41600278092792353,0.7177977035908751
Jimmy Raye,2,-0.06122053349875928,0.40625,0.4674705334987593,-0.7167498865183837,0.6040993628164475
Kevin O'Connell,3,-0.07074652777777778,0.53125,0.6019965277777778,-0.3468815377526693,0.7617791421012857
Joe Philbin,2,-0.08124999999999999,0.5828125,0.6640625,-0.5909090909090908,0.6602308125279
Pete Carmichael,2,-0.08273237179487178,0.5703125,0.6530448717948718,-0.5649794801641584,0.6726049215307564
Chris Palmer,2,-0.08537046370967744,0.36328125,0.44865171370967744,-2.683168316831685,0.22711232173665435
John Harbaugh,2,-0.08593749999999997,0.53125,0.6171875,-0.464788732394366,0.7230169540504304
Jay Gruden,4,-0.09209497100122101,0.42447916666666663,0.5165741376678876,-0.7417326283515914,0.5120393049800833
Arthur Smith,5,-0.09575148809523808,0.48125,0.5770014880952381,-0.5367737177609707,0.6198883594438364
Jeff Davidson,2,-0.11403729838709675,0.421875,0.5359122983870968,-0.7448559670781892,0.592435518327775
Mike Martz,2,-0.11428931451612903,0.2578125,0.372101814516129,-1.0,0.5000000000000001
Brian Callahan,3,-0.11931818181818182,0.2708333333333333,0.39015151515151514,-0.9887600349925395,0.4270003693312756
Ken Dorsey,2,-0.12388392857142855,0.5,0.6238839285714286,-0.3436532507739937,0.7892727762267131
Pat Shurmur,4,-0.12565104166666669,0.2421875,0.3678385416666667,-1.2785943840244642,0.2909827391425698
Brad Childress,4,-0.1263320852534562,0.3671875,0.4935195852534562,-1.1292583041782125,0.3409277257656633
Darrell Bevell,4,-0.12946428571428573,0.4140625,0.5435267857142857,-0.9832862692699104,0.397971204720096
Lovie Smith,5,-0.13802083333333334,0.1515625,0.28958333333333336,-2.4160897353596074,0.07307148805135913
