season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play,epa_rank,epa_per_play_pctile,ppg_rank,ppg_pctile,ypg_rank,yards_per_game_pctile
2011,NYG,16,394.0,24.625,1055,56.23346620001274,0.0533018636966945,6181.0,16,386.3125,0.0533018636966945,8,0.78125,9,0.75,8,0.78125
2011,NYJ,16,377.0,23.5625,1075,-77.99790781416793,-0.072556193315505,4996.0,16,312.25,-0.072556193315505,23,0.3125,13,0.625,26,0.21875
2011,PHI,16,396.0,24.75,1053,56.282367964221606,0.0534495422262313,6399.0,16,399.9375,0.0534495422262313,7,0.8125,8,0.78125,4,0.90625
2011,PIT,16,325.0,20.3125,1044,56.99636725617652,0.0545942215097476,5970.0,16,373.125,0.0545942215097476,6,0.84375,21,0.359375,12,0.640625
2011,SEA,16,321.0,20.0625,1032,-72.10409025318941,-0.0698683045089044,4871.0,16,304.4375,-0.0698683045089044,22,0.34375,23,0.3125,28,0.15625
2011,SF,16,380.0,23.75,1005,-8.1778033349978,-0.0081371177462664,5001.0,16,312.5625,-0.0081371177462664,16,0.53125,11,0.6875,25,0.25
2011,TB,16,287.0,17.9375,1002,-109.02793515372156,-0.1088103145246722,5116.0,16,319.75,-0.1088103145246722,28,0.15625,27,0.1875,21,0.375
2011,TEN,16,325.0,20.3125,1006,-46.17646808825943,-0.0459010617179517,5321.0,16,332.5625,-0.0459010617179517,19,0.4375,21,0.359375,17,0.5
2011,WAS,16,288.0,18.0,1065,-61.55123525515798,-0.057794587094045,5379.0,16,336.1875,-0.057794587094045,21,0.375,26,0.21875,16,0.53125
2012,ARI,16,250.0,15.625,1050,-271.70155567628296,-0.2587633863583647,4212.0,16,263.25,-0.2587633863583647,32,0.03125,31,0.0625,32,0.03125
2012,ATL,16,419.0,26.1875,1048,92.90665532626154,0.0886513886700968,5920.0,16,370.0,0.0886513886700968,8,0.78125,7,0.8125,8,0.78125
2012,BAL,16,398.0,24.875,1079,28.299668857998466,0.0262276819814628,5652.0,16,353.25,0.0262276819814628,14,0.59375,10,0.71875,16,0.53125
2012,BUF,16,344.0,21.5,1001,-7.518983378039767,-0.0075114719061336,5494.0,16,343.375,-0.0075114719061336,20,0.40625,21,0.375,19,0.4375
2012,CAR,16,357.0,22.3125,1018,82.96715959524835,0.0815001567733284,5783.0,16,361.4375,0.0815001567733284,10,0.71875,18,0.453125,12,0.65625
2012,CHI,16,375.0,23.4375,1029,-41.90808794202754,-0.0407270048027478,4989.0,16,311.8125,-0.0407270048027478,22,0.34375,16,0.53125,28,0.15625
2012,CIN,16,391.0,24.4375,1038,-2.0143382308226063,-0.0019405955980949,5340.0,16,333.75,-0.0019405955980949,17,0.5,12,0.65625,21,0.375
2012,CLE,16,302.0,18.875,1023,-70.25970550311877,-0.0686800640304191,5035.0,16,314.6875,-0.0686800640304191,26,0.21875,24,0.28125,25,0.25
2012,DAL,16,376.0,23.5,1084,49.15312413143588,0.0453442104533541,6022.0,16,376.375,0.0453442104533541,12,0.65625,15,0.5625,6,0.84375
2012,DEN,16,481.0,30.0625,1116,125.6434081364346,0.1125836990469844,6401.0,16,400.0625,0.1125836990469844,3,0.9375,2,0.96875,4,0.90625
2012,DET,16,372.0,23.25,1190,-3.9162727982997474,-0.0032909855447897,6546.0,16,409.125,-0.0032909855447897,18,0.46875,17,0.5,3,0.9375
2012,GB,16,433.0,27.0625,1086,109.26341698732654,0.1006108812037997,5773.0,16,360.8125,0.1006108812037997,6,0.84375,5,0.875,13,0.625
2012,HOU,16,416.0,26.0,1108,76.29827364299759,0.0688612578005393,5974.0,16,373.375,0.0688612578005393,11,0.6875,8,0.78125,7,0.8125
2012,IND,16,357.0,22.3125,1142,39.58054860522454,0.0346589742602666,5816.0,16,363.5,0.0346589742602666,13,0.625,18,0.453125,10,0.71875
2012,JAX,16,255.0,15.9375,1054,-121.4078127978262,-0.1151876781763057,4799.0,16,299.9375,-0.1151876781763057,30,0.09375,30,0.09375,29,0.125
2012,KC,16,211.0,13.1875,1040,-137.64357087763764,-0.1323495873823439,5113.0,16,319.5625,-0.1323495873823439,31,0.0625,32,0.03125,24,0.28125
2012,LA,16,299.0,18.6875,1029,-37.13079458698001,-0.0360843484810301,5286.0,16,330.375,-0.0360843484810301,21,0.375,25,0.25,23,0.3125
2012,LAC,16,350.0,21.875,1017,-44.12276675760268,-0.04338521805074,4765.0,16,297.8125,-0.04338521805074,23,0.3125,20,0.40625,31,0.0625
2012,LV,16,290.0,18.125,1075,-64.8458753760132,-0.0603217445358262,5511.0,16,344.4375,-0.0603217445358262,25,0.25,26,0.21875,18,0.46875
2012,MIA,16,288.0,18.0,1016,-47.55220379000335,-0.0468033501870111,5005.0,16,312.8125,-0.0468033501870111,24,0.28125,27,0.1875,27,0.1875
2012,MIN,16,379.0,23.6875,1020,12.88993163953379,0.0126371878818958,5408.0,16,338.0,0.0126371878818958,16,0.53125,14,0.59375,20,0.40625
2012,NE,16,557.0,34.8125,1229,215.06862279205225,0.1749948110594404,6855.0,16,428.4375,0.1749948110594404,1,1.0,1,1.0,1,1.0
2012,NO,16,461.0,28.8125,1091,102.92818233216624,0.0943429718901615,6589.0,16,411.8125,0.0943429718901615,7,0.8125,3,0.9375,2,0.96875
2012,NYG,16,429.0,26.8125,1007,87.95833831145869,0.0873469099418656,5703.0,16,356.4375,0.0873469099418656,9,0.75,6,0.84375,14,0.59375
2012,NYJ,16,281.0,17.5625,1071,-109.14565440719436,-0.1019100414633,4792.0,16,299.5,-0.1019100414633,29,0.125,28,0.15625,30,0.09375
2012,PHI,16,280.0,17.5,1116,-84.12400917725283,-0.075379936538757,5672.0,16,354.5,-0.075379936538757,27,0.1875,29,0.125,15,0.5625
2012,PIT,16,336.0,21.0,1054,-7.351757154546704,-0.0069751016646553,5337.0,16,333.5625,-0.0069751016646553,19,0.4375,22,0.34375,22,0.34375
2012,SEA,16,412.0,25.75,1006,109.55530368004575,0.1089018923260892,5627.0,16,351.6875,0.1089018923260892,4,0.90625,9,0.75,17,0.5
2012,SF,16,397.0,24.8125,991,104.36947187380623,0.1053173278242242,5808.0,16,363.0,0.1053173278242242,5,0.875,11,0.6875,11,0.6875
2012,TB,16,389.0,24.3125,1039,16.661217236858022,0.0160358202472165,5846.0,16,365.375,0.0160358202472165,15,0.5625,13,0.625,9,0.75
2012,TEN,16,330.0,20.625,989,-91.3400310302774,-0.0923559464411298,5020.0,16,313.75,-0.0923559464411298,28,0.15625,23,0.3125,26,0.21875
2012,WAS,16,436.0,27.25,1021,140.32669318829488,0.137440443867086,6144.0,16,384.0,0.137440443867086,2,0.96875,4,0.90625,5,0.875
2013,ARI,16,379.0,23.6875,1063,-22.951044595525023,-0.0215908227615475,5564.0,16,347.75,-0.0215908227615475,20,0.40625,16,0.515625,11,0.6875
2013,ATL,16,353.0,22.0625,1071,8.428875600532155,0.0078700985999366,5508.0,16,344.25,0.0078700985999366,16,0.53125,20,0.40625,14,0.59375
2013,BAL,16,320.0,20.0,1127,-105.17466270333566,-0.0933226820792685,4931.0,16,308.1875,-0.0933226820792685,28,0.15625,25,0.25,29,0.125
2013,BUF,16,339.0,21.1875,1143,-84.69357861975095,-0.0740976190898958,5445.0,16,340.3125,-0.0740976190898958,25,0.25,22,0.34375,18,0.46875
2013,CAR,16,366.0,22.875,1011,50.50420904910061,0.04995470726914,5086.0,16,317.875,0.04995470726914,10,0.71875,18,0.46875,26,0.21875
2013,CHI,16,445.0,27.8125,1044,84.27957906621141,0.0807275661553749,6128.0,16,383.0,0.0807275661553749,5,0.875,2,0.96875,8,0.78125
2013,CIN,16,430.0,26.875,1112,33.05076515068453,0.0297219111067306,5906.0,16,369.125,0.0297219111067306,13,0.625,6,0.828125,10,0.71875
