coach,total_seasons,avg_pctile,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Shane Steichen,7,0.6473214285714286,6.0,0.1349950396825396,0.6197916666666666,0.484796626984127,1.1412785370359335,0.3054493182478582
Mike McCarthy,21,0.6418010752688172,6.0,-0.1315465504477601,0.4409162186379928,0.572462769085753,-1.341369680528982,0.2375011482315666
Mike Vrabel,7,0.6383928571428571,3.0,0.3272569444444444,0.6458333333333334,0.3185763888888889,1.249804635742563,0.3377919363619049
Kyle Shanahan,18,0.6371527777777778,6.0,0.053384770471464,0.515625,0.462240229528536,0.5225471241440125,0.6236077627613643
Todd Haley,11,0.6363636363636364,4.0,-0.0213778409090909,0.55078125,0.5721590909090909,-0.3092384332057715,0.777373495705444
Sean McVay,12,0.6276041666666666,4.0,-0.003622159090909,0.579296875,0.5829190340909091,-0.0261224550956064,0.9808001589026571
Greg Roman,12,0.625,6.0,0.1605902777777777,0.6119791666666666,0.4513888888888889,1.7259445291300506,0.1449471364623227
Gary Kubiak,17,0.6222129981024668,7.0,0.0865849700095091,0.5561395929339478,0.4695546229244386,0.6286737915740155,0.552727551227303
Kevin Gilbride,8,0.62109375,2.0,0.2701972926267281,0.6629464285714286,0.3927491359447004,1.805388501323069,0.3220217185812132
Frank Reich,8,0.61328125,4.0,0.0494791666666666,0.6171875,0.5677083333333334,0.5370074924968333,0.6285352082734232
Mike Tomlin,19,0.6101973684210527,4.0,-0.1787016369047619,0.4073660714285714,0.5860677083333333,-2.255335269194718,0.1093966985389947
Bill Callahan,6,0.6038306451612904,3.0,-0.105230734767025,0.5882056451612904,0.6934363799283153,-1.0969490038940155,0.38710253274867
Kliff Kingsbury,6,0.5989583333333334,,,,,,
John Harbaugh,18,0.5954861111111112,,,,,,
Mike Heimerdinger,7,0.592741935483871,2.0,0.2462617607526882,0.6397429435483871,0.3934811827956989,5.708860759493667,0.1103943360059179
Joe Lombardi,6,0.5885416666666666,3.0,0.0057291666666666,0.5520833333333334,0.5463541666666667,0.0367461652082032,0.9740253042015528
Dirk Koetter,13,0.5865384615384616,4.0,0.0911458333333333,0.4942708333333333,0.403125,1.04816730941209,0.3715608869399902
Scott Linehan,13,0.5817307692307693,6.0,0.0344926075268817,0.5182291666666666,0.4837365591397849,0.4652054177956436,0.6613419593204468
Kellen Moore,7,0.5758928571428571,4.0,-0.0684185606060606,0.5494791666666666,0.6178977272727273,-0.5873850280051847,0.5982270724619163
Marvin Lewis,15,0.5729166666666666,4.0,0.1523001472094214,0.5236235119047619,0.3713233646953405,0.9119406326840426,0.4290395587066111
Jim Harbaugh,6,0.5729166666666666,3.0,0.2265625,0.5729166666666666,0.3463541666666667,1.3819973696610963,0.3010864467699358
Bruce Arians,17,0.5664136622390892,5.0,-0.0059191072439162,0.6415625,0.6474816072439162,-0.1454875838611262,0.8913628228845765
Jack Del Rio,11,0.5653409090909091,3.0,0.0876736111111111,0.4340277777777778,0.3463541666666667,1.372784478787037,0.3034814031882778
Doug Pederson,11,0.5625,3.0,0.1189393939393939,0.5791666666666667,0.4602272727272727,0.8846278437633701,0.4696802092069688
Norv Turner,18,0.5603158602150538,8.0,-0.0335242840157154,0.474609375,0.5081336590157155,-0.6747041369167288,0.5215166607103657
Jim Caldwell,9,0.5451388888888888,3.0,0.0014435609193673,0.6197916666666666,0.6183481057472994,0.0256822008324999,0.98184293537721
Ken Whisenhunt,13,0.5408653846153846,4.0,-0.0953987418831168,0.533203125,0.6286018668831168,-0.9603103918555206,0.4077415114275469
Mike Shula,7,0.5401785714285714,3.0,-0.0638755341880342,0.4520833333333333,0.5159588675213675,-9.259248261082528,0.0114638412952235
Matt Nagy,9,0.5347222222222222,4.0,0.0140625,0.4830729166666667,0.4690104166666666,0.0932872087302504,0.9315563613030844
Mike McCoy,9,0.5347222222222222,3.0,0.065678021575199,0.6796875,0.614009478424801,0.5363576140198208,0.6453851969365233
Mike Zimmer,8,0.52734375,4.0,0.1627604166666666,0.53125,0.3684895833333333,1.0986490527974906,0.3521878245816673
Darrell Bevell,15,0.525,6.0,-0.1778977854582693,0.375,0.5528977854582693,-1.933946188667795,0.1109278961796056
Herman Edwards,6,0.5236895161290323,2.0,0.1891801075268817,0.63877688172043,0.4495967741935484,5.744897959183674,0.1097155152336209
Rick Dennison,10,0.521875,6.0,-0.0844144025217614,0.4427083333333333,0.5271227358550947,-0.5648026403815407,0.5966057690767239
Zac Taylor,8,0.51953125,2.0,-0.2327967171717171,0.265625,0.4984217171717171,-1.8600252206809575,0.3140408902576767
Brian Schottenheimer,15,0.5145833333333333,7.0,-0.0421202956989247,0.4828869047619047,0.5250072004608295,-0.6864126374522557,0.5180857666726851
Tom Coughlin,12,0.5131048387096774,2.0,-0.1588961693548387,0.3205645161290322,0.479460685483871,-0.4207540874207541,0.7464541870396365
Chuck Pagano,6,0.5104166666666666,3.0,-0.2526489695340502,0.3411458333333333,0.5937948028673835,-2.085695762375469,0.1723251484429518
Ron Rivera,13,0.5048076923076923,2.0,0.0085637019230769,0.416015625,0.4074519230769231,0.0264746864839758,0.983149627240948
Arthur Smith,7,0.5,5.0,-0.095751488095238,0.48125,0.5770014880952381,-0.5367737177609707,0.6198883594438364
Mike Mularkey,13,0.4997673697270471,5.0,0.1382807917888562,0.4525201612903226,0.3142393695014663,1.3848004153438824,0.2383449138682645
Greg Knapp,10,0.4967741935483871,6.0,-0.0556711265884653,0.3766801075268817,0.432351234115347,-0.507069053486112,0.6336721152983368
Dan Henning,8,0.484375,3.0,0.1817708333333333,0.5859375,0.4041666666666666,1.4637144923234018,0.2808372158954128
Bob Bratkowski,11,0.4836876832844574,4.0,-0.0127968189964157,0.3118699596774194,0.3246667786738351,-0.1244083321674076,0.9088598823663604
John Fox,16,0.48046875,4.0,-0.0604978718637992,0.4583333333333333,0.5188312051971326,-0.920524217761225,0.4251872958745914
Nathaniel Hackett,10,0.478125,4.0,0.0006510416666666,0.3515625,0.3509114583333333,0.0101466646165895,0.9925413047845928
Jon Gruden,11,0.4770894428152493,5.0,-0.1068111559139784,0.541263440860215,0.6480745967741935,-1.0553485462163572,0.3507909340874167
Marty Mornhinweg,14,0.4735743087557603,6.0,-0.0391381048387096,0.3675067204301075,0.4066448252688172,-0.7263303308974257,0.5002003035665072
Bill Musgrave,8,0.47265625,3.0,-0.0196759259259259,0.4583333333333333,0.4780092592592592,-0.1951575063713778,0.8632982862156876
Doug Marrone,10,0.4625,5.0,0.0278645833333333,0.3833333333333333,0.35546875,0.6978574186876493,0.5237049105981074
Bill O'Brien,9,0.4618055555555556,5.0,0.024510528673835,0.4645833333333333,0.4400728046594982,0.1599442038900169,0.8806769136758258
Jim Bob Cooter,8,0.4609375,4.0,0.1809895833333333,0.529296875,0.3483072916666667,1.0088811379659588,0.3873461808644244
Brad Childress,11,0.4602272727272727,6.0,-0.0785540428433573,0.4361979166666667,0.514751959510024,-0.9195098343552128,0.4000161283310382
Marc Trestman,6,0.4583333333333333,3.0,-0.0191646810850439,0.5885416666666666,0.6077063477517107,-0.1242496637145643,0.9124793563535868
Todd Bowles,9,0.4548611111111111,5.0,-0.0504200268817204,0.3791666666666667,0.4295866935483871,-0.4569997247466065,0.6713890429071296
Jay Gruden,10,0.4375,6.0,-0.1082716473341473,0.3298611111111111,0.4381327584452584,-1.2428190215116637,0.2690374251332404
Raheem Morris,6,0.4375,3.0,-0.0790343915343915,0.5069444444444444,0.5859788359788359,-1.0567387980022651,0.4014225260666498
Brian Callahan,6,0.4322916666666667,3.0,-0.1193181818181818,0.2708333333333333,0.3901515151515151,-0.9887600349925396,0.4270003693312756
Chan Gailey,8,0.4243951612903225,3.0,0.0709005376344086,0.5046370967741935,0.433736559139785,1.056705313336945,0.4014346974937787
Kevin O'Connell,7,0.4196428571428571,5.0,-0.0174479166666666,0.45625,0.4736979166666666,-0.1095634530446992,0.9180322672588066
Rob Chudzinski,9,0.4097222222222222,7.0,-0.1558834622558701,0.359375,0.5152584622558701,-1.2092520013903874,0.2720488632897108
Hue Jackson,8,0.40234375,5.0,0.0301704545454545,0.45,0.4198295454545454,0.360992689603652,0.7363629924312243
Alex Van Pelt,6,0.4010416666666667,5.0,-0.2254166666666666,0.35625,0.5816666666666667,-1.141369261382836,0.3174058879324776
Adam Gase,8,0.390625,4.0,-0.1733168230459057,0.390625,0.5639418230459057,-2.173780774225524,0.1180360768596964
Kevin Stefanski,8,0.3828125,5.0,-0.1522395833333333,0.38125,0.5334895833333333,-0.9810890993131582,0.3820968474689137
Brian Daboll,11,0.3806818181818182,4.0,-0.1688802083333333,0.3092447916666667,0.478125,-1.369802028363902,0.2642680771296725
Pat Shurmur,13,0.3798076923076923,9.0,0.1443579568579568,0.4525462962962963,0.3081883394383394,1.1181965153804942,0.2959339081376738
Bill Muir,8,0.3671875,4.0,-0.2178931451612903,0.359375,0.5772681451612903,-2.234787461869816,0.1114996217575841
Mike Martz,6,0.3541666666666667,4.0,-0.0335307459677419,0.421875,0.4554057459677419,-0.2080927951053003,0.8484830433076298
Greg Olson,14,0.3459821428571428,5.0,-0.12875,0.2966666666666667,0.4254166666666666,-1.6736724201077269,0.1695088888668232
Rex Ryan,7,0.3214285714285714,3.0,-0.0989583333333333,0.3854166666666667,0.484375,-0.5204014838815378,0.6546595977983489
Brian Billick,7,0.3001152073732718,3.0,-0.2064852150537634,0.387768817204301,0.5942540322580645,-1.0959946138567604,0.3874356314717699
Romeo Crennel,6,0.2916666666666667,3.0,0.0878472222222222,0.4114583333333333,0.3236111111111111,0.5419795965528907,0.6421420539388464
Matt Cavanaugh,6,0.2876344086021505,5.0,-0.1946021160738902,0.2920362903225806,0.4866384063964709,-1.7814428345980118,0.1494328117044824
Dick Jauron,8,0.2513860887096774,3.0,-0.1617383512544802,0.2395833333333333,0.4013216845878136,-1.1070055868584598,0.3836124043343673
Lovie Smith,12,0.2239583333333333,7.0,-0.0851934523809524,0.2154017857142857,0.3005952380952381,-1.448159052963794,0.1977352298960185
Dowell Loggains,7,0.2098214285714285,4.0,-0.169921875,0.2265625,0.396484375,-1.1730169245086404,0.3254507324200593
