coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Steve Spagnuolo,00-0022803,Eli Manning,2017,2017,1,12,0.0466787126089296,1,-0.3233137829912024,1,-0.0541982922201138,-0.1008770048290434
Bruce Arians,00-0022924,Ben Roethlisberger,2007,2011,5,3,0.3234070506567597,5,0.1505750863153557,9,0.1228623198161258,-0.2005447308406338
Randy Fichtner,00-0022924,Ben Roethlisberger,2018,2020,3,14,0.2150524518243483,2,0.054150853889943,1,-0.2901785714285714,-0.5052310232529197
Todd Haley,00-0022924,Ben Roethlisberger,2012,2017,6,8,0.2153870729433822,6,0.214606290332303,3,-0.0606256212162284,-0.2760126941596106
Anthony Lynn,00-0022942,Philip Rivers,2017,2019,3,11,0.2146117274722871,3,0.2692933845092288,1,-0.05625,-0.2708617274722871
Hal Hunter,00-0022942,Philip Rivers,2012,2012,1,6,0.3489212462016897,1,-0.2516216690042075,8,0.1588066684396143,-0.1901145777620753
Ken Whisenhunt,00-0022942,Philip Rivers,2013,2018,4,7,0.2631294011722758,4,0.2944427748188718,2,-0.0135538856304985,-0.2766832868027743
Mike McCoy,00-0022942,Philip Rivers,2013,2016,4,7,0.2631294011722758,4,0.129705798497307,4,0.1879075383819216,-0.0752218627903541
Andy Reid,00-0023436,Alex Smith,2013,2017,5,7,-0.1650719495525268,5,0.172190304997004,2,-0.4127107771260997,-0.2476388275735728
Brad Childress,00-0023436,Alex Smith,2016,2016,1,10,-0.0699810229524552,1,0.0806155123339658,3,-0.1669263196480938,-0.0969452966956386
Doug Pederson,00-0023436,Alex Smith,2013,2015,3,7,-0.1650719495525268,3,0.1518978057810456,4,-0.1050408616525789,0.0600310878999479
Greg Roman,00-0023436,Alex Smith,2011,2012,2,5,-0.2814198864033612,2,0.1257978925745587,7,0.0050757101046887,0.2864955965080499
Jay Gruden,00-0023436,Alex Smith,2018,2018,1,12,-0.024546010156889,1,-0.2920637829912024,1,-0.533357771260997,-0.508811761104108
Jim Harbaugh,00-0023436,Alex Smith,2011,2012,2,5,-0.2814198864033612,2,0.1257978925745587,7,0.0050757101046887,0.2864955965080499
Jim Hostler,00-0023436,Alex Smith,2007,2007,1,2,-0.2633404468315401,1,-0.4718479543666405,11,-0.0110404389186497,0.2523000079128904
Jim Tomsula,00-0023436,Alex Smith,2010,2010,1,4,-0.3077313333362698,1,-0.1761740986717267,9,0.0319028617646598,0.3396341951009297
Jimmy Raye,00-0023436,Alex Smith,2009,2010,2,3,-0.3328429493432402,2,-0.2042852919935427,9,0.0319028617646598,0.3647458111079001
Matt Cavanaugh,00-0023436,Alex Smith,2018,2018,1,12,-0.024546010156889,1,-0.2920637829912024,1,-0.533357771260997,-0.508811761104108
Matt Nagy,00-0023436,Alex Smith,2016,2017,2,10,-0.0699810229524552,2,0.2026290538209418,2,-0.4127107771260997,-0.3427297541736445
Mike Johnson,00-0023436,Alex Smith,2010,2010,1,4,-0.3077313333362698,1,-0.1761740986717267,9,0.0319028617646598,0.3396341951009297
Mike Singletary,00-0023436,Alex Smith,2009,2010,2,3,-0.3328429493432402,2,-0.2042852919935427,9,0.0319028617646598,0.3647458111079001
Adam Stenavich,00-0023459,Aaron Rodgers,2022,2022,1,13,0.2916011165216591,1,0.0848214285714286,2,-0.1432291666666666,-0.4348302831883257
Edgar Bennett,00-0023459,Aaron Rodgers,2015,2017,3,7,0.3366991916787794,2,0.2317700097512123,7,0.1098204641093973,-0.226878727569382
Jeff Ulbrich,00-0023459,Aaron Rodgers,2024,2024,1,14,0.2768311388109283,1,-0.1276041666666666,1,-0.1588541666666666,-0.4356853054775949
Matt LaFleur,00-0023459,Aaron Rodgers,2019,2022,4,10,0.2997120578262678,4,0.2196288412725793,2,-0.1432291666666666,-0.4429412244929345
Nathaniel Hackett,00-0023459,Aaron Rodgers,2019,2024,5,10,0.2997120578262678,4,0.1665224424630555,1,-0.1588541666666666,-0.4585662244929345
Robert Saleh,00-0023459,Aaron Rodgers,2023,2023,1,14,0.2768311388109283,0,,2,-0.1432291666666666,-0.4200603054775949
Robert Saleh (fired on October 8),00-0023459,Aaron Rodgers,2024,2024,1,14,0.2768311388109283,1,-0.1276041666666666,1,-0.1588541666666666,-0.4356853054775949
Tom Clements,00-0023459,Aaron Rodgers,2012,2014,3,4,0.3345689035423991,3,0.33953957586062,9,0.1369203631409118,-0.1976485404014872
Al Saunders,00-0023460,Jason Campbell,2011,2011,1,4,-0.0863920769847448,0,,1,-0.3453716690042075,-0.2589795920194627
Lovie Smith,00-0023460,Jason Campbell,2012,2012,1,4,-0.0863920769847448,0,,1,-0.3453716690042075,-0.2589795920194627
Mike Tice,00-0023460,Jason Campbell,2012,2012,1,4,-0.0863920769847448,0,,1,-0.3453716690042075,-0.2589795920194627
Tom Cable,00-0023460,Jason Campbell,2010,2010,1,3,-0.1189647364224175,1,0.0113259013282732,1,-0.3453716690042075,-0.22640693258179
Bill Callahan,00-0023541,Kyle Orton,2012,2013,2,4,-0.196829199086854,0,,1,-0.3006094208211144,-0.1037802217342603
Jason Garrett,00-0023541,Kyle Orton,2012,2013,2,4,-0.196829199086854,0,,1,-0.3006094208211144,-0.1037802217342603
John Fox,00-0023541,Kyle Orton,2011,2011,1,4,-0.196829199086854,0,,1,-0.3006094208211144,-0.1037802217342603
Josh McDaniels,00-0023541,Kyle Orton,2009,2009,1,2,-0.2987481061801653,1,-0.1073964853153587,2,-0.1915167597464205,0.1072313464337447
Josh McDaniels {{small|(fired December 6)}},00-0023541,Kyle Orton,2010,2010,1,3,-0.2349642325585631,1,-0.0824240986717267,1,-0.3006094208211144,-0.0656451882625512
Mike McCoy,00-0023541,Kyle Orton,2009,2011,3,2,-0.2987481061801653,2,-0.0949102919935427,1,-0.3006094208211144,-0.001861314640949
Eric Mangini,00-0023645,Derek Anderson,2009,2009,1,2,-0.155998861975947,0,,1,-0.4574240986717267,-0.3014252366957797
Bill Muir,00-0023662,Matt Cassel,2011,2011,1,3,0.073343215475887,1,-0.3817540322580645,2,-0.4293628377121796,-0.5027060531880666
Bill Musgrave,00-0023662,Matt Cassel,2013,2013,1,5,-0.1369249136846443,0,,1,-0.3358254928315412,-0.1989005791468968
Brian Daboll,00-0023662,Matt Cassel,2012,2012,1,4,-0.0404310964576008,1,-0.522900182592818,1,-0.3358254928315412,-0.2953943963739402
Charlie Weis,00-0023662,Matt Cassel,2010,2010,1,2,0.0262268725496938,1,0.1675759013282732,3,-0.4134932358941412,-0.4397201084438351
Leslie Frazier,00-0023662,Matt Cassel,2013,2013,1,5,-0.1369249136846443,0,,1,-0.3358254928315412,-0.1989005791468968
Mike Zimmer,00-0023662,Matt Cassel,2014,2014,1,5,-0.1369249136846443,0,,1,-0.3358254928315412,-0.1989005791468968
Norv Turner,00-0023662,Matt Cassel,2014,2014,1,5,-0.1369249136846443,0,,1,-0.3358254928315412,-0.1989005791468968
Romeo Crennel,00-0023662,Matt Cassel,2011,2011,1,3,0.073343215475887,1,-0.3817540322580645,2,-0.4293628377121796,-0.5027060531880666
"Todd Haley (fired Dec 12, 2011)",00-0023662,Matt Cassel,2011,2011,1,3,0.073343215475887,1,-0.3817540322580645,2,-0.4293628377121796,-0.5027060531880666
Bill O'Brien,00-0023682,Ryan Fitzpatrick,2014,2014,1,6,-0.2289577062379048,1,-0.1756094208211144,3,-0.1656360909058963,0.0633216153320084
Curtis Modkins,00-0023682,Ryan Fitzpatrick,2010,2012,3,2,-0.4112731274503061,3,-0.183192771174203,5,-0.1348278725086022,0.2764452549417039
Dirk Koetter,00-0023682,Ryan Fitzpatrick,2017,2018,2,9,-0.1900906265273464,0,,1,-0.3354482922201138,-0.1453576656927673
Dowell Loggains,00-0023682,Ryan Fitzpatrick,2013,2013,1,5,-0.2744249136846443,1,-0.0016216690042075,4,-0.1681294233847008,0.1062954902999434
Mike Munchak,00-0023682,Ryan Fitzpatrick,2013,2013,1,5,-0.2744249136846443,1,-0.0016216690042075,4,-0.1681294233847008,0.1062954902999434
Todd Bowles,00-0023682,Ryan Fitzpatrick,2015,2016,2,7,-0.2213365226069347,2,-0.0807299902487876,1,-0.3354482922201138,-0.114111769613179
Todd Monken,00-0023682,Ryan Fitzpatrick,2017,2018,2,9,-0.1900906265273464,0,,1,-0.3354482922201138,-0.1453576656927673
Aaron Kromer,00-0024226,Jay Cutler,2013,2014,2,6,-0.0984011318475077,2,0.0189890742014872,2,-0.2193719542435742,-0.1209708223960664
Dowell Loggains,00-0024226,Jay Cutler,2016,2016,1,9,-0.0670042292781318,0,,1,-0.3881344876660341,-0.3211302583879022
John Fox,00-0024226,Jay Cutler,2015,2016,2,8,-0.069053580335259,1,-0.0506094208211144,1,-0.3881344876660341,-0.3190809073307751
Lovie Smith,00-0024226,Jay Cutler,2009,2012,4,2,0.3012837973726783,4,-0.2982435964576008,4,-0.1001914400210435,-0.4014752373937218
Marc Trestman,00-0024226,Jay Cutler,2013,2014,2,6,-0.0984011318475077,2,0.0189890742014872,2,-0.2193719542435742,-0.1209708223960664
Mike Martz,00-0024226,Jay Cutler,2010,2011,2,3,0.118722608386701,2,-0.3605352919935427,5,-0.1252539584684477,-0.2439765668551487
Mike Tice,00-0024226,Jay Cutler,2012,2012,1,5,-0.0729805517653964,1,-0.2255040322580644,4,-0.1001914400210435,-0.027210888255647
Ron Turner,00-0024226,Jay Cutler,2009,2009,1,2,0.3012837973726783,1,-0.2463997695852534,7,-0.1924771966184748,-0.4937609939911531
Arthur Smith,00-0026143,Matt Ryan,2021,2021,1,13,0.1819460083486214,1,-0.3233137829912024,1,-0.4916982922201138,-0.6736443005687351
Dan Quinn,00-0026143,Matt Ryan,2015,2020,6,7,0.2047852523056965,6,0.1553002237320337,2,-0.407506037605658,-0.6122912899113546
Dave Ragone,00-0026143,Matt Ryan,2021,2021,1,13,0.1819460083486214,1,-0.3233137829912024,1,-0.4916982922201138,-0.6736443005687351
Dirk Koetter,00-0026143,Matt Ryan,2012,2020,5,4,0.2825178455962564,5,0.0729866982793467,2,-0.407506037605658,-0.6900238832019145
Kyle Shanahan,00-0026143,Matt Ryan,2015,2016,2,7,0.2047852523056965,2,0.1908640742014871,6,-0.0441564802036813,-0.2489417325093778
Raheem Morris,00-0026143,Matt Ryan,2020,2020,1,12,0.2013046261020133,1,-0.050357404692082,2,-0.407506037605658,-0.6088106637076715
