coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
Bill Belichick,NE,2001,2023,23,0.7522791023842919,4,Tom Brady (18yr); Matt Cassel (1yr); Cam Newton (1yr); Mac Jones (3yr)
Bill Callahan,DAL,2012,2013,2,0.71875,1,Tony Romo (2yr)
Bill Callahan,LV,2001,2003,3,0.697244623655914,2,Rich Gannon (2yr); Rick Mirer (1yr)
Bill Callahan,WAS,2019,2019,1,0.09375,1,Case Keenum (1yr)
Bill Cowher,PIT,2001,2006,6,0.6922043010752689,3,Tommy Maddox (2yr); Kordell Stewart (1yr); Ben Roethlisberger (3yr)
Bill Lazor,CHI,2020,2021,2,0.203125,2,Mitch Trubisky (1yr); Justin Fields (1yr)
Bill Lazor,CIN,2017,2018,2,0.359375,1,Andy Dalton (2yr)
Bill Lazor,MIA,2014,2014,1,0.6875,1,Ryan Tannehill (1yr)
Bill Muir,KC,2011,2011,1,0.1875,1,Matt Cassel (1yr)
Bill Muir,TB,2002,2008,7,0.39285714285714285,5,Jeff Garcia (2yr); Brian Griese (1yr); Brad Johnson (2yr); Chris Simms (1yr); Bruce Gradkowski (1yr)
Bill Musgrave,DEN,2018,2018,1,0.34375,1,Case Keenum (1yr)
Bill Musgrave,JAX,2003,2004,2,0.5,1,Byron Leftwich (2yr)
Bill Musgrave,LV,2015,2016,2,0.53125,1,Derek Carr (2yr)
Bill Musgrave,MIN,2011,2013,3,0.4583333333333333,1,Christian Ponder (3yr)
Bill O'Brien,HOU,2014,2020,7,0.45089285714285715,5,Ryan Fitzpatrick (1yr); Brian Hoyer (1yr); Brock Osweiler (1yr); Tom Savage (1yr); Deshaun Watson (3yr)
Bill O'Brien,NE,2011,2011,1,0.9375,1,Tom Brady (1yr)
Bill O'Brien,NE,2023,2023,1,0.0625,1,Mac Jones (1yr)
Bill Parcells,DAL,2005,2006,2,0.734375,2,Drew Bledsoe (1yr); Tony Romo (1yr)
Bo Hardegree,LV,2023,2023,1,0.21875,1,Aidan O'Connell (1yr)
Bob Bratkowski,CIN,2001,2010,10,0.5226814516129032,3,Jon Kitna (3yr); Carson Palmer (6yr); Ryan Fitzpatrick (1yr)
Bob Bratkowski,JAX,2012,2012,1,0.09375,1,Blaine Gabbert (1yr)
Bobby Jackson,LA,2001,2001,1,1.0,1,Kurt Warner (1yr)
Bobby Petrino,ATL,2007,2007,1,0.0625,1,Joey Harrington (1yr)
Bobby Petrino,JAX,2001,2001,1,0.032258064516129,1,Mark Brunell (1yr)
Bobby Slowik,HOU,2023,2024,2,0.421875,1,C.J. Stroud (2yr)
Brad Childress,CLE,2012,2012,1,0.21875,1,Brandon Weeden (1yr)
Brad Childress,KC,2016,2016,1,0.5625,1,Alex Smith (1yr)
Brad Childress,MIN,2006,2010,5,0.3875,4,Brett Favre (2yr); Gus Frerotte (1yr); Brad Johnson (1yr); Tarvaris Jackson (1yr)
