coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
John Morton,DET,2025,2025,1,0.75,1,Jared Goff (1yr)
John Morton,NYJ,2017,2017,1,0.28125,1,Josh McCown (1yr)
John Shoop,CHI,2001,2003,3,0.2745295698924731,2,Jim Miller (2yr); Kordell Stewart (1yr)
Jon Gruden,LV,2001,2001,1,0.935483870967742,1,Rich Gannon (1yr)
Jon Gruden,LV,2018,2020,3,0.5208333333333334,1,Derek Carr (3yr)
Jon Gruden,TB,2002,2008,7,0.39285714285714285,5,Jeff Garcia (2yr); Brian Griese (1yr); Brad Johnson (2yr); Chris Simms (1yr); Bruce Gradkowski (1yr)
Jonathan Gannon,ARI,2023,2025,3,0.4479166666666667,3,Jacoby Brissett (1yr); Joshua Dobbs (1yr); Kyler Murray (1yr)
Jordan Traylor,MIN,2025,2025,1,0.15625,1,J.J. McCarthy (1yr)
Josh Grizzard,TB,2025,2025,1,0.40625,1,Baker Mayfield (1yr)
Josh McDaniels,DEN,2009,2009,1,0.4375,1,Kyle Orton (1yr)
Josh McDaniels,LA,2011,2011,1,0.03125,1,Sam Bradford (1yr)
Josh McDaniels,LV,2022,2022,1,0.46875,1,Derek Carr (1yr)
Josh McDaniels,NE,2006,2008,3,0.9270833333333334,2,Tom Brady (2yr); Matt Cassel (1yr)
Josh McDaniels,NE,2012,2021,10,0.803125,3,Tom Brady (8yr); Cam Newton (1yr); Mac Jones (1yr)
Josh McDaniels,NE,2025,2025,1,1.0,1,Drake Maye (1yr)
Josh McDaniels {{small|(fired December 6)}},DEN,2010,2010,1,0.4375,1,Kyle Orton (1yr)
Josh McDaniels; fired on October 31,LV,2023,2023,1,0.21875,1,Aidan O'Connell (1yr)
Justin Outten,DEN,2022,2022,1,0.1875,1,Russell Wilson (1yr)
Keith Rowen,ARI,2005,2006,2,0.4375,2,Kurt Warner (1yr); Matt Leinart (1yr)
Kellen Moore,DAL,2019,2022,4,0.6796875,2,Andy Dalton (1yr); Dak Prescott (3yr)
Kellen Moore,LAC,2023,2023,1,0.28125,1,Justin Herbert (1yr)
Kellen Moore,NO,2025,2025,1,0.1875,1,Tyler Shough (1yr)
Kellen Moore,PHI,2024,2024,1,0.84375,1,Jalen Hurts (1yr)
Ken Dorsey,BUF,2022,2022,1,0.96875,1,Josh Allen (1yr)
Ken Dorsey,CLE,2024,2024,1,0.03125,1,Jameis Winston (1yr)
Ken Dorsey; fired after Week 10,BUF,2023,2023,1,0.9375,1,Josh Allen (1yr)
Ken Whisenhunt,ARI,2007,2007,1,0.5,1,Kurt Warner (1yr)
Ken Whisenhunt,ARI,2009,2012,4,0.2109375,4,Kurt Warner (1yr); Derek Anderson (1yr); Kevin Kolb (1yr); John Skelton (1yr)
Ken Whisenhunt,LAC,2013,2013,1,0.96875,1,Philip Rivers (1yr)
Ken Whisenhunt,LAC,2016,2018,3,0.7916666666666666,1,Philip Rivers (3yr)
Ken Whisenhunt,PIT,2004,2006,3,0.75,1,Ben Roethlisberger (3yr)
Ken Whisenhunt,TEN,2014,2014,1,0.09375,1,Zach Mettenberger (1yr)
"Ken Whisenhunt (fired November 3, 2015)",TEN,2015,2015,1,0.0625,1,Marcus Mariota (1yr)
Ken Zampese,CIN,2016,2016,1,0.71875,1,Andy Dalton (1yr)
"Ken Zampese (fired Sept 15, 2017)",CIN,2017,2017,1,0.25,1,Andy Dalton (1yr)
Kevin Gilbride,BUF,2002,2002,1,0.71875,1,Drew Bledsoe (1yr)
Kevin Gilbride,NYG,2007,2013,7,0.6071428571428571,1,Eli Manning (7yr)
Kevin O'Connell,LA,2020,2021,2,0.546875,2,Matthew Stafford (1yr); Jared Goff (1yr)
Kevin O'Connell,MIN,2022,2025,4,0.4375,3,Kirk Cousins (2yr); Sam Darnold (1yr); J.J. McCarthy (1yr)
Kevin O'Connell,WAS,2019,2019,1,0.09375,1,Case Keenum (1yr)
Kevin Patullo,PHI,2025,2025,1,0.5,1,Jalen Hurts (1yr)
Kevin Stefanski,CLE,2020,2025,6,0.3541666666666667,5,Jameis Winston (1yr); Jacoby Brissett (1yr); Deshaun Watson (1yr); Baker Mayfield (2yr); Shedeur Sanders (1yr)
Kevin Stefanski,MIN,2018,2019,2,0.46875,1,Kirk Cousins (2yr)
Kim Helton,WAS,2002,2002,1,0.34375,1,Shane Matthews (1yr)
Klay Kubiak,SF,2025,2025,1,0.84375,1,Brock Purdy (1yr)
Klayton Adams,DAL,2025,2025,1,0.875,1,Dak Prescott (1yr)
Kliff Kingsbury,ARI,2019,2022,4,0.5390625,1,Kyler Murray (4yr)
Kliff Kingsbury,WAS,2024,2025,2,0.71875,1,Jayden Daniels (2yr)
Klint Kubiak,MIN,2021,2021,1,0.46875,1,Kirk Cousins (1yr)
Klint Kubiak,NO,2024,2024,1,0.25,1,Derek Carr (1yr)
Klint Kubiak,SEA,2025,2025,1,0.65625,1,Sam Darnold (1yr)
Kyle Shanahan,ATL,2015,2016,2,0.765625,1,Matt Ryan (2yr)
Kyle Shanahan,CLE,2014,2014,1,0.25,1,Brian Hoyer (1yr)
Kyle Shanahan,HOU,2008,2009,2,0.671875,1,Matt Schaub (2yr)
Kyle Shanahan,SF,2017,2025,9,0.7152777777777778,4,Brian Hoyer (1yr); Jimmy Garoppolo (3yr); Nick Mullens (2yr); Brock Purdy (3yr)
Kyle Shanahan,WAS,2010,2013,4,0.4765625,3,Donovan McNabb (1yr); Rex Grossman (1yr); Robert Griffin (2yr)
Lane Kiffin,LV,2007,2008,2,0.203125,2,Josh McCown (1yr); JaMarcus Russell (1yr)
Leslie Frazier,MIN,2010,2013,4,0.375,2,Brett Favre (1yr); Christian Ponder (3yr)
Liam Coen,JAX,2025,2025,1,0.59375,1,Trevor Lawrence (1yr)
Liam Coen,LA,2022,2022,1,0.125,1,Matthew Stafford (1yr)
Liam Coen,TB,2024,2024,1,0.875,1,Baker Mayfield (1yr)
Lovie Smith,CHI,2004,2012,9,0.21180555555555555,4,Chad Hutchinson (1yr); Rex Grossman (2yr); Kyle Orton (2yr); Jay Cutler (4yr)
Lovie Smith,HOU,2022,2022,1,0.03125,1,Davis Mills (1yr)
Lovie Smith,TB,2014,2015,2,0.375,2,Josh McCown (1yr); Jameis Winston (1yr)
Luke Getsy,CHI,2022,2023,2,0.34375,1,Justin Fields (2yr)
Luke Getsy (fired on November 5),LV,2024,2024,1,0.0625,1,Gardner Minshew (1yr)
Marc Trestman,BAL,2015,2016,2,0.203125,1,Joe Flacco (2yr)
Marc Trestman,CHI,2013,2014,2,0.59375,1,Jay Cutler (2yr)
Marc Trestman,LV,2002,2003,2,0.578125,2,Rich Gannon (1yr); Rick Mirer (1yr)
Marcus Brady,IND,2021,2021,1,0.625,1,Carson Wentz (1yr)
Mark Helfrich,CHI,2018,2019,2,0.40625,1,Mitch Trubisky (2yr)
Marty Mornhinweg,BAL,2017,2018,2,0.46875,1,Joe Flacco (2yr)
Marty Mornhinweg,DET,2001,2002,2,0.15877016129032256,2,Charlie Batch (1yr); Joey Harrington (1yr)
Marty Mornhinweg,NYJ,2013,2014,2,0.15625,1,Geno Smith (2yr)
Marty Mornhinweg,PHI,2005,2012,8,0.6328125,2,Donovan McNabb (5yr); Michael Vick (3yr)
Marty Schottenheimer,LAC,2002,2006,5,0.7875,2,Drew Brees (4yr); Philip Rivers (1yr)
Marvin Lewis,CIN,2003,2017,15,0.5729166666666666,4,Jon Kitna (1yr); Carson Palmer (6yr); Ryan Fitzpatrick (1yr); Andy Dalton (7yr)
Matt Canada,PIT,2021,2022,2,0.484375,2,Ben Roethlisberger (1yr); Kenny Pickett (1yr)
Matt Canada; fired after Week 11,PIT,2023,2023,1,0.3125,1,Kenny Pickett (1yr)
Matt Cavanaugh,BAL,2001,2004,4,0.2673891129032258,3,Jeff Blake (1yr); Elvis Grbac (1yr); Kyle Boller (2yr)
Matt Cavanaugh,WAS,2017,2018,2,0.328125,2,Alex Smith (1yr); Kirk Cousins (1yr)
Matt Eberflus,CHI,2022,2023,2,0.34375,1,Justin Fields (2yr)
Matt Eberflus (fired on November 29),CHI,2024,2024,1,0.21875,1,Caleb Williams (1yr)
Matt LaFleur,GB,2019,2025,7,0.8571428571428571,2,Aaron Rodgers (4yr); Jordan Love (3yr)
Matt LaFleur,LA,2017,2017,1,0.84375,1,Jared Goff (1yr)
Matt LaFleur,TEN,2018,2018,1,0.28125,1,Marcus Mariota (1yr)
Matt Nagy,CHI,2018,2021,4,0.3046875,2,Mitch Trubisky (3yr); Justin Fields (1yr)
Matt Nagy,KC,2016,2017,2,0.734375,1,Alex Smith (2yr)
Matt Nagy,KC,2023,2025,3,0.7083333333333334,1,Patrick Mahomes (3yr)
Matt Patricia,DET,2018,2019,2,0.328125,1,Matthew Stafford (2yr)
Matt Rhule,CAR,2020,2021,2,0.265625,2,Teddy Bridgewater (1yr); Sam Darnold (1yr)
Maurice Carthon,CLE,2005,2005,1,0.09375,1,Trent Dilfer (1yr)
Maurice Carthon,DET,2001,2002,2,0.15877016129032256,2,Charlie Batch (1yr); Joey Harrington (1yr)
Maurice Carthon (Resigned after week 7),CLE,2006,2006,1,0.0625,1,Charlie Frye (1yr)
Mick Lombardi,LV,2022,2022,1,0.46875,1,Derek Carr (1yr)
Mick Lombardi; fired on October 31,LV,2023,2023,1,0.21875,1,Aidan O'Connell (1yr)
Mike Groh,PHI,2018,2019,2,0.546875,1,Carson Wentz (2yr)
Mike Heimerdinger,NYJ,2005,2005,1,0.125,1,Brooks Bollinger (1yr)
Mike Heimerdinger,TEN,2001,2004,4,0.7326108870967742,1,Steve McNair (4yr)
Mike Heimerdinger,TEN,2009,2010,2,0.546875,1,Vince Young (2yr)
Mike Holmgren,SEA,2002,2002,1,0.75,1,Matt Hasselbeck (1yr)
Mike Holmgren,SEA,2005,2007,3,0.6666666666666666,1,Matt Hasselbeck (3yr)
Mike Johnson,SF,2010,2010,1,0.34375,1,Alex Smith (1yr)
Mike Kafka,NYG,2022,2025,4,0.421875,2,Daniel Jones (3yr); Jaxson Dart (1yr)
Mike Kruczek,ARI,2006,2006,1,0.46875,1,Matt Leinart (1yr)
Mike LaFleur,LA,2023,2025,3,0.7604166666666666,1,Matthew Stafford (3yr)
Mike LaFleur,NYJ,2021,2022,2,0.15625,1,Zach Wilson (2yr)
Mike Macdonald,SEA,2024,2025,2,0.5625,2,Geno Smith (1yr); Sam Darnold (1yr)
Mike Martz,CHI,2010,2011,2,0.171875,1,Jay Cutler (2yr)
Mike Martz,DET,2006,2007,2,0.265625,1,Jon Kitna (2yr)
Mike Martz,LA,2001,2001,1,1.0,1,Kurt Warner (1yr)
Mike Martz,SF,2008,2008,1,0.25,1,Shaun Hill (1yr)
Mike McCarthy,DAL,2020,2024,5,0.58125,2,Andy Dalton (1yr); Dak Prescott (4yr)
Mike McCarthy,GB,2006,2006,1,0.375,1,Brett Favre (1yr)
Mike McCarthy,GB,2008,2017,10,0.828125,2,Aaron Rodgers (9yr); Brett Hundley (1yr)
Mike McCarthy,NO,2001,2004,4,0.4710181451612903,1,Aaron Brooks (4yr)
Mike McCarthy,SF,2005,2005,1,0.03125,1,Alex Smith (1yr)
Mike McCoy,DEN,2009,2012,4,0.515625,3,Peyton Manning (1yr); Kyle Orton (2yr); Tim Tebow (1yr)
Mike McCoy,LAC,2013,2016,4,0.6640625,1,Philip Rivers (4yr)
Mike McCoy,TEN,2025,2025,1,0.09375,1,Cam Ward (1yr)
"Mike McCoy (fired November 20, 2017)",DEN,2017,2017,1,0.125,1,Trevor Siemian (1yr)
"Mike McCoy (fired Oct 19, 2018)",ARI,2018,2018,1,0.03125,1,Josh Rosen (1yr)
Mike McDaniel,MIA,2022,2025,4,0.578125,1,Tua Tagovailoa (4yr)
Mike McDaniel,SF,2021,2021,1,0.84375,1,Jimmy Garoppolo (1yr)
Mike Miller,ARI,2011,2012,2,0.15625,2,Kevin Kolb (1yr); John Skelton (1yr)
Mike Mularkey,ATL,2008,2011,4,0.734375,1,Matt Ryan (4yr)
Mike Mularkey,BUF,2005,2005,1,0.34375,1,Kelly Holcomb (1yr)
Mike Mularkey,JAX,2012,2012,1,0.09375,1,Blaine Gabbert (1yr)
Mike Mularkey,MIA,2006,2006,1,0.1875,1,Joey Harrington (1yr)
Mike Mularkey,PIT,2001,2003,3,0.6344086021505376,2,Tommy Maddox (2yr); Kordell Stewart (1yr)
Mike Mularkey,TEN,2015,2017,3,0.34375,1,Marcus Mariota (3yr)
Mike Munchak,TEN,2011,2013,3,0.3854166666666667,3,Matt Hasselbeck (1yr); Ryan Fitzpatrick (1yr); Jake Locker (1yr)
Mike Nolan,SF,2005,2008,4,0.1328125,2,Shaun Hill (1yr); Alex Smith (3yr)
Mike Pettine,CLE,2014,2014,1,0.25,1,Brian Hoyer (1yr)
Mike Riley,LAC,2001,2001,1,0.7419354838709677,1,Doug Flutie (1yr)
Mike Shanahan,WAS,2010,2013,4,0.4765625,3,Donovan McNabb (1yr); Rex Grossman (1yr); Robert Griffin (2yr)
Mike Sheppard,BUF,2001,2001,1,0.3225806451612903,1,Rob Johnson (1yr)
Mike Sheppard,NO,2005,2005,1,0.3125,1,Aaron Brooks (1yr)
Mike Sherman,GB,2001,2001,1,0.8709677419354839,1,Brett Favre (1yr)
Mike Sherman,HOU,2007,2007,1,0.625,1,Matt Schaub (1yr)
Mike Sherman,MIA,2012,2013,2,0.328125,1,Ryan Tannehill (2yr)
Mike Shula,CAR,2013,2017,5,0.60625,1,Cam Newton (5yr)
Mike Shula,NYG,2018,2019,2,0.375,2,Eli Manning (1yr); Daniel Jones (1yr)
Mike Singletary,SF,2009,2010,2,0.328125,1,Alex Smith (2yr)
Mike Smith,ATL,2008,2014,7,0.6964285714285714,1,Matt Ryan (7yr)
Mike Solari,KC,2006,2006,1,0.65625,1,Trent Green (1yr)
Mike Sullivan,NYG,2016,2017,2,0.15625,1,Eli Manning (2yr)
Mike Sullivan,TB,2012,2013,2,0.375,2,Josh Freeman (1yr); Mike Glennon (1yr)
Mike Tice,CHI,2012,2012,1,0.34375,1,Jay Cutler (1yr)
Mike Tice,MIN,2002,2005,4,0.78125,2,Daunte Culpepper (3yr); Brad Johnson (1yr)
Mike Tomlin,PIT,2007,2025,19,0.6101973684210527,5,Ben Roethlisberger (14yr); Aaron Rodgers (1yr); Russell Wilson (1yr); Mason Rudolph (1yr); Kenny Pickett (2yr)
Mike Vrabel,NE,2025,2025,1,1.0,1,Drake Maye (1yr)
Mike Vrabel,TEN,2018,2023,6,0.578125,3,Ryan Tannehill (4yr); Marcus Mariota (1yr); Will Levis (1yr)
Mike Zimmer,MIN,2014,2021,8,0.52734375,4,Sam Bradford (1yr); Case Keenum (1yr); Kirk Cousins (4yr); Teddy Bridgewater (2yr)
Nathaniel Hackett,BUF,2013,2014,2,0.234375,2,Kyle Orton (1yr); EJ Manuel (1yr)
Nathaniel Hackett,GB,2019,2021,3,0.9166666666666666,1,Aaron Rodgers (3yr)
Nathaniel Hackett,JAX,2016,2018,3,0.34375,1,Blake Bortles (3yr)
Nathaniel Hackett,NYJ,2023,2024,2,0.265625,2,Aaron Rodgers (1yr); Zach Wilson (1yr)
Nick Caley,HOU,2025,2025,1,0.34375,1,C.J. Stroud (1yr)
Nick Holz,TEN,2024,2025,2,0.09375,2,Mason Rudolph (1yr); Cam Ward (1yr)
Nick Saban,MIA,2005,2006,2,0.34375,2,Gus Frerotte (1yr); Joey Harrington (1yr)
Nick Sirianni,IND,2018,2020,3,0.6354166666666666,3,Philip Rivers (1yr); Andrew Luck (1yr); Jacoby Brissett (1yr)
Nick Sirianni,PHI,2021,2025,5,0.75625,1,Jalen Hurts (5yr)
Norm Chow,TEN,2005,2007,3,0.28125,2,Steve McNair (1yr); Vince Young (2yr)
Norv Turner,CAR,2018,2019,2,0.453125,2,Cam Newton (1yr); Kyle Allen (1yr)
Norv Turner,CLE,2013,2013,1,0.21875,1,Jason Campbell (1yr)
Norv Turner,LAC,2001,2001,1,0.7419354838709677,1,Doug Flutie (1yr)
Norv Turner,LAC,2007,2012,6,0.78125,1,Philip Rivers (6yr)
Norv Turner,LV,2004,2005,2,0.5,1,Kerry Collins (2yr)
Norv Turner,MIA,2002,2003,2,0.484375,1,Jay Fiedler (2yr)
Norv Turner,MIN,2014,2016,3,0.4479166666666667,2,Sam Bradford (1yr); Teddy Bridgewater (2yr)
Norv Turner,SF,2006,2006,1,0.21875,1,Alex Smith (1yr)
Parks Frazier,IND,2022,2022,1,0.0625,1,Matt Ryan (1yr)
Pat Shurmur,CLE,2011,2012,2,0.21875,2,Colt McCoy (1yr); Brandon Weeden (1yr)
Pat Shurmur,DEN,2020,2021,2,0.296875,2,Teddy Bridgewater (1yr); Drew Lock (1yr)
Pat Shurmur,LA,2009,2010,2,0.109375,2,Marc Bulger (1yr); Sam Bradford (1yr)
Pat Shurmur,MIN,2016,2017,2,0.546875,2,Sam Bradford (1yr); Case Keenum (1yr)
Pat Shurmur,NYG,2018,2019,2,0.375,2,Eli Manning (1yr); Daniel Jones (1yr)
Pat Shurmur,PHI,2013,2015,3,0.6145833333333334,3,Mark Sanchez (1yr); Sam Bradford (1yr); Nick Foles (1yr)
Paul Hackett,NYJ,2001,2004,4,0.6839717741935484,2,Vinny Testaverde (1yr); Chad Pennington (3yr)
Pep Hamilton,HOU,2022,2022,1,0.03125,1,Davis Mills (1yr)
Pep Hamilton,IND,2013,2014,2,0.71875,1,Andrew Luck (2yr)
Pete Carmichael,NO,2015,2023,9,0.7291666666666666,4,Drew Brees (6yr); Andy Dalton (1yr); Derek Carr (1yr); Jameis Winston (1yr)
Pete Carmichael Jr.,NO,2010,2010,1,0.75,1,Drew Brees (1yr)
"Pete Carmichael, Jr.",NO,2009,2009,1,0.875,1,Drew Brees (1yr)
"Pete Carmichael, Jr.",NO,2011,2014,4,0.875,1,Drew Brees (4yr)
Pete Carroll,LV,2025,2025,1,0.03125,1,Geno Smith (1yr)
Pete Mangurian,ATL,2003,2003,1,0.15625,1,Doug Johnson (1yr)
Press Taylor,JAX,2022,2024,3,0.5520833333333334,1,Trevor Lawrence (3yr)
Raheem Morris,ATL,2020,2020,1,0.53125,1,Matt Ryan (1yr)
Raheem Morris,ATL,2024,2025,2,0.5,2,Kirk Cousins (1yr); Michael Penix (1yr)
Raheem Morris,TB,2009,2011,3,0.3645833333333333,1,Josh Freeman (3yr)
Randy Fichtner,PIT,2018,2020,3,0.4791666666666667,2,Ben Roethlisberger (2yr); Mason Rudolph (1yr)
Rex Ryan,BUF,2015,2015,1,0.6875,1,Tyrod Taylor (1yr)
Rex Ryan,NYJ,2009,2014,6,0.2604166666666667,2,Mark Sanchez (4yr); Geno Smith (2yr)
Rich Bisaccia,LV,2021,2021,1,0.40625,1,Derek Carr (1yr)
Rich Olson,ARI,2001,2002,2,0.3996975806451613,1,Jake Plummer (2yr)
Rich Scangarello,DEN,2019,2019,1,0.3125,1,Joe Flacco (1yr)
Richard Williamson,CAR,2001,2001,1,0.064516129032258,1,Chris Weinke (1yr)
Rick Dennison,BUF,2017,2017,1,0.3125,1,Tyrod Taylor (1yr)
Rick Dennison,DEN,2006,2008,3,0.6979166666666666,2,Jake Plummer (1yr); Jay Cutler (2yr)
Rick Dennison,DEN,2015,2016,2,0.21875,2,Peyton Manning (1yr); Trevor Siemian (1yr)
Rick Dennison,HOU,2010,2013,4,0.59375,1,Matt Schaub (4yr)
Rick Neuheisel,BAL,2007,2007,1,0.21875,1,Kyle Boller (1yr)
Rob Boras,LA,2015,2016,2,0.03125,2,Case Keenum (1yr); Nick Foles (1yr)
Rob Chudzinski,CAR,2011,2012,2,0.8125,1,Cam Newton (2yr)
Rob Chudzinski,CLE,2004,2004,1,0.125,1,Jeff Garcia (1yr)
Rob Chudzinski,CLE,2007,2008,2,0.359375,1,Derek Anderson (2yr)
Rob Chudzinski,CLE,2013,2013,1,0.21875,1,Jason Campbell (1yr)
Rob Chudzinski,IND,2015,2017,3,0.3333333333333333,3,Matt Hasselbeck (1yr); Andrew Luck (1yr); Jacoby Brissett (1yr)
Robert Saleh,NYJ,2021,2023,3,0.11458333333333333,1,Zach Wilson (3yr)
Robert Saleh (fired on October 8),NYJ,2024,2024,1,0.5,1,Aaron Rodgers (1yr)
Rod Dowhower,PHI,2001,2001,1,0.5161290322580645,1,Donovan McNabb (1yr)
Rod Marinelli,DET,2006,2008,3,0.20833333333333334,2,Jon Kitna (2yr); Dan Orlovsky (1yr)
Romeo Crennel,CLE,2005,2008,4,0.21875,3,Trent Dilfer (1yr); Charlie Frye (1yr); Derek Anderson (2yr)
Romeo Crennel,HOU,2020,2020,1,0.6875,1,Deshaun Watson (1yr)
Romeo Crennel,KC,2011,2011,1,0.1875,1,Matt Cassel (1yr)
Ron Rivera,CAR,2011,2019,9,0.6180555555555556,2,Cam Newton (8yr); Kyle Allen (1yr)
Ron Rivera,WAS,2020,2023,4,0.25,3,Alex Smith (1yr); Taylor Heinicke (2yr); Sam Howell (1yr)
Ron Turner,CHI,2005,2009,5,0.2375,3,Rex Grossman (2yr); Kyle Orton (2yr); Jay Cutler (1yr)
Ryan Grubb,SEA,2024,2024,1,0.46875,1,Geno Smith (1yr)
Scott Linehan,DAL,2015,2018,4,0.5625,2,Matt Cassel (1yr); Dak Prescott (3yr)
Scott Linehan,DET,2009,2013,5,0.4125,2,Shaun Hill (1yr); Matthew Stafford (4yr)
Scott Linehan,MIA,2005,2005,1,0.5,1,Gus Frerotte (1yr)
Scott Linehan,MIN,2002,2004,3,0.9166666666666666,1,Daunte Culpepper (3yr)
Scott Milanovich,JAX,2018,2018,1,0.09375,1,Blake Bortles (1yr)
Scott Turner,CAR,2019,2019,1,0.15625,1,Kyle Allen (1yr)
Scott Turner,LV,2024,2024,1,0.0625,1,Gardner Minshew (1yr)
Scott Turner,WAS,2020,2022,3,0.25,2,Alex Smith (1yr); Taylor Heinicke (2yr)
Sean McDermott,BUF,2017,2025,9,0.7118055555555556,2,Tyrod Taylor (1yr); Josh Allen (8yr)
Sean McVay,LA,2017,2025,9,0.6354166666666666,2,Matthew Stafford (5yr); Jared Goff (4yr)
Sean McVay,WAS,2014,2016,3,0.6041666666666666,2,Kirk Cousins (2yr); Robert Griffin (1yr)
Sean Payton,DEN,2023,2025,3,0.5208333333333334,2,Russell Wilson (1yr); Bo Nix (2yr)
Sean Payton,NO,2006,2011,6,0.875,1,Drew Brees (6yr)
Sean Payton,NO,2013,2021,9,0.8125,2,Drew Brees (8yr); Jameis Winston (1yr)
Sean Payton,NYG,2001,2002,2,0.4758064516129032,1,Kerry Collins (2yr)
Shane Steichen,IND,2023,2025,3,0.5416666666666666,3,Joe Flacco (1yr); Gardner Minshew (1yr); Daniel Jones (1yr)
Shane Steichen,LAC,2019,2020,2,0.640625,2,Philip Rivers (1yr); Justin Herbert (1yr)
Shane Steichen,PHI,2021,2022,2,0.8125,1,Jalen Hurts (2yr)
Shane Waldron,SEA,2021,2023,3,0.6354166666666666,2,Russell Wilson (1yr); Geno Smith (2yr)
Shane Waldron (fired on November 10),CHI,2024,2024,1,0.21875,1,Caleb Williams (1yr)
Sherman Lewis,DET,2003,2004,2,0.1875,1,Joey Harrington (2yr)
Sherman Lewis,MIN,2001,2001,1,0.4193548387096774,1,Daunte Culpepper (1yr)
Sherman Smith,WAS,2008,2009,2,0.390625,1,Jason Campbell (2yr)
Steve Fairchild,BUF,2006,2007,2,0.21875,2,J.P. Losman (1yr); Trent Edwards (1yr)
Steve Loney,MIN,2005,2005,1,0.375,1,Brad Johnson (1yr)
Steve Mariucci,DET,2003,2005,3,0.20833333333333334,1,Joey Harrington (3yr)
Steve Mariucci,SF,2001,2002,2,0.9526209677419355,1,Jeff Garcia (2yr)
Steve Sarkisian,ATL,2017,2018,2,0.78125,1,Matt Ryan (2yr)
Steve Spagnuolo,LA,2009,2011,3,0.08333333333333333,2,Marc Bulger (1yr); Sam Bradford (2yr)
Steve Spagnuolo,NYG,2017,2017,1,0.1875,1,Eli Manning (1yr)
Steve Spurrier,WAS,2002,2002,1,0.34375,1,Shane Matthews (1yr)
Steve Wilks,ARI,2018,2018,1,0.03125,1,Josh Rosen (1yr)
Steve Wilks,CAR,2022,2022,1,0.34375,1,Phillip Walker (1yr)
Tanner Engstrand,NYJ,2025,2025,1,0.125,1,Tyrod Taylor (1yr)
Ted Tollner,DET,2005,2005,1,0.25,1,Joey Harrington (1yr)
Terry Robiskie,CLE,2004,2004,1,0.125,1,Jeff Garcia (1yr)
Terry Robiskie,TEN,2016,2017,2,0.484375,1,Marcus Mariota (2yr)
Terry Shea,CHI,2004,2004,1,0.03125,1,Chad Hutchinson (1yr)
Thomas Brown,CAR,2023,2023,1,0.125,1,Bryce Young (1yr)
Thomas Brown,CHI,2024,2024,1,0.21875,1,Caleb Williams (1yr)
Tim Kelly,HOU,2019,2021,3,0.5104166666666666,2,Deshaun Watson (2yr); Davis Mills (1yr)
Tim Kelly,NYG,2025,2025,1,0.71875,1,Jaxson Dart (1yr)
Tim Kelly,TEN,2023,2023,1,0.5625,1,Will Levis (1yr)
Todd Bowles,MIA,2011,2011,1,0.46875,1,Matt Moore (1yr)
Todd Bowles,NYJ,2015,2018,4,0.3203125,3,Josh McCown (1yr); Ryan Fitzpatrick (2yr); Sam Darnold (1yr)
Todd Bowles,TB,2022,2025,4,0.5859375,2,Tom Brady (1yr); Baker Mayfield (3yr)
Todd Downing,LV,2017,2017,1,0.5,1,Derek Carr (1yr)
Todd Downing,TEN,2021,2022,2,0.40625,1,Ryan Tannehill (2yr)
Todd Haley,ARI,2007,2008,2,0.59375,1,Kurt Warner (2yr)
Todd Haley,CLE,2018,2018,1,0.40625,1,Baker Mayfield (1yr)
Todd Haley,KC,2009,2010,2,0.453125,1,Matt Cassel (2yr)
Todd Haley,PIT,2012,2017,6,0.75,1,Ben Roethlisberger (6yr)
"Todd Haley (fired Dec 12, 2011)",KC,2011,2011,1,0.1875,1,Matt Cassel (1yr)
Todd Monken,BAL,2023,2025,3,0.8020833333333334,1,Lamar Jackson (3yr)
Todd Monken,CLE,2019,2019,1,0.375,1,Baker Mayfield (1yr)
Todd Monken,TB,2016,2018,3,0.59375,1,Jameis Winston (3yr)
Tom Cable,LV,2009,2010,2,0.296875,2,Jason Campbell (1yr); JaMarcus Russell (1yr)
Tom Clements,BUF,2005,2005,1,0.34375,1,Kelly Holcomb (1yr)
Tom Clements,GB,2012,2014,3,0.8958333333333334,1,Aaron Rodgers (3yr)
Tom Coughlin,JAX,2001,2002,2,0.0317540322580645,1,Mark Brunell (2yr)
Tom Coughlin,NYG,2006,2015,10,0.609375,1,Eli Manning (10yr)
Tom Moore,IND,2001,2002,2,0.7469758064516129,1,Peyton Manning (2yr)
Tom Moore,IND,2006,2009,4,0.96875,1,Peyton Manning (4yr)
Tom Rossley,GB,2001,2005,5,0.7304435483870968,1,Brett Favre (5yr)
Tommy Rees,CLE,2025,2025,1,0.0625,1,Shedeur Sanders (1yr)
Tony Dungy,IND,2002,2002,1,0.6875,1,Peyton Manning (1yr)
Tony Dungy,IND,2006,2008,3,0.96875,1,Peyton Manning (3yr)
Tony Dungy,TB,2001,2001,1,0.6129032258064516,1,Brad Johnson (1yr)
Tony Sparano,LV,2014,2014,1,0.03125,1,Derek Carr (1yr)
Tony Sparano,MIA,2008,2010,3,0.5520833333333334,2,Chad Pennington (1yr); Chad Henne (2yr)
Tony Sparano,NYJ,2012,2012,1,0.125,1,Mark Sanchez (1yr)
Troy Calhoun,HOU,2006,2006,1,0.40625,1,David Carr (1yr)
Turk Schonert,BUF,2008,2008,1,0.3125,1,Trent Edwards (1yr)
Urban Meyer (fired mid season),JAX,2021,2021,1,0.15625,1,Trevor Lawrence (1yr)
