coach,n_qbs,avg_raw_delta,avg_resid_delta,t_resid,p_resid
John DeFilippo,2,-0.02734375,0.11031093673756226,1.2733879136459625,0.42380870008615074
Marty Schottenheimer,2,0.04073660714285715,0.10787247102456567,0.6393235801358845,0.6378695522248391
Doug Pederson,3,0.11893939393939394,0.10689780644735995,0.9659538552950571,0.4359788374300137
Carl Smith,2,0.15234375,0.10235425139062249,62.47813767933277,0.010188610631716048
Aaron Kromer,2,0.08528645833333331,0.09941525955379511,2.0618021665496955,0.2874885445527411
Jim Schwartz,2,0.036458333333333315,0.09031180302222086,0.8323879727672928,0.5580712233737772
Nick Saban,2,0.0875,0.08394393124803051,0.5804453380372264,0.6651908606762386
Mike Sherman,3,0.011178315412186427,0.08343068912899747,0.808553983376667,0.5036611884401125
Shane Steichen,6,0.13499503968253967,0.08302091107370714,0.6256650898799995,0.5589805515060622
Joe Philbin,2,-0.011309523809523797,0.08057243869255945,2.3799373694843315,0.253234770072612
Romeo Crennel,3,0.08784722222222223,0.07580203994090132,0.4496159581958557,0.6970173054280828
Scott Linehan,6,0.03449260752688171,0.07533230125473567,1.1190884977105415,0.3139629637489008
Anthony Lynn,4,0.02220052083333332,0.07500341121040235,0.4032114630485401,0.7138091363010659
Kyle Shanahan,6,0.053384770471464026,0.07402231210811577,0.692017816082273,0.5197409402106766
Jim Bob Cooter,4,0.18098958333333331,0.07258033325264832,0.3764505379217976,0.7316295498581296
Gary Kubiak,7,0.08658497000950917,0.05856635529361636,0.425005231167107,0.6856526508492199
Maurice Carthon,2,-0.025504032258064538,0.05753711462778857,0.503179947567056,0.7032152915788354
Mike McCoy,3,0.06567802157519902,0.05701834434034522,0.6336592163687763,0.5911045385567245
Hue Jackson,5,0.030170454545454545,0.052662441106453114,0.7479341276952863,0.4960754637440598
Mike Shanahan,3,0.0018817204301075179,0.048393665079653425,0.20352570797018132,0.8575531654462878
Mike Munchak,2,0.06764112903225805,0.042783037574363594,0.2340713440313478,0.8536209184293653
Todd Monken,3,0.044270833333333336,0.04085957556576983,0.33139057268927186,0.7718515740641352
