coach,team,start,end,n_seasons
Mike Solari,KC,2006,2006,1
Mike Sullivan,NYG,2016,2017,2
Mike Sullivan,TB,2012,2013,2
Mike Tice,CHI,2012,2012,1
Mike Tice,MIN,2002,2005,4
Mike Tomlin,PIT,2007,2025,19
Mike Vrabel,NE,2025,2025,1
Mike Vrabel,TEN,2018,2023,6
Mike Zimmer,MIN,2014,2021,8
Nathaniel Hackett,BUF,2013,2014,2
Nathaniel Hackett,GB,2019,2021,3
Nathaniel Hackett,JAX,2016,2018,3
Nathaniel Hackett,NYJ,2023,2024,2
Nick Caley,HOU,2025,2025,1
Nick Holz,TEN,2024,2025,2
Nick Saban,MIA,2005,2006,2
Nick Sirianni,IND,2018,2020,3
Nick Sirianni,PHI,2021,2025,5
Norm Chow,TEN,2005,2007,3
Norv Turner,CAR,2018,2019,2
Norv Turner,CLE,2013,2013,1
Norv Turner,LAC,2001,2001,1
Norv Turner,LAC,2007,2012,6
Norv Turner,LV,2004,2005,2
Norv Turner,MIA,2002,2003,2
Norv Turner,MIN,2014,2016,3
Norv Turner,SF,2006,2006,1
Parks Frazier,IND,2022,2022,1
Pat Shurmur,CLE,2011,2012,2
Pat Shurmur,DEN,2020,2021,2
Pat Shurmur,LA,2009,2010,2
Pat Shurmur,MIN,2016,2017,2
Pat Shurmur,NYG,2018,2019,2
Pat Shurmur,PHI,2013,2015,3
Paul Hackett,NYJ,2001,2004,4
Pep Hamilton,HOU,2022,2022,1
Pep Hamilton,IND,2013,2014,2
Pete Carmichael,NO,2015,2023,9
Pete Carmichael Jr.,NO,2010,2010,1
"Pete Carmichael, Jr.",NO,2009,2009,1
"Pete Carmichael, Jr.",NO,2011,2014,4
Pete Carroll,LV,2025,2025,1
Pete Mangurian,ATL,2003,2003,1
Press Taylor,JAX,2022,2024,3
Raheem Morris,ATL,2020,2020,1
Raheem Morris,ATL,2024,2025,2
Raheem Morris,TB,2009,2011,3
Randy Fichtner,PIT,2018,2020,3
Rex Ryan,BUF,2015,2015,1
Rex Ryan,NYJ,2009,2014,6
Rich Bisaccia,LV,2021,2021,1
Rich Olson,ARI,2001,2002,2
Rich Scangarello,DEN,2019,2019,1
Richard Williamson,CAR,2001,2001,1
Rick Dennison,BUF,2017,2017,1
Rick Dennison,DEN,2006,2008,3
Rick Dennison,DEN,2015,2016,2
Rick Dennison,HOU,2010,2013,4
Rick Neuheisel,BAL,2007,2007,1
Rob Boras,LA,2015,2016,2
Rob Chudzinski,CAR,2011,2012,2
Rob Chudzinski,CLE,2004,2004,1
Rob Chudzinski,CLE,2007,2008,2
Rob Chudzinski,CLE,2013,2013,1
Rob Chudzinski,IND,2015,2017,3
Robert Saleh,NYJ,2021,2023,3
Robert Saleh (fired on October 8),NYJ,2024,2024,1
Rod Dowhower,PHI,2001,2001,1
Rod Marinelli,DET,2006,2008,3
Romeo Crennel,CLE,2005,2008,4
Romeo Crennel,HOU,2020,2020,1
Romeo Crennel,KC,2011,2011,1
Ron Rivera,CAR,2011,2019,9
Ron Rivera,WAS,2020,2023,4
Ron Turner,CHI,2005,2009,5
Ryan Grubb,SEA,2024,2024,1
Scott Linehan,DAL,2015,2018,4
Scott Linehan,DET,2009,2013,5
Scott Linehan,MIA,2005,2005,1
Scott Linehan,MIN,2002,2004,3
Scott Milanovich,JAX,2018,2018,1
Scott Turner,CAR,2019,2019,1
Scott Turner,LV,2024,2024,1
Scott Turner,WAS,2020,2022,3
Sean McDermott,BUF,2017,2025,9
Sean McVay,LA,2017,2025,9
Sean McVay,WAS,2014,2016,3
Sean Payton,DEN,2023,2025,3
Sean Payton,NO,2006,2011,6
Sean Payton,NO,2013,2021,9
Sean Payton,NYG,2001,2002,2
Shane Steichen,IND,2023,2025,3
Shane Steichen,LAC,2019,2020,2
Shane Steichen,PHI,2021,2022,2
Shane Waldron,SEA,2021,2023,3
