coach,team,start,end,n_seasons
Mick Lombardi; fired on October 31,LV,2023,2023,1
Mike Groh,PHI,2018,2019,2
Mike Heimerdinger,NYJ,2005,2005,1
Mike Heimerdinger,TEN,2001,2004,4
Mike Heimerdinger,TEN,2009,2010,2
Mike Holmgren,SEA,2002,2002,1
Mike Holmgren,SEA,2005,2007,3
Mike Johnson,SF,2010,2010,1
Mike Kafka,NYG,2022,2025,4
Mike Kruczek,ARI,2006,2006,1
Mike LaFleur,LA,2023,2025,3
Mike LaFleur,NYJ,2021,2022,2
Mike Macdonald,SEA,2024,2025,2
Mike Martz,CHI,2010,2011,2
Mike Martz,DET,2006,2007,2
Mike Martz,LA,2001,2001,1
Mike Martz,SF,2008,2008,1
Mike McCarthy,DAL,2020,2024,5
Mike McCarthy,GB,2006,2006,1
Mike McCarthy,GB,2008,2017,10
Mike McCarthy,NO,2001,2004,4
Mike McCarthy,SF,2005,2005,1
Mike McCoy,DEN,2009,2012,4
Mike McCoy,LAC,2013,2016,4
Mike McCoy,TEN,2025,2025,1
"Mike McCoy (fired November 20, 2017)",DEN,2017,2017,1
"Mike McCoy (fired Oct 19, 2018)",ARI,2018,2018,1
Mike McDaniel,MIA,2022,2025,4
Mike McDaniel,SF,2021,2021,1
Mike Miller,ARI,2011,2012,2
Mike Mularkey,ATL,2008,2011,4
Mike Mularkey,BUF,2005,2005,1
Mike Mularkey,JAX,2012,2012,1
Mike Mularkey,MIA,2006,2006,1
Mike Mularkey,PIT,2001,2003,3
Mike Mularkey,TEN,2015,2017,3
Mike Munchak,TEN,2011,2013,3
Mike Nolan,SF,2005,2008,4
Mike Pettine,CLE,2014,2014,1
Mike Riley,LAC,2001,2001,1
Mike Shanahan,WAS,2010,2013,4
Mike Sheppard,BUF,2001,2001,1
Mike Sheppard,NO,2005,2005,1
Mike Sherman,GB,2001,2001,1
Mike Sherman,HOU,2007,2007,1
Mike Sherman,MIA,2012,2013,2
Mike Shula,CAR,2013,2017,5
Mike Shula,NYG,2018,2019,2
Mike Singletary,SF,2009,2010,2
Mike Smith,ATL,2008,2014,7
