coach,qb_id,qb_name,n_with,raw_with,resid_with,n_elsewhere,raw_elsewhere,resid_elsewhere,raw_delta,resid_delta
Bill Parcells,00-0021678,Tony Romo,1,0.90625,0.3786002304147465,7,0.7633928571428571,0.22710490191885038,0.1428571428571429,0.15149532849589611
Bob Bratkowski,00-0009311,Jon Kitna,3,0.46102150537634407,-0.08367003337203922,4,0.3941532258064516,-0.13394639075082623,0.06686827956989244,0.05027635737878701
Bob Bratkowski,00-0021429,Carson Palmer,6,0.6302083333333334,0.0990195208323103,6,0.4583333333333333,-0.08911267709337689,0.17187500000000006,0.1881321979256872
Bob Bratkowski,00-0023682,Ryan Fitzpatrick,1,0.0625,-0.4651497695852534,9,0.3680555555555556,-0.1756793512645532,-0.3055555555555556,-0.2894704183207002
Bob Bratkowski,00-0027948,Blaine Gabbert,1,0.09375,-0.3630844508880029,2,0.078125,-0.354246464045218,0.015625,-0.008837986842784917
Bobby Jackson,00-0017200,Kurt Warner,1,1.0,0.4723502304147465,6,0.59375,0.058154738243964575,0.40625,0.41419549217078194
Bobby Petrino,00-0002110,Mark Brunell,1,0.032258064516129,-0.5318636044880786,5,0.4608870967741936,-0.07492595897845664,-0.4286290322580646,-0.4569376455096219
Bobby Petrino,00-0021141,Joey Harrington,1,0.0625,-0.4574240986717267,5,0.19375,-0.27671502058606656,-0.13125,-0.1807090780856601
Bobby Slowik,00-0039163,C.J. Stroud,2,0.421875,0.03353455316845985,1,0.34375,-0.1593479543666405,0.078125,0.19288250753510036
Brad Childress,00-0005106,Brett Favre,2,0.46875,-0.15885416666666669,9,0.6858198924731183,0.10723931203848976,-0.21706989247311825,-0.2660934787051564
Brad Childress,00-0005589,Gus Frerotte,1,0.34375,-0.2104482922201138,1,0.5,0.0181155123339658,-0.15625,-0.2285638045540796
Brad Childress,00-0008442,Brad Johnson,1,0.125,-0.4291982922201138,5,0.4887096774193548,-0.037441293243465096,-0.3637096774193548,-0.39175699897664873
Brad Childress,00-0011022,Donovan McNabb,4,0.5859375,0.0455064035423991,7,0.6303283410138248,0.10671781841805932,-0.044390841013824844,-0.06121141487566022
Brad Childress,00-0023436,Alex Smith,1,0.5625,0.0806155123339658,13,0.43990384615384615,-0.0923530144976026,0.12259615384615385,0.17296852683156838
Brad Childress,00-0024279,Tarvaris Jackson,1,0.53125,0.0744155491119971,1,0.34375,-0.1761740986717267,0.1875,0.25058964778372383
Brad Idzik,00-0027973,Andy Dalton,1,0.3125,-0.1983137829912024,11,0.4659090909090909,-0.042478999449481664,-0.15340909090909088,-0.15583478354172073
