coach,qb_id,qb_name,n_seasons_with,pctile_with,n_seasons_elsewhere,pctile_elsewhere,delta
Dick Jauron,00-0015700,Kordell Stewart,1,0.28125,2,0.6935483870967741,-0.41229838709677413
Dick Jauron,00-0021141,Joey Harrington,1,0.25,5,0.15625,0.09375
Dick Jauron,00-0023682,Ryan Fitzpatrick,1,0.1875,9,0.3541666666666667,-0.16666666666666669
Dick LeBeau,00-0009311,Jon Kitna,2,0.2696572580645161,5,0.4840725806451613,-0.21441532258064516
Dick Vermeil,00-0006355,Trent Green,5,0.942741935483871,1,0.65625,0.286491935483871
Dirk Koetter,00-0021231,David Garrard,3,0.7083333333333334,2,0.640625,0.06770833333333337
Dirk Koetter,00-0026143,Matt Ryan,5,0.6125,10,0.628125,-0.015625
Dirk Koetter,00-0027948,Blaine Gabbert,1,0.0625,2,0.09375,-0.03125
Dirk Koetter,00-0031503,Jameis Winston,4,0.59375,3,0.25,0.34375
Dom Capers,00-0020608,David Carr,4,0.2890625,1,0.40625,-0.1171875
Don Breaux,00-0002110,Mark Brunell,3,0.5104166666666666,3,0.26848118279569894,0.2419354838709677
Doug Marrone,00-0020531,Drew Brees,3,0.8854166666666666,16,0.83984375,0.04557291666666663
Doug Marrone,00-0023541,Kyle Orton,1,0.21875,4,0.28125,-0.0625
Doug Marrone,00-0030520,Mike Glennon,1,0.1875,1,0.1875,0.0
Doug Marrone,00-0031407,Blake Bortles,3,0.34375,2,0.171875,0.171875
Doug Marrone,00-0035289,Gardner Minshew,1,0.28125,2,0.296875,-0.015625
Doug Pederson,00-0023436,Alex Smith,3,0.6979166666666666,11,0.3806818181818182,0.31723484848484845
Doug Pederson,00-0032950,Carson Wentz,5,0.4875,1,0.625,-0.1375
Doug Pederson,00-0036971,Trevor Lawrence,3,0.5520833333333334,2,0.375,0.17708333333333337
Dowell Loggains,00-0023682,Ryan Fitzpatrick,1,0.5625,9,0.3125,0.25
Dowell Loggains,00-0029701,Ryan Tannehill,1,0.15625,9,0.5416666666666666,-0.38541666666666663
Dowell Loggains,00-0033869,Mitch Trubisky,1,0.15625,3,0.3645833333333333,-0.20833333333333331
Dowell Loggains,00-0034869,Sam Darnold,2,0.03125,4,0.3671875,-0.3359375
Drew Petzing,00-0033119,Jacoby Brissett,1,0.28125,3,0.4583333333333333,-0.17708333333333331
Drew Petzing,00-0035228,Kyler Murray,1,0.71875,4,0.5390625,0.1796875
Eddie Faulkner,00-0038102,Kenny Pickett,1,0.3125,1,0.65625,-0.34375
Edgar Bennett,00-0023459,Aaron Rodgers,2,0.75,14,0.8058035714285714,-0.0558035714285714
Emmitt Thomas,00-0021141,Joey Harrington,1,0.0625,5,0.19375,-0.13125
Eric Bieniemy,00-0033873,Patrick Mahomes,5,0.975,3,0.7083333333333334,0.2666666666666666
Eric Mangini,00-0005106,Brett Favre,1,0.625,10,0.6484879032258064,-0.023487903225806406
Eric Mangini,00-0019559,Chad Pennington,2,0.453125,4,0.75,-0.296875
Eric Mangini,00-0027688,Colt McCoy,1,0.28125,1,0.21875,0.0625
Eric Studesville,00-0036212,Tua Tagovailoa,1,0.34375,5,0.55625,-0.21250000000000002
Frank Reich,00-0022942,Philip Rivers,3,0.6041666666666666,12,0.8098958333333334,-0.20572916666666674
Frank Reich,00-0029668,Andrew Luck,1,0.71875,4,0.6796875,0.0390625
Frank Reich,00-0032950,Carson Wentz,3,0.6145833333333334,3,0.40625,0.20833333333333337
Frank Reich,00-0033119,Jacoby Brissett,1,0.53125,3,0.375,0.15625
Frank Reich; fired on November 27,00-0039150,Bryce Young,1,0.125,1,0.21875,-0.09375
Frank Smith,00-0036212,Tua Tagovailoa,4,0.578125,2,0.40625,0.171875
Freddie Kitchens,00-0034855,Baker Mayfield,2,0.390625,5,0.6375,-0.24687499999999996
Freddie Kitchens,00-0035710,Daniel Jones,1,0.03125,6,0.3541666666666667,-0.3229166666666667
Gary Kubiak,00-0006423,Brian Griese,2,0.6950604838709677,2,0.5599798387096775,0.13508064516129026
Gary Kubiak,00-0010346,Peyton Manning,1,0.25,14,0.928067396313364,-0.678067396313364
Gary Kubiak,00-0013042,Jake Plummer,3,0.8229166666666666,4,0.38911290322580644,0.4338037634408602
Gary Kubiak,00-0020608,David Carr,1,0.40625,4,0.2890625,0.1171875
Gary Kubiak,00-0026158,Joe Flacco,1,0.8125,12,0.4401041666666667,0.3723958333333333
Gary Kubiak,00-0029604,Kirk Cousins,1,0.71875,9,0.5555555555555556,0.16319444444444442
Gary Kubiak,00-0032156,Trevor Siemian,1,0.1875,1,0.125,0.0625
Geep Chryst,00-0027948,Blaine Gabbert,1,0.09375,2,0.078125,0.015625
George Godsey,00-0026625,Brian Hoyer,1,0.3125,2,0.390625,-0.078125
George Godsey,00-0036212,Tua Tagovailoa,1,0.34375,5,0.55625,-0.21250000000000002
George Sefcik,00-0002876,Chris Chandler,1,0.3870967741935484,1,0.064516129032258,0.32258064516129037
Giff Smith,00-0036355,Justin Herbert,1,0.28125,5,0.59375,-0.3125
Gil Haskell,00-0007091,Matt Hasselbeck,5,0.6919354838709678,6,0.4166666666666667,0.27526881720430113
