coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Rod Dowhower,00-0011022,Donovan McNabb,2001,2001,1,1,0.2205849039507067,1,0.0130310778914239,9,0.07727048458376456,-0.14331441936694214
Mike Heimerdinger,00-0011024,Steve McNair,2001,2004,4,1,0.0284629981024667,4,0.17307706092772301,2,-0.1276049902487877,-0.15606798835125438
Norm Chow,00-0011024,Steve McNair,2005,2005,1,5,0.14415424836267174,1,-0.3983254928315412,1,0.1431155123339658,-0.0010387360287059388
Dave McGinnis,00-0013042,Jake Plummer,2001,2002,2,1,-0.3018433179723502,2,-0.13271271134838145,4,0.19046617383094883,0.492309491803299
Gary Kubiak,00-0013042,Jake Plummer,2003,2005,3,3,-0.18908958022303768,3,0.24999137204830327,1,0.0118905791788855,0.20098015940192318
Rich Olson,00-0013042,Jake Plummer,2001,2002,2,1,-0.3018433179723502,2,-0.13271271134838145,4,0.19046617383094883,0.492309491803299
Bill Cowher,00-0015700,Kordell Stewart,2001,2002,2,1,-0.0360531309297912,1,0.3339717741935483,1,-0.2828716690042075,-0.2468185380744163
Mike Mularkey,00-0015700,Kordell Stewart,2001,2002,2,1,-0.0360531309297912,1,0.3339717741935483,1,-0.2828716690042075,-0.2468185380744163
Bill Belichick,00-0016193,Vinny Testaverde,2006,2006,1,3,-0.14057430156813455,0,,1,-0.3463541666666666,-0.20577986509853202
Herman Edwards,00-0016193,Vinny Testaverde,2001,2005,4,1,-0.188233137829912,1,-0.0058111954459203,1,-0.3463541666666666,-0.15812102883675458
Josh McDaniels,00-0016193,Vinny Testaverde,2006,2006,1,3,-0.14057430156813455,0,,1,-0.3463541666666666,-0.20577986509853202
Mike Heimerdinger,00-0016193,Vinny Testaverde,2005,2005,1,3,-0.14057430156813455,0,,1,-0.3463541666666666,-0.20577986509853202
Paul Hackett,00-0016193,Vinny Testaverde,2001,2003,3,1,-0.188233137829912,1,-0.0058111954459203,2,-0.28701636904761896,-0.09878323121770696
Bobby Jackson,00-0017200,Kurt Warner,2001,2001,1,1,0.4969020456333595,1,0.4723502304147465,5,-0.029594723233914415,-0.5264967688672739
Dennis Green,00-0017200,Kurt Warner,2005,2006,2,3,0.2999994145966805,1,-0.179150182592818,3,0.033476866227103434,-0.26652254836957706
Keith Rowen,00-0017200,Kurt Warner,2005,2006,2,3,0.2999994145966805,1,-0.179150182592818,3,0.033476866227103434,-0.26652254836957706
Mike Kruczek,00-0017200,Kurt Warner,2006,2006,1,4,0.1802120152993059,0,,3,0.033476866227103434,-0.14673514907220245
Mike Martz,00-0017200,Kurt Warner,2001,2001,1,1,0.4969020456333595,1,0.4723502304147465,5,-0.029594723233914415,-0.5264967688672739
Todd Haley,00-0017200,Kurt Warner,2007,2008,2,4,0.1802120152993059,2,0.0567825431736722,1,-0.0131344876660341,-0.19334650296533998
Brian Schottenheimer,00-0019559,Chad Pennington,2006,2007,2,3,0.20395193024424907,2,-0.1242021074254412,1,0.2483783309957924,0.04442640075154333
Eric Mangini,00-0019559,Chad Pennington,2006,2007,2,3,0.20395193024424907,2,-0.1242021074254412,1,0.2483783309957924,0.04442640075154333
Mike Heimerdinger,00-0019559,Chad Pennington,2005,2005,1,3,0.20395193024424907,0,,3,-8.62795169666771e-06,-0.20396055819594575
Bill O'Brien,00-0019596,Tom Brady,2011,2011,1,9,0.25585305194535435,1,0.4556155123339658,11,0.2236884858248818,-0.032164566120472554
Bruce Arians,00-0019596,Tom Brady,2020,2021,2,18,0.2678016013286586,2,0.3098958333333333,1,-0.2213541666666666,-0.48915576799532523
Josh McDaniels,00-0019596,Tom Brady,2006,2019,11,5,0.15000331920234544,10,0.27824816292228177,3,0.1328125,-0.017190819202345442
Greg Olson,00-0019599,Marc Bulger,2006,2007,2,4,0.03875533496118608,2,-0.10708906546489563,2,-0.5435109257985128,-0.5822662607596989
Greg Knapp,00-0020245,Mike Vick,2004,2006,3,1,0.3244155491119971,3,-0.051656784524112966,3,0.10639353289377011,-0.21802201621822698
Jim Mora Jr.,00-0020245,Mike Vick,2006,2006,1,3,0.08395643140379498,1,-0.0824240986717267,3,0.10639353289377011,0.02243710148997513
Pete Mangurian,00-0020245,Mike Vick,2003,2003,1,1,0.3244155491119971,0,,6,0.02736837418482857,-0.29704717492716853
Wade Phillips,00-0020245,Mike Vick,2003,2003,1,1,0.3244155491119971,0,,6,0.02736837418482857,-0.29704717492716853
Bruce Coslet,00-0020404,Quincy Carter,2002,2002,1,1,-0.2230722492266902,0,,1,-0.1280979543666405,0.09497429486004969
Dave Campo,00-0020404,Quincy Carter,2002,2002,1,1,-0.2230722492266902,0,,1,-0.1280979543666405,0.09497429486004969
Aaron Kromer,00-0020531,Drew Brees,2012,2012,1,10,0.28736364436652717,1,0.3306155123339658,8,0.26948573050921243,-0.017877913857314742
Doug Marrone,00-0020531,Drew Brees,2006,2008,3,4,0.23406783496118608,3,0.32722389549246356,12,0.28684956447923354,0.052781729518047465
Joe Vitt,00-0020531,Drew Brees,2012,2012,1,10,0.28736364436652717,1,0.3306155123339658,8,0.26948573050921243,-0.017877913857314742
