coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Matt Nagy,4,0.014062500000000006,0.4830729166666667,0.46901041666666665,0.09328720873025044,0.9315563613030843
Mike Sherman,3,0.011178315412186427,0.6080309139784946,0.5968525985663082,0.08310663831714504,0.9413359391467648
Pep Hamilton,2,0.010416666666666685,0.375,0.3645833333333333,0.25000000000000033,0.8440417392452613
Ron Rivera,2,0.008563701923076927,0.416015625,0.4074519230769231,0.02647468648397586,0.9831496272409479
Joe Lombardi,3,0.005729166666666674,0.5520833333333334,0.5463541666666667,0.036746165208203264,0.9740253042015528
Mike Shanahan,3,0.0018817204301075179,0.421875,0.41999327956989246,0.008532420557878968,0.99396677737056
Jim Caldwell,3,0.0014435609193673704,0.6197916666666666,0.6183481057472994,0.02568220083249999,0.9818429353772101
Drew Petzing,2,0.0013020833333333426,0.5,0.49869791666666663,0.007299270072992753,0.9953532228722562
Jonathan Gannon,2,0.0013020833333333426,0.5,0.49869791666666663,0.007299270072992753,0.9953532228722562
Nathaniel Hackett,4,0.0006510416666666574,0.3515625,0.35091145833333337,0.010146664616589515,0.9925413047845929
Sean McVay,4,-0.0036221590909090995,0.579296875,0.5829190340909091,-0.02612245509560642,0.9808001589026571
Vance Joseph,2,-0.005208333333333343,0.234375,0.23958333333333334,-0.09090909090909109,0.9422841232473912
Bruce Arians,5,-0.005919107243916255,0.6415625,0.6474816072439162,-0.14548758386112623,0.8913628228845765
Dan Campbell,2,-0.01085069444444442,0.5625,0.5733506944444444,-0.11210762331838542,0.9289268309836423
Joe Philbin,2,-0.011309523809523797,0.6427083333333333,0.6540178571428572,-0.16740088105726852,0.8944083582459941
Bob Bratkowski,4,-0.01279681899641577,0.3118699596774194,0.32466677867383514,-0.12440833216740761,0.9088598823663604
Kevin O'Connell,5,-0.017447916666666664,0.45625,0.4736979166666666,-0.10956345304469928,0.9180322672588066
Jim Fassel,3,-0.01787634408602153,0.42943548387096775,0.4473118279569892,-0.7487434440278504,0.5320917073867509
Marc Trestman,3,-0.01916468108504399,0.5885416666666666,0.6077063477517107,-0.12424966371456438,0.9124793563535869
Bill Musgrave,3,-0.01967592592592593,0.4583333333333333,0.47800925925925924,-0.19515750637137785,0.8632982862156876
Pete Carmichael,4,-0.02126675407925406,0.52734375,0.548610504079254,-0.246305257696819,0.8213370851309926
Todd Haley,4,-0.021377840909090923,0.55078125,0.5721590909090909,-0.3092384332057715,0.777373495705444
Byron Leftwich,2,-0.02315748207885307,0.6145833333333333,0.6377408154121864,-0.47068867387592495,0.7199351686253682
Randy Fichtner,2,-0.02395833333333336,0.375,0.39895833333333336,-3.285714285714301,0.18808347849052184
Maurice Carthon,2,-0.025504032258064538,0.15877016129032256,0.1842741935483871,-3.7761194029850595,0.1648078265512851
John DeFilippo,2,-0.02734375,0.234375,0.26171875,-2.3333333333333335,0.2577621168183132
Todd Downing,2,-0.029296875,0.453125,0.482421875,-0.3191489361702128,0.8033285801259201
Brad Idzik,2,-0.029829545454545442,0.265625,0.2954545454545454,-0.2413793103448275,0.8492173957204281
Clyde Christensen,4,-0.03204205069124422,0.5282258064516129,0.5602678571428571,-0.2589389777402314,0.8124329028489564
Norv Turner,8,-0.03352428401571545,0.474609375,0.5081336590157155,-0.6747041369167288,0.5215166607103657
Mike Martz,4,-0.03353074596774193,0.421875,0.4554057459677419,-0.20809279510530032,0.8484830433076298
Jason Garrett,5,-0.03501008064516129,0.4884375,0.5234475806451613,-0.4244270073334333,0.6930870380107681
Matt Canada,2,-0.03515625,0.484375,0.51953125,-0.09278350515463918,0.9411008164830478
Marty Mornhinweg,6,-0.039138104838709685,0.3675067204301075,0.40664482526881723,-0.7263303308974257,0.5002003035665072
Bill Lazor,4,-0.04201388888888889,0.36328125,0.4052951388888889,-0.4669379024565128,0.6723648856337249
Brian Schottenheimer,7,-0.04212029569892474,0.4828869047619047,0.5250072004608295,-0.6864126374522557,0.5180857666726851
Tony Sparano,4,-0.043359375000000006,0.34765625,0.391015625,-0.21662464793564723,0.8423956447444773
Jeff Davidson,2,-0.04750504032258063,0.421875,0.4693800403225806,-0.5487627365356622,0.6804851197194051
Jim Tomsula,2,-0.04867788461538461,0.21875,0.2674278846153846,-0.7570093457943925,0.5874882014636181
Todd Bowles,5,-0.050420026881720446,0.3791666666666667,0.4295866935483871,-0.45699972474660655,0.6713890429071296
Greg Knapp,6,-0.05567112658846532,0.37668010752688175,0.43235123411534704,-0.507069053486112,0.6336721152983368
Jimmy Raye,2,-0.05851814516129031,0.4140625,0.4725806451612903,-0.7127071823204417,0.6058028334436136
Vic Fangio,2,-0.05859375,0.421875,0.48046875,-0.5294117647058825,0.6900303218783597
John Fox,4,-0.060497871863799235,0.45833333333333337,0.5188312051971326,-0.920524217761225,0.4251872958745914
Mike Shula,3,-0.06387553418803421,0.45208333333333334,0.5159588675213675,-9.259248261082528,0.011463841295223536
Kellen Moore,4,-0.06841856060606062,0.5494791666666666,0.6178977272727273,-0.5873850280051847,0.5982270724619163
Brad Childress,6,-0.07855404284335733,0.4361979166666667,0.514751959510024,-0.9195098343552127,0.4000161283310382
Raheem Morris,3,-0.07903439153439153,0.5069444444444444,0.5859788359788359,-1.0567387980022651,0.40142252606664985
Rick Dennison,6,-0.0844144025217614,0.4427083333333333,0.5271227358550947,-0.5648026403815407,0.5966057690767239
Lovie Smith,7,-0.0851934523809524,0.21540178571428573,0.30059523809523814,-1.448159052963794,0.19773522989601855
