coach,qb_id,qb_name,n_seasons_with_coach,avg_pctile_with_coach,n_seasons_elsewhere,avg_pctile_elsewhere,delta
Jim Tomsula,00-0023436,Alex Smith,1,0.34375,13,0.4567307692307692,-0.11298076923076922
Jimmy Raye,00-0023436,Alex Smith,1,0.3125,13,0.45913461538461536,-0.14663461538461536
Mike McCarthy,00-0023436,Alex Smith,1,0.03125,13,0.4807692307692308,-0.4495192307692308
Mike Nolan,00-0023436,Alex Smith,1,0.21875,13,0.46634615384615385,-0.24759615384615385
Ron Rivera,00-0023436,Alex Smith,1,0.15625,13,0.47115384615384615,-0.31490384615384615
Adam Stenavich,00-0023459,Aaron Rodgers,1,0.6875,15,0.80625,-0.11875000000000002
Arthur Smith,00-0023459,Aaron Rodgers,1,0.46875,15,0.8208333333333333,-0.3520833333333333
Edgar Bennett,00-0023459,Aaron Rodgers,2,0.75,14,0.8058035714285714,-0.0558035714285714
Jeff Ulbrich,00-0023459,Aaron Rodgers,1,0.5,15,0.81875,-0.31875
Joe Philbin,00-0023459,Aaron Rodgers,5,0.8375,11,0.78125,0.05625000000000002
Matt LaFleur,00-0023459,Aaron Rodgers,3,0.9166666666666666,13,0.7716346153846154,0.1450320512820512
Mike McCarthy,00-0023459,Aaron Rodgers,3,0.8958333333333334,13,0.7764423076923077,0.11939102564102566
Hue Jackson,00-0023460,Jason Campbell,1,0.53125,3,0.3333333333333333,0.19791666666666669
Norv Turner,00-0023460,Jason Campbell,1,0.21875,3,0.4375,-0.21875
Sherman Smith,00-0023460,Jason Campbell,2,0.390625,2,0.375,0.015625
Doug Marrone,00-0023541,Kyle Orton,1,0.21875,4,0.28125,-0.0625
Josh McDaniels,00-0023541,Kyle Orton,1,0.4375,4,0.2265625,0.2109375
Josh McDaniels {{small|(fired December 6)}},00-0023541,Kyle Orton,1,0.4375,4,0.2265625,0.2109375
Lovie Smith,00-0023541,Kyle Orton,2,0.125,3,0.3645833333333333,-0.23958333333333331
Ken Whisenhunt,00-0023645,Derek Anderson,1,0.0625,2,0.359375,-0.296875
Rob Chudzinski,00-0023645,Derek Anderson,2,0.359375,1,0.0625,0.296875
Bill Belichick,00-0023662,Matt Cassel,1,0.90625,5,0.275,0.63125
Bill Muir,00-0023662,Matt Cassel,1,0.1875,5,0.41875,-0.23125
Brian Daboll,00-0023662,Matt Cassel,1,0.0625,5,0.44375,-0.38125
Charlie Weis,00-0023662,Matt Cassel,1,0.6875,5,0.31875,0.36875
Jason Garrett,00-0023662,Matt Cassel,1,0.21875,5,0.4125,-0.19374999999999998
Todd Haley,00-0023662,Matt Cassel,1,0.21875,5,0.4125,-0.19374999999999998
Alex Van Pelt,00-0023682,Ryan Fitzpatrick,1,0.1875,9,0.3541666666666667,-0.16666666666666669
Bill O'Brien,00-0023682,Ryan Fitzpatrick,1,0.34375,9,0.3368055555555556,0.00694444444444442
Bob Bratkowski,00-0023682,Ryan Fitzpatrick,1,0.0625,9,0.3680555555555556,-0.3055555555555556
Brian Flores,00-0023682,Ryan Fitzpatrick,1,0.21875,9,0.3506944444444444,-0.13194444444444442
Chan Gailey,00-0023682,Ryan Fitzpatrick,5,0.4,5,0.275,0.125
Dowell Loggains,00-0023682,Ryan Fitzpatrick,1,0.5625,9,0.3125,0.25
Mike Heimerdinger,00-0024218,Vince Young,2,0.546875,2,0.34375,0.203125
Norm Chow,00-0024218,Vince Young,2,0.34375,2,0.546875,-0.203125
Aaron Kromer,00-0024226,Jay Cutler,2,0.59375,8,0.38671875,0.20703125
Adam Gase,00-0024226,Jay Cutler,2,0.28125,8,0.46484375,-0.18359375
Lovie Smith,00-0024226,Jay Cutler,4,0.2421875,6,0.5520833333333334,-0.30989583333333337
Rick Dennison,00-0024226,Jay Cutler,2,0.78125,8,0.33984375,0.44140625
Brad Childress,00-0024279,Tarvaris Jackson,1,0.53125,1,0.34375,0.1875
Darrell Bevell,00-0024279,Tarvaris Jackson,1,0.34375,1,0.53125,-0.1875
Greg Knapp,00-0025388,JaMarcus Russell,1,0.15625,1,0.0625,0.09375
Tom Cable,00-0025388,JaMarcus Russell,1,0.0625,1,0.15625,-0.09375
Arthur Smith,00-0026143,Matt Ryan,1,0.1875,14,0.6540178571428571,-0.4665178571428571
Dan Quinn,00-0026143,Matt Ryan,6,0.703125,9,0.5694444444444444,0.13368055555555558
Dirk Koetter,00-0026143,Matt Ryan,3,0.6458333333333334,12,0.6171875,0.02864583333333337
Jeff Saturday,00-0026143,Matt Ryan,1,0.0625,14,0.6629464285714286,-0.6004464285714286
Mike Mularkey,00-0026143,Matt Ryan,4,0.734375,11,0.5823863636363636,0.15198863636363635
Cam Cameron,00-0026158,Joe Flacco,5,0.6375,8,0.36328125,0.27421874999999996
Gary Kubiak,00-0026158,Joe Flacco,1,0.8125,12,0.4401041666666667,0.3723958333333333
Greg Roman,00-0026158,Joe Flacco,1,0.5625,12,0.4609375,0.1015625
Jim Bob Cooter,00-0026158,Joe Flacco,1,0.28125,12,0.484375,-0.203125
Jim Caldwell,00-0026158,Joe Flacco,1,0.15625,12,0.4947916666666667,-0.3385416666666667
John Harbaugh,00-0026158,Joe Flacco,3,0.2604166666666667,10,0.53125,-0.2708333333333333
Rich Scangarello,00-0026158,Joe Flacco,1,0.3125,12,0.4817708333333333,-0.16927083333333331
Dan Henning,00-0026197,Chad Henne,2,0.421875,1,0.03125,0.390625
Gus Bradley,00-0026197,Chad Henne,1,0.03125,2,0.421875,-0.390625
Darrell Bevell,00-0026498,Matthew Stafford,2,0.375,14,0.5267857142857143,-0.1517857142857143
Jim Bob Cooter,00-0026498,Matthew Stafford,4,0.4921875,12,0.5130208333333334,-0.02083333333333337
Jim Caldwell,00-0026498,Matthew Stafford,1,0.53125,15,0.50625,0.025000000000000022
Jim Schwartz,00-0026498,Matthew Stafford,4,0.421875,12,0.5364583333333334,-0.11458333333333337
Kevin O'Connell,00-0026498,Matthew Stafford,1,0.78125,15,0.4895833333333333,0.2916666666666667
Liam Coen,00-0026498,Matthew Stafford,1,0.125,15,0.5333333333333333,-0.4083333333333333
Mike LaFleur,00-0026498,Matthew Stafford,3,0.7604166666666666,13,0.4495192307692308,0.31089743589743585
Bill O'Brien,00-0026625,Brian Hoyer,1,0.3125,2,0.390625,-0.078125
Kyle Shanahan,00-0026625,Brian Hoyer,2,0.390625,1,0.3125,0.078125
Brian Schottenheimer,00-0026898,Mark Sanchez,3,0.375,2,0.359375,0.015625
Chip Kelly,00-0026898,Mark Sanchez,1,0.59375,4,0.3125,0.28125
Rex Ryan,00-0026898,Mark Sanchez,1,0.125,4,0.4296875,-0.3046875
Greg Olson,00-0026993,Josh Freeman,3,0.3645833333333333,1,0.5625,-0.19791666666666669
Greg Schiano,00-0026993,Josh Freeman,1,0.5625,3,0.3645833333333333,0.19791666666666669
Brian Daboll,00-0027688,Colt McCoy,1,0.28125,1,0.21875,0.0625
Pat Shurmur,00-0027688,Colt McCoy,1,0.21875,1,0.28125,-0.0625
Brian Schottenheimer,00-0027854,Sam Bradford,1,0.375,4,0.2265625,0.1484375
Chip Kelly {{small|(fired on December 29)}},00-0027854,Sam Bradford,1,0.34375,4,0.234375,0.109375
Josh McDaniels,00-0027854,Sam Bradford,1,0.03125,4,0.3125,-0.28125
Mike Zimmer,00-0027854,Sam Bradford,1,0.34375,4,0.234375,0.109375
Pat Shurmur,00-0027854,Sam Bradford,1,0.1875,4,0.2734375,-0.0859375
Bill Belichick,00-0027939,Cam Newton,1,0.34375,8,0.67578125,-0.33203125
Mike Shula,00-0027939,Cam Newton,5,0.60625,4,0.6796875,-0.07343750000000004
Norv Turner,00-0027939,Cam Newton,1,0.75,8,0.625,0.125
Rob Chudzinski,00-0027939,Cam Newton,2,0.8125,7,0.5892857142857143,0.2232142857142857
Bob Bratkowski,00-0027948,Blaine Gabbert,1,0.09375,2,0.078125,0.015625
Dirk Koetter,00-0027948,Blaine Gabbert,1,0.0625,2,0.09375,-0.03125
Geep Chryst,00-0027948,Blaine Gabbert,1,0.09375,2,0.078125,0.015625
Bill Lazor,00-0027973,Andy Dalton,2,0.359375,10,0.471875,-0.11249999999999999
Brad Idzik,00-0027973,Andy Dalton,1,0.3125,11,0.4659090909090909,-0.15340909090909088
