season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2005,DET,16,254.0,15.875,994,-100.98180043481338,-0.1015913485259692,4324.0,16,270.25,-0.1015913485259692
2005,GB,16,298.0,18.625,1101,-63.55495163962433,-0.05772475171628,5135.0,16,320.9375,-0.05772475171628
2005,HOU,16,260.0,16.25,974,-96.10921918702468,-0.0986747630256927,4060.0,16,253.75,-0.0986747630256927
2005,IND,16,439.0,27.4375,1015,189.77275994203956,0.186968236396098,5828.0,16,364.25,0.186968236396098
2005,JAX,16,361.0,22.5625,1044,28.163674124159343,0.026976699352643,5173.0,16,323.3125,0.026976699352643
2005,KC,16,403.0,25.1875,1090,106.39316865357578,0.0976084116087851,6210.0,16,388.125,0.0976084116087851
2005,LA,16,363.0,22.6875,1060,-10.039888934510753,-0.0094715933344441,5576.0,16,348.5,-0.0094715933344441
2005,LAC,16,418.0,26.125,1065,94.78015411861624,0.0889954498766349,5570.0,16,348.125,0.0889954498766349
2005,LV,16,290.0,18.125,1049,-28.067661625335063,-0.0267565887753432,4971.0,16,310.6875,-0.0267565887753432
2005,MIA,16,318.0,19.875,1056,-43.22695246600842,-0.0409346140776594,5210.0,16,325.625,-0.0409346140776594
2005,MIN,16,306.0,19.125,1004,-73.70893542709328,-0.0734152743297741,4626.0,16,289.125,-0.0734152743297741
2005,NE,16,379.0,23.6875,1067,78.95082055468876,0.0739932713727167,5640.0,16,352.5,0.0739932713727167
2005,NO,16,235.0,14.6875,1067,-103.2089741621736,-0.0967281857190005,5036.0,16,314.75,-0.0967281857190005
2005,NYG,16,422.0,26.375,1106,46.91340108168761,0.0424171800015258,5809.0,16,363.0625,0.0424171800015258
2005,NYJ,16,240.0,15.0,955,-118.7234370600382,-0.1243177351414012,3963.0,16,247.6875,-0.1243177351414012
2005,PHI,16,310.0,19.375,1063,-110.58512661108315,-0.1040311633218091,5122.0,16,320.125,-0.1040311633218091
2005,PIT,16,389.0,24.3125,990,56.149504810830045,0.0567166715260909,5169.0,16,323.0625,0.0567166715260909
2005,SEA,16,452.0,28.25,1048,163.19025182961144,0.1557158891503925,5935.0,16,370.9375,0.1557158891503925
2005,SF,16,239.0,14.9375,904,-184.07830428903583,-0.203626442797606,3595.0,16,224.6875,-0.203626442797606
2005,TB,16,300.0,18.75,1006,-65.2426040447609,-0.0648534831458855,4733.0,16,295.8125,-0.0648534831458855
2005,TEN,16,299.0,18.6875,1046,-119.34402273289548,-0.1140956240276247,5130.0,16,320.625,-0.1140956240276247
2005,WAS,16,359.0,22.4375,1066,14.547953223685742,0.0136472356694988,5308.0,16,331.75,0.0136472356694988
2006,ARI,16,314.0,19.625,1019,-47.173176197666606,-0.0462935978387307,5012.0,16,313.25,-0.0462935978387307
2006,ATL,16,292.0,18.25,1030,-52.95711115242276,-0.0514146710217696,5317.0,16,332.3125,-0.0514146710217696
2006,BAL,16,353.0,22.0625,1014,-15.00548772557026,-0.01479831136644,5102.0,16,318.875,-0.01479831136644
2006,BUF,16,300.0,18.75,924,-81.72563442326492,-0.0884476563022347,4273.0,16,267.0625,-0.0884476563022347
2006,CAR,16,270.0,16.875,1006,-71.18927289239546,-0.0707646847836933,4938.0,16,308.625,-0.0707646847836933
2006,CHI,16,427.0,26.6875,1061,-49.06717601239174,-0.046246160237881,5226.0,16,326.625,-0.046246160237881
2006,CIN,16,373.0,23.3125,1006,44.81184968021195,0.0445445821870894,5475.0,16,342.1875,0.0445445821870894
2006,CLE,16,238.0,14.875,963,-189.911994965479,-0.1972087175134776,4240.0,16,265.0,-0.1972087175134776
2006,DAL,16,425.0,26.5625,1053,77.28751639439042,0.0733974514666575,5792.0,16,362.0,0.0733974514666575
2006,DEN,16,319.0,19.9375,986,-44.47204045788261,-0.0451034893081973,4966.0,16,310.375,-0.0451034893081973
2006,DET,16,305.0,19.0625,1001,-112.53868662678067,-0.1124262603664142,4956.0,16,309.75,-0.1124262603664142
2006,GB,16,301.0,18.8125,1104,-74.10412704371129,-0.0671233034816225,5455.0,16,340.9375,-0.0671233034816225
2006,HOU,16,267.0,16.6875,975,-59.09835791727138,-0.0606137004279706,4478.0,16,279.875,-0.0606137004279706
2006,IND,16,427.0,26.6875,1024,156.85942537491235,0.1531830325926878,6080.0,16,380.0,0.1531830325926878
2006,JAX,16,371.0,23.1875,1005,10.179479609008425,0.0101288354318491,5441.0,16,340.0625,0.0101288354318491
2006,KC,16,331.0,20.6875,1016,-8.011429889187113,-0.0078852656389636,5157.0,16,322.3125,-0.0078852656389636
2006,LA,16,367.0,22.9375,1084,43.268336135126745,0.0399154392390468,5780.0,16,361.25,0.0399154392390468
2006,LAC,16,492.0,30.75,1030,135.97527391101391,0.1320148290398193,5847.0,16,365.4375,0.1320148290398193
2006,LV,16,168.0,10.5,986,-253.7350780643478,-0.2573378073674927,3941.0,16,246.3125,-0.2573378073674927
2006,MIA,16,260.0,16.25,1050,-107.44500761731724,-0.1023285786831592,4973.0,16,310.8125,-0.1023285786831592
2006,MIN,16,282.0,17.625,1057,-163.0361924564827,-0.1542442691168237,4952.0,16,309.5,-0.1542442691168237
2006,NE,16,385.0,24.0625,1062,68.98303523377649,0.0649557770562867,5405.0,16,337.8125,0.0649557770562867
2006,NO,16,413.0,25.8125,1082,80.33699076589744,0.0742486051440826,6299.0,16,393.6875,0.0742486051440826
2006,NYG,16,355.0,22.1875,1033,-19.705011246653267,-0.0190755191158308,5229.0,16,326.8125,-0.0190755191158308
2006,NYJ,16,316.0,19.75,1037,-19.88084605596068,-0.019171500536124,4902.0,16,306.375,-0.019171500536124
2006,PHI,16,398.0,24.875,1001,55.71820630420845,0.055662543760448,6081.0,16,380.0625,0.055662543760448
