team,plays,total_epa,mean_epa,total_yards,games_est,season
ARI,1097,-106.52624948088612,-0.09710688193335107,4566.0,16,2004
ATL,998,-32.628407943523385,-0.03269379553459257,5108.0,16,2004
BAL,998,-112.33626457717048,-0.11256138735187424,4395.0,16,2004
BUF,1002,-73.84230459761807,-0.0736949147680819,4699.0,16,2004
CAR,1033,27.97977216231498,0.027085936265551773,5237.0,16,2004
CHI,1008,-243.80844730637483,-0.24187345962934012,3822.0,16,2004
CIN,1023,-61.04997034383805,-0.05967739036543309,5152.0,16,2004
CLE,958,-139.51691846038676,-0.14563352657660414,4474.0,16,2004
DAL,1039,-51.54094250625939,-0.04960629692613994,5200.0,16,2004
DEN,1104,65.13868563485727,0.05900243264026926,6345.0,16,2004
DET,973,-69.58753017011485,-0.07151853049343766,4705.0,16,2004
GB,1077,120.54868129991699,0.11193006620233704,6365.0,16,2004
HOU,1031,-23.796518319757354,-0.023081007099667657,5138.0,16,2004
IND,999,239.71388579053752,0.2399538396301677,6497.0,16,2004
JAX,1051,-33.547938521052124,-0.031920017622314105,5020.0,16,2004
KC,1127,195.9864878632297,0.17390105400464037,6704.0,16,2004
LA,1058,9.687826282787784,0.009156735617001685,5884.0,16,2004
LAC,1017,156.39636270315387,0.15378206755472357,5565.0,16,2004
LV,988,-31.20783388750941,-0.03158687640436175,5161.0,16,2004
MIA,1057,-182.58461369035032,-0.17273851815548755,4415.0,16,2004
MIN,1021,167.35814172577798,0.16391590766481684,6356.0,16,2004
NE,1052,105.33231658108588,0.10012577621776224,5748.0,16,2004
NO,1027,-29.21077964433942,-0.02844282341220976,5229.0,16,2004
NYG,990,-28.99721964454317,-0.029290120853073906,4726.0,16,2004
NYJ,1019,36.87476137832499,0.03618720449295877,5450.0,16,2004
PHI,979,68.6411742569296,0.07011355899584229,5638.0,16,2004
PIT,1018,44.08755498174273,0.04330801078756653,5219.0,16,2004
SEA,1052,38.016999604049,0.03613783232324049,5655.0,16,2004
SF,1063,-163.84184421191028,-0.1541315561730106,4592.0,16,2004
TB,981,-71.97885323190539,-0.07337293907431743,4977.0,16,2004
TEN,1085,-13.43145082445075,-0.012379217349724194,5494.0,16,2004
WAS,1051,-125.52914069415344,-0.11943781226846188,4404.0,16,2004
ARI,1117,-81.30955957260358,-0.0727928017659835,5586.0,16,2005
ATL,1043,-17.037601525739962,-0.016335188423528248,5253.0,16,2005
BAL,1100,-119.64221312189771,-0.10876564829263428,4702.0,16,2005
BUF,975,-80.00636067919102,-0.0820578058248113,4120.0,16,2005
CAR,996,10.088981540227492,0.010129499538381015,4972.0,16,2005
CHI,959,-132.19437841479646,-0.13784606716871373,4113.0,16,2005
CIN,1048,107.58632999998451,0.10265871183204629,5748.0,16,2005
CLE,960,-127.01700650277152,-0.13230938177372034,4562.0,16,2005
DAL,1120,-25.21897955934675,-0.022516946035131026,5211.0,16,2005
DEN,1053,94.06378171014397,0.08932932736006075,5788.0,16,2005
DET,994,-100.98180043481338,-0.1015913485259692,4324.0,16,2005
GB,1101,-63.55495163962433,-0.05772475171628004,5135.0,16,2005
HOU,974,-96.10921918702469,-0.0986747630256927,4060.0,16,2005
IND,1015,189.77275994203953,0.18696823639609805,5828.0,16,2005
JAX,1044,28.163674124159346,0.026976699352643053,5173.0,16,2005
KC,1090,106.39316865357578,0.09760841160878513,6210.0,16,2005
LA,1060,-10.039888934510753,-0.009471593334444106,5576.0,16,2005
LAC,1065,94.78015411861625,0.08899544987663498,5570.0,16,2005
LV,1049,-28.067661625335063,-0.026756588775343246,4971.0,16,2005
MIA,1056,-43.22695246600842,-0.04093461407765949,5210.0,16,2005
MIN,1004,-73.70893542709328,-0.07341527432977418,4626.0,16,2005
NE,1067,78.95082055468876,0.07399327137271675,5640.0,16,2005
NO,1067,-103.2089741621736,-0.09672818571900056,5036.0,16,2005
NYG,1106,46.91340108168761,0.04241718000152587,5809.0,16,2005
NYJ,955,-118.72343706003821,-0.12431773514140126,3963.0,16,2005
PHI,1063,-110.58512661108315,-0.10403116332180917,5122.0,16,2005
PIT,990,56.149504810830045,0.05671667152609095,5169.0,16,2005
SEA,1048,163.19025182961144,0.15571588915039258,5935.0,16,2005
SF,904,-184.07830428903583,-0.203626442797606,3595.0,16,2005
