season,team,games,total_points,ppg
2016,TEN,16,381.0,23.8125
2016,WAS,16,396.0,24.75
2017,ARI,16,295.0,18.4375
2017,ATL,16,353.0,22.0625
2017,BAL,16,395.0,24.6875
2017,BUF,16,302.0,18.875
2017,CAR,16,363.0,22.6875
2017,CHI,16,264.0,16.5
2017,CIN,16,290.0,18.125
2017,CLE,16,234.0,14.625
2017,DAL,16,354.0,22.125
2017,DEN,16,289.0,18.0625
2017,DET,16,410.0,25.625
2017,GB,16,320.0,20.0
2017,HOU,16,338.0,21.125
2017,IND,16,263.0,16.4375
2017,JAX,16,417.0,26.0625
2017,KC,16,415.0,25.9375
2017,LA,16,478.0,29.875
2017,LAC,16,355.0,22.1875
2017,MIA,16,281.0,17.5625
2017,MIN,16,382.0,23.875
2017,NE,16,458.0,28.625
2017,NO,16,448.0,28.0
2017,NYG,16,246.0,15.375
2017,NYJ,16,298.0,18.625
2017,LV,16,301.0,18.8125
2017,PHI,16,457.0,28.5625
2017,PIT,16,406.0,25.375
2017,SEA,16,366.0,22.875
2017,SF,16,331.0,20.6875
2017,TB,16,335.0,20.9375
2017,TEN,16,334.0,20.875
2017,WAS,16,342.0,21.375
2018,ARI,16,225.0,14.0625
2018,ATL,16,414.0,25.875
2018,BAL,16,389.0,24.3125
2018,BUF,16,269.0,16.8125
2018,CAR,16,376.0,23.5
2018,CHI,16,421.0,26.3125
2018,CIN,16,368.0,23.0
2018,CLE,16,359.0,22.4375
2018,DAL,16,339.0,21.1875
2018,DEN,16,329.0,20.5625
2018,DET,16,324.0,20.25
2018,GB,16,376.0,23.5
2018,HOU,16,402.0,25.125
2018,IND,16,433.0,27.0625
2018,JAX,16,245.0,15.3125
2018,KC,16,565.0,35.3125
2018,LA,16,527.0,32.9375
2018,LAC,16,428.0,26.75
2018,MIA,16,319.0,19.9375
2018,MIN,16,360.0,22.5
2018,NE,16,436.0,27.25
2018,NO,16,504.0,31.5
2018,NYG,16,369.0,23.0625
2018,NYJ,16,333.0,20.8125
2018,LV,16,290.0,18.125
2018,PHI,16,367.0,22.9375
2018,PIT,16,428.0,26.75
2018,SEA,16,428.0,26.75
2018,SF,16,342.0,21.375
2018,TB,16,396.0,24.75
2018,TEN,16,310.0,19.375
2018,WAS,16,281.0,17.5625
2019,ARI,16,361.0,22.5625
2019,ATL,16,381.0,23.8125
2019,BAL,16,531.0,33.1875
2019,BUF,16,314.0,19.625
2019,CAR,16,340.0,21.25
2019,CHI,16,280.0,17.5
2019,CIN,16,279.0,17.4375
2019,CLE,16,335.0,20.9375
2019,DAL,16,434.0,27.125
2019,DEN,16,282.0,17.625
2019,DET,16,341.0,21.3125
2019,GB,16,376.0,23.5
2019,HOU,16,378.0,23.625
2019,IND,16,361.0,22.5625
2019,JAX,16,300.0,18.75
2019,KC,16,451.0,28.1875
2019,LA,16,394.0,24.625
2019,LAC,16,337.0,21.0625
2019,MIA,16,306.0,19.125
2019,MIN,16,407.0,25.4375
2019,NE,16,420.0,26.25
2019,NO,16,458.0,28.625
2019,NYG,16,341.0,21.3125
2019,NYJ,16,276.0,17.25
2019,LV,16,313.0,19.5625
2019,PHI,16,385.0,24.0625
2019,PIT,16,289.0,18.0625
2019,SEA,16,405.0,25.3125
2019,SF,16,479.0,29.9375
2019,TB,16,458.0,28.625
2019,TEN,16,402.0,25.125
2019,WAS,16,266.0,16.625
2020,ARI,16,410.0,25.625
2020,ATL,16,396.0,24.75
2020,BAL,16,468.0,29.25
2020,BUF,16,501.0,31.3125
2020,CAR,16,350.0,21.875
2020,CHI,16,372.0,23.25
2020,CIN,16,311.0,19.4375
2020,CLE,16,408.0,25.5
2020,DAL,16,395.0,24.6875
2020,DEN,16,323.0,20.1875
2020,DET,16,377.0,23.5625
2020,GB,16,509.0,31.8125
2020,HOU,16,384.0,24.0
2020,IND,16,451.0,28.1875
2020,JAX,16,306.0,19.125
2020,KC,16,473.0,29.5625
2020,LA,16,372.0,23.25
2020,LAC,16,384.0,24.0
2020,LV,16,434.0,27.125
2020,MIA,16,404.0,25.25
2020,MIN,16,430.0,26.875
2020,NE,16,326.0,20.375
2020,NO,16,482.0,30.125
2020,NYG,16,280.0,17.5
2020,NYJ,16,243.0,15.1875
2020,PHI,16,334.0,20.875
2020,PIT,16,416.0,26.0
2020,SEA,16,459.0,28.6875
2020,SF,16,376.0,23.5
2020,TB,16,492.0,30.75
2020,TEN,16,491.0,30.6875
2020,WAS,16,335.0,20.9375
2021,ARI,17,449.0,26.41176470588235
2021,ATL,17,313.0,18.41176470588235
2021,BAL,17,387.0,22.764705882352946
2021,BUF,17,483.0,28.41176470588235
2021,CAR,17,304.0,17.88235294117647
2021,CHI,17,311.0,18.294117647058822
2021,CIN,17,460.0,27.058823529411764
2021,CLE,17,349.0,20.529411764705884
2021,DAL,17,530.0,31.176470588235293
2021,DEN,17,335.0,19.705882352941178
2021,DET,17,325.0,19.11764705882353
2021,GB,17,450.0,26.47058823529412
2021,HOU,17,280.0,16.470588235294116
2021,IND,17,451.0,26.529411764705884
2021,JAX,17,253.0,14.882352941176473
2021,KC,17,480.0,28.235294117647054
2021,LA,17,460.0,27.058823529411764
2021,LAC,17,474.0,27.88235294117647
2021,LV,17,374.0,22.0
2021,MIA,17,341.0,20.058823529411764
2021,MIN,17,425.0,25.0
2021,NE,17,462.0,27.176470588235293
2021,NO,17,364.0,21.41176470588235
2021,NYG,17,258.0,15.176470588235292
2021,NYJ,17,310.0,18.235294117647054
2021,PHI,17,444.0,26.11764705882353
2021,PIT,17,343.0,20.176470588235293
2021,SEA,17,395.0,23.235294117647054
2021,SF,17,427.0,25.11764705882353
2021,TB,17,511.0,30.058823529411764
2021,TEN,17,419.0,24.647058823529413
2021,WAS,17,335.0,19.705882352941178
2022,ARI,17,340.0,20.0
2022,ATL,17,365.0,21.47058823529412
2022,BAL,17,350.0,20.58823529411765
2022,BUF,16,455.0,28.4375
2022,CAR,17,347.0,20.41176470588235
2022,CHI,17,326.0,19.176470588235293
2022,CIN,16,418.0,26.125
2022,CLE,17,361.0,21.235294117647054
2022,DAL,17,467.0,27.47058823529412
2022,DEN,17,287.0,16.88235294117647
2022,DET,17,453.0,26.647058823529413
2022,GB,17,370.0,21.764705882352946
2022,HOU,17,289.0,17.0
2022,IND,17,289.0,17.0
2022,JAX,17,404.0,23.764705882352946
2022,KC,17,496.0,29.176470588235293
2022,LA,17,307.0,18.058823529411764
2022,LAC,17,391.0,23.0
2022,LV,17,395.0,23.235294117647054
2022,MIA,17,397.0,23.352941176470587
2022,MIN,17,424.0,24.94117647058824
2022,NE,17,364.0,21.41176470588235
2022,NO,17,330.0,19.41176470588235
2022,NYG,17,365.0,21.47058823529412
2022,NYJ,17,296.0,17.41176470588235
2022,PHI,17,477.0,28.058823529411764
2022,PIT,17,308.0,18.11764705882353
2022,SEA,17,407.0,23.94117647058824
2022,SF,17,450.0,26.47058823529412
2022,TB,17,313.0,18.41176470588235
2022,TEN,17,298.0,17.529411764705884
2022,WAS,17,321.0,18.88235294117647
2023,ARI,17,330.0,19.41176470588235
2023,ATL,17,321.0,18.88235294117647
2023,BAL,17,483.0,28.41176470588235
2023,BUF,17,451.0,26.529411764705884
2023,CAR,17,236.0,13.882352941176473
2023,CHI,17,360.0,21.176470588235293
2023,CIN,17,366.0,21.529411764705884
2023,CLE,17,396.0,23.294117647058822
2023,DAL,17,509.0,29.94117647058824
2023,DEN,17,357.0,21.0
2023,DET,17,461.0,27.11764705882353
2023,GB,17,383.0,22.529411764705884
2023,HOU,17,377.0,22.176470588235293
2023,IND,17,396.0,23.294117647058822
2023,JAX,17,377.0,22.176470588235293
2023,KC,17,371.0,21.823529411764707
2023,LA,17,404.0,23.764705882352946
2023,LAC,17,346.0,20.352941176470587
2023,LV,17,332.0,19.529411764705884
2023,MIA,17,496.0,29.176470588235293
2023,MIN,17,344.0,20.235294117647054
2023,NE,17,236.0,13.882352941176473
2023,NO,17,402.0,23.647058823529413
2023,NYG,17,266.0,15.647058823529411
2023,NYJ,17,268.0,15.764705882352942
2023,PHI,17,433.0,25.47058823529412
2023,PIT,17,304.0,17.88235294117647
2023,SEA,17,364.0,21.41176470588235
2023,SF,17,491.0,28.88235294117647
2023,TB,17,348.0,20.47058823529412
2023,TEN,17,305.0,17.941176470588236
2023,WAS,17,329.0,19.352941176470587
2024,ARI,17,400.0,23.529411764705884
2024,ATL,17,389.0,22.88235294117647
2024,BAL,17,518.0,30.47058823529412
2024,BUF,17,525.0,30.88235294117647
2024,CAR,17,341.0,20.058823529411764
2024,CHI,17,310.0,18.235294117647054
2024,CIN,17,472.0,27.764705882352946
2024,CLE,17,258.0,15.176470588235292
2024,DAL,17,350.0,20.58823529411765
2024,DEN,17,425.0,25.0
2024,DET,17,564.0,33.1764705882353
2024,GB,17,460.0,27.058823529411764
2024,HOU,17,372.0,21.88235294117647
2024,IND,17,377.0,22.176470588235293
2024,JAX,17,320.0,18.823529411764707
