coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
Justin Hill,RB,16,3,0.1875,0.09202226345083488,0.17703622054365184
David Raih,WR,19,2,0.10526315789473684,0.0410126582278481,0.18179828111088123
James Urban,WR,36,3,0.08333333333333333,0.0410126582278481,0.18180784770986305
Clancy Barone,TE,36,5,0.1388888888888889,0.07368918280585735,0.18278346419680092
Mike Sheppard,WR,20,2,0.1,0.0410126582278481,0.1968604697902964
Mike Wilson,WR,20,2,0.1,0.0410126582278481,0.1968604697902964
Jon Embree,TE,21,3,0.14285714285714285,0.07368918280585735,0.1978175519243114
Ben Steele,TE,21,3,0.14285714285714285,0.07368918280585735,0.1978175519243114
Bishop Harris,RB,17,3,0.17647058823529413,0.09202226345083488,0.2012700475024847
Curtis Modkins,RB,52,2,0.038461538461538464,0.09202226345083488,0.22842528663718686
Wes Phillips,TE,23,3,0.13043478260869565,0.07368918280585735,0.23755966412645796
John McNulty,WR,23,2,0.08695652173913043,0.0410126582278481,0.24278483275529772
Ronald Curry,WR,23,2,0.08695652173913043,0.0410126582278481,0.24278483275529772
Antwaan Randle El,WR,23,2,0.08695652173913043,0.0410126582278481,0.24278483275529772
Johnny Roland,RB,19,0,0.0,0.09202226345083488,0.24892690377492907
Edgar Bennett,RB,19,0,0.0,0.09202226345083488,0.24892690377492907
Jim Skipper,RB,36,1,0.027777777777777776,0.09202226345083488,0.2492697459415466
Bernie Parmalee,RB,36,1,0.027777777777777776,0.09202226345083488,0.2492697459415466
Alex Van Pelt,QB,18,2,0.1111111111111111,0.05466970387243736,0.25792003544872144
Jim Hostler,WR,44,0,0.0,0.0410126582278481,0.26102098333503726
Charlie Joiner,WR,46,0,0.0,0.0410126582278481,0.2618929741427715
Zach Azzanni,WR,49,0,0.0,0.0410126582278481,0.26645798802706855
Wilbert Montgomery,RB,24,4,0.16666666666666666,0.09202226345083488,0.27119636700117156
Tony Dews,RB,24,4,0.16666666666666666,0.09202226345083488,0.27119636700117156
Jason Vrable,WR,26,2,0.07692307692307693,0.0410126582278481,0.2891200246961882
Derek Dooley,WR,27,2,0.07407407407407407,0.0410126582278481,0.3045246389952282
Eric Yarber,WR,62,4,0.06451612903225806,0.0410126582278481,0.32163022782033535
Ben McAdoo,TE,16,2,0.125,0.07368918280585735,0.3323095936994625
Kevin Garver,WR,30,2,0.06666666666666667,0.0410126582278481,0.35029692956224695
Dean Dalton,RB,15,0,0.0,0.09202226345083488,0.38780003593618717
Sylvester Croom,RB,38,5,0.13157894736842105,0.09202226345083488,0.390269879537796
John Zernhelt,TE,20,0,0.0,0.07368918280585735,0.3934021059694145
Thomas Hammock,RB,17,0,0.0,0.09202226345083488,0.3940436900461888
Ken Zampese,QB,25,0,0.0,0.05466970387243736,0.39453563817253895
Freddie Kitchens,TE,21,0,0.0,0.07368918280585735,0.39662888877514135
Jeff Nixon,RB,18,0,0.0,0.09202226345083488,0.40114394811394327
James Casey,TE,22,0,0.0,0.07368918280585735,0.40150942964025
Tom Rathman,RB,69,4,0.057971014492753624,0.09202226345083488,0.4029384299357775
Nolan Cromwell,WR,37,0,0.0,0.0410126582278481,0.403119748262288
Henry Ellard,WR,37,0,0.0,0.0410126582278481,0.403119748262288
Bob Bicknell,WR,42,0,0.0,0.0410126582278481,0.41730571131409
Alfredo Roberts,TE,52,2,0.038461538461538464,0.07368918280585735,0.4290994061222402
Sam Gash,RB,21,3,0.14285714285714285,0.09202226345083488,0.43440917065570456
Derrick Foster,RB,21,3,0.14285714285714285,0.09202226345083488,0.43440917065570456
Jerry Sullivan,WR,46,3,0.06521739130434782,0.0410126582278481,0.4357579890130756
Ivan Fears,RB,80,5,0.0625,0.09202226345083488,0.43584732585782027
Tyke Tolbert,WR,112,6,0.05357142857142857,0.0410126582278481,0.4641309413936158
Bryan McClendon,WR,15,1,0.06666666666666667,0.0410126582278481,0.46703564752852134
Stump Mitchell,RB,52,6,0.11538461538461539,0.09202226345083488,0.47274736494052805
Jason Michael,TE,30,3,0.1,0.07368918280585735,0.4814760672984349
Duce Staley,RB,27,1,0.037037037037037035,0.09202226345083488,0.5070642385096545
David Walker,RB,28,1,0.03571428571428571,0.09202226345083488,0.5091636398923235
Dan Pitcher,WR,17,1,0.058823529411764705,0.0410126582278481,0.5100208961801049
Ray Sherman,WR,64,1,0.015625,0.0410126582278481,0.520571157068918
Rob Moore,WR,67,1,0.014925373134328358,0.0410126582278481,0.5257959849666592
Wes Chandler,WR,18,1,0.05555555555555555,0.0410126582278481,0.530203101829437
Connor Embree,WR,18,1,0.05555555555555555,0.0410126582278481,0.530203101829437
Andrew Hayes-Stoker,WR,20,1,0.05,0.0410126582278481,0.5681220018033426
Chris Beatty,WR,20,1,0.05,0.0410126582278481,0.5681220018033426
Randy Fichtner,QB,15,1,0.06666666666666667,0.05466970387243736,0.5717119130787038
James Daniel,TE,49,2,0.04081632653061224,0.07368918280585735,0.5782704771359098
Pat McPherson,TE,50,2,0.04,0.07368918280585735,0.580114960563699
Mike Shula,QB,16,1,0.0625,0.05466970387243736,0.5953960469176695
Sherman Smith,RB,46,5,0.10869565217391304,0.09202226345083488,0.6085693515220201
Mike McCoy,QB,18,0,0.0,0.05466970387243736,0.6189636949055244
Todd Haley,WR,23,1,0.043478260869565216,0.0410126582278481,0.6193710197752872
Steve Walters,WR,23,1,0.043478260869565216,0.0410126582278481,0.6193710197752872
Craig Johnson,QB,19,0,0.0,0.05466970387243736,0.619778501819164
Phil McGeoghan,WR,24,0,0.0,0.0410126582278481,0.6231511395177787
Wade Wilson,QB,21,0,0.0,0.05466970387243736,0.6244889451792243
Brian Daboll,WR,26,0,0.0,0.0410126582278481,0.6245484067737109
Drew Terrell,WR,27,0,0.0,0.0410126582278481,0.6261050603447798
Aaron Moorehead,WR,30,0,0.0,0.0410126582278481,0.6336515927221857
John Morton,WR,31,0,0.0,0.0410126582278481,0.6369879800027515
James Lofton,WR,31,0,0.0,0.0410126582278481,0.6369879800027515
Kevin M. Gilbride,TE,18,0,0.0,0.07368918280585735,0.6379147948705686
Taylor Embree,RB,15,2,0.13333333333333333,0.09202226345083488,0.642062283802229
Chad Hall,WR,34,2,0.058823529411764705,0.0410126582278481,0.6489503725235133
Greg Lewis,WR,37,2,0.05405405405405406,0.0410126582278481,0.6631947699937405
Bret Ingalls,RB,18,2,0.1111111111111111,0.09202226345083488,0.6786626063050427
Bobby Turner,RB,72,5,0.06944444444444445,0.09202226345083488,0.6787197000818198
Lunda Wells,TE,23,2,0.08695652173913043,0.07368918280585735,0.6848480459098567
Eric Studesville,RB,76,8,0.10526315789473684,0.09202226345083488,0.6855263548647517
Stan Hixon,WR,42,2,0.047619047619047616,0.0410126582278481,0.6901556084280638
David Culley,WR,45,2,0.044444444444444446,0.0410126582278481,0.7073962108703697
Eddie Faulkner,RB,22,1,0.045454545454545456,0.09202226345083488,0.7151209606472044
Andy Bischoff,TE,27,1,0.037037037037037035,0.07368918280585735,0.7169712412473024
Kyle Caskey,RB,24,1,0.041666666666666664,0.09202226345083488,0.719403171094819
Todd McNair,RB,25,1,0.04,0.09202226345083488,0.7230937321573647
Charles London,RB,26,3,0.11538461538461539,0.09202226345083488,0.7276569815150717
Mike Groh,WR,60,3,0.05,0.0410126582278481,0.7361383120036318
Brian Angelichio,TE,38,3,0.07894736842105263,0.07368918280585735,0.7562659398354694
George Stewart,WR,69,3,0.043478260869565216,0.0410126582278481,0.7604525838187276
Jonathan Hayes,TE,41,2,0.04878048780487805,0.07368918280585735,0.7650702069758357
Anthony Lynn,RB,44,3,0.06818181818181818,0.09202226345083488,0.793531760435531
Ben Sirmans,RB,44,3,0.06818181818181818,0.09202226345083488,0.793531760435531
Greg Olson,QB,16,0,0.0,0.05466970387243736,1.0
David Shaw,WR,15,0,0.0,0.0410126582278481,1.0
Jim Zorn,QB,17,0,0.0,0.05466970387243736,1.0
Ollie Wilson,RB,51,4,0.0784313725490196,0.09202226345083488,1.0
Skip Peete,RB,68,6,0.08823529411764706,0.09202226345083488,1.0
Jerald Ingram,RB,31,2,0.06451612903225806,0.09202226345083488,1.0
Dick Hoak,RB,16,1,0.0625,0.09202226345083488,1.0
Matt Simon,RB,21,2,0.09523809523809523,0.09202226345083488,1.0
Wade Harman,TE,50,3,0.06,0.07368918280585735,1.0
Brian Pariani,TE,48,3,0.0625,0.07368918280585735,1.0
Karl Dorrell,WR,50,2,0.04,0.0410126582278481,1.0
Fred Biletnikoff,WR,19,0,0.0,0.0410126582278481,1.0
Terry Robiskie,WR,59,2,0.03389830508474576,0.0410126582278481,1.0
Charlie Williams,WR,19,0,0.0,0.0410126582278481,1.0
Jimmy Robinson,WR,36,1,0.027777777777777776,0.0410126582278481,1.0
Fred Graves,WR,51,2,0.0392156862745098,0.0410126582278481,1.0
Robert Ford,WR,17,0,0.0,0.0410126582278481,1.0
Craig Johnson,RB,21,2,0.09523809523809523,0.09202226345083488,1.0
Darrell Bevell,QB,15,0,0.0,0.05466970387243736,1.0
Steve Watson,WR,15,0,0.0,0.0410126582278481,1.0
Tim Spencer,RB,51,4,0.0784313725490196,0.09202226345083488,1.0
Darryl Drake,WR,74,3,0.04054054054054054,0.0410126582278481,1.0
David Lee,QB,16,0,0.0,0.05466970387243736,1.0
Curtis Johnson,WR,33,1,0.030303030303030304,0.0410126582278481,1.0
Mike Sullivan,WR,21,0,0.0,0.0410126582278481,1.0
Kelly Skipper,RB,61,5,0.08196721311475409,0.09202226345083488,1.0
Todd Monken,WR,27,1,0.037037037037037035,0.0410126582278481,1.0
Gerald Brown,RB,19,1,0.05263157894736842,0.09202226345083488,1.0
Shawn Jefferson,WR,79,3,0.0379746835443038,0.0410126582278481,1.0
Adam Henry,WR,53,2,0.03773584905660377,0.0410126582278481,1.0
Robert Prince,WR,68,2,0.029411764705882353,0.0410126582278481,1.0
Ben McDaniels,WR,22,0,0.0,0.0410126582278481,1.0
Chad O'Shea,WR,73,3,0.0410958904109589,0.0410126582278481,1.0
Ken O'Keefe,WR,15,0,0.0,0.0410126582278481,1.0
Ted Gilmore,WR,17,0,0.0,0.0410126582278481,1.0
Nick Sirianni,WR,16,0,0.0,0.0410126582278481,1.0
Tyrone Wheatley,RB,19,1,0.05263157894736842,0.09202226345083488,1.0
Rick Christophel,TE,23,1,0.043478260869565216,0.07368918280585735,1.0
Ricky Proehl,WR,19,0,0.0,0.0410126582278481,1.0
Bobby Engram,WR,46,1,0.021739130434782608,0.0410126582278481,1.0
Richard Angulo,TE,21,1,0.047619047619047616,0.07368918280585735,1.0
Jemal Singleton,RB,17,1,0.058823529411764705,0.09202226345083488,1.0
Nick Caley,TE,22,1,0.045454545454545456,0.07368918280585735,1.0
Frisman Jackson,WR,33,1,0.030303030303030304,0.0410126582278481,1.0
Deland McCullough,RB,15,1,0.06666666666666667,0.09202226345083488,1.0
Tom Manning,TE,15,1,0.06666666666666667,0.07368918280585735,1.0
Nate Carroll,WR,19,0,0.0,0.0410126582278481,1.0
Mike Furrey,WR,17,0,0.0,0.0410126582278481,1.0
John Dunn,TE,19,1,0.05263157894736842,0.07368918280585735,1.0
Steve Heiden,TE,15,1,0.06666666666666667,0.07368918280585735,1.0
Troy Brown,WR,16,0,0.0,0.0410126582278481,1.0
Leonard Hankerson,WR,20,0,0.0,0.0410126582278481,1.0
Reggie Wayne,WR,18,0,0.0,0.0410126582278481,1.0
Keary Colbert,WR,17,0,0.0,0.0410126582278481,1.0
Keith Williams,WR,15,0,0.0,0.0410126582278481,1.0
