coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
David Shaw,WR,Day3+UDFA,7,0.429,0.234,0.195,0.5369367666697515
Mike Johnson,WR,Day3+UDFA,7,0.429,0.234,0.195,0.5369367666697515
Frisman Jackson,WR,Day3+UDFA,11,0.364,0.234,0.13,0.5376006215208232
Tyrone Wheatley,RB,Day3+UDFA,9,0.556,0.315,0.241,0.5404028813472747
George Stewart,WR,Day2,9,0.972,0.63,0.342,0.5419702042789721
Kennedy Polamalu,RB,Day3+UDFA,13,0.218,0.315,-0.097,0.5443109362279663
Nate Carroll,WR,Day3+UDFA,7,0.143,0.234,-0.091,0.5475602555551086
Keith Williams,WR,Day3+UDFA,7,0.143,0.234,-0.091,0.5475602555551086
John McNulty,WR,Day3+UDFA,9,0.444,0.234,0.211,0.5505600009169597
Rob Boras,TE,Day2,6,0.639,0.837,-0.198,0.553628546122486
Larry Kirksey,WR,Day1,7,0.959,1.299,-0.34,0.5537882088129059
Sean Ryan,QB,Day1,6,1.75,1.321,0.429,0.5561306189673464
Ollie Wilson,RB,Day1,7,1.569,1.9,-0.331,0.5618117820568738
Brian Angelichio,TE,Day3+UDFA,13,0.423,0.281,0.142,0.5640839949930139
Bobby Turner,RB,Day2,9,1.417,1.096,0.321,0.5641667634142578
Sanjay Lal,WR,Day3+UDFA,28,0.193,0.234,-0.04,0.5686345781171732
Gary Brown,RB,Day3+UDFA,14,0.44,0.315,0.126,0.5697662766609899
Jimmie Johnson,TE,Day2,5,0.647,0.837,-0.19,0.570819790595524
Randy Jordan,RB,Day3+UDFA,16,0.396,0.315,0.081,0.5731090917184243
Terry Robiskie,RB,Day3+UDFA,5,0.8,0.315,0.485,0.5767786206115947
Mark Ridgley,RB,Day3+UDFA,5,0.8,0.315,0.485,0.5767786206115947
Duce Staley,RB,Day2,5,1.5,1.096,0.404,0.5792282824214541
David Walker,RB,Day3+UDFA,12,0.472,0.315,0.158,0.5803089696258539
Eric Bieniemy,RB,Day3+UDFA,8,0.479,0.315,0.165,0.5807777638539993
Alex Van Pelt,QB,Day3+UDFA,5,0.3,0.419,-0.119,0.582432406235679
Ron Middleton,TE,Day3+UDFA,18,0.213,0.281,-0.068,0.582762598858095
Ike Hilliard,WR,Day3+UDFA,18,0.319,0.234,0.086,0.5848937851335914
Chad O'Shea,WR,Day2,13,0.513,0.63,-0.117,0.5855428798746336
Mike Groh,WR,Day1,5,1.6,1.299,0.301,0.586992961017412
Wes Welker,WR,Day2,5,1.0,0.63,0.37,0.5897927409122017
Justin Peelle,TE,Day3+UDFA,8,0.417,0.281,0.135,0.589917911525696
Stan Hixon,WR,Day3+UDFA,15,0.333,0.234,0.099,0.5900863409870745
Andy Bischoff,TE,Day3+UDFA,16,0.375,0.281,0.094,0.5973893852500727
Steve Logan,RB,Day3+UDFA,6,0.222,0.315,-0.092,0.5992567950312246
Ollie Wilson,RB,Day3+UDFA,10,0.483,0.315,0.169,0.6003675084014076
Charlie Baggett,WR,Day3+UDFA,8,0.375,0.234,0.141,0.6082437379899025
Randy Jordan,RB,Day2,5,1.333,1.096,0.238,0.6110892444678107
Joe Bleymaier,WR,Day3+UDFA,6,0.5,0.234,0.266,0.6173478905798021
Ted Gilmore,WR,Day3+UDFA,7,0.333,0.234,0.099,0.6175752521397001
Maurice Carthon,RB,Day3+UDFA,7,0.5,0.315,0.185,0.6267467211420156
Gerald Brown,RB,Day3+UDFA,6,0.55,0.315,0.235,0.6287116624948701
Alfredo Roberts,TE,Day2,7,1.05,0.837,0.213,0.6402450545086434
Nick Sirianni,WR,Day3+UDFA,8,0.312,0.234,0.079,0.6421623250609476
Jim Skipper,RB,Day3+UDFA,11,0.227,0.315,-0.087,0.643344524486168
Curtis Modkins,RB,Day1,5,1.767,1.9,-0.133,0.6435138484659588
Anthony Lynn,RB,Day1,5,2.2,1.9,0.3,0.6454657642334968
Chad Morton,RB,Day2,6,0.833,1.096,-0.262,0.6491427394193963
Tyler Bowen,TE,Day3+UDFA,5,0.4,0.281,0.119,0.6530773284300165
Rob Moore,WR,Day2,7,0.452,0.63,-0.177,0.6533738982780495
Deland McCullough,RB,Day3+UDFA,7,0.214,0.315,-0.1,0.65617240282241
Dave Brock,RB,Day3+UDFA,5,0.6,0.315,0.285,0.6591379521870264
Charlie Williams,WR,Day1,5,1.0,1.299,-0.299,0.6607887953024146
James Lofton,WR,Day1,5,1.0,1.299,-0.299,0.6607887953024146
James Saxon,RB,Day2,9,1.367,1.096,0.271,0.6608817751400038
Kevin Garver,WR,Day3+UDFA,10,0.35,0.234,0.116,0.6641807456601103
Nick Caley,TE,Day3+UDFA,7,0.214,0.281,-0.067,0.6684324320906676
Wes Welker,WR,Day3+UDFA,11,0.379,0.234,0.145,0.6716553699015169
Jerry Sullivan,WR,Day2,8,0.792,0.63,0.162,0.6725376067920388
Sylvester Croom,RB,Day2,7,1.429,1.096,0.333,0.6733113215194874
Ben McAdoo,TE,Day3+UDFA,6,0.208,0.281,-0.073,0.6744372680126648
Chris Beatty,WR,Day2,6,0.889,0.63,0.259,0.6746574932307619
Larry Kirksey,WR,Day3+UDFA,10,0.3,0.234,0.066,0.6752918378228494
Tom Melvin,TE,Day2,5,1.2,0.837,0.363,0.6776616803522462
Sean Ryan,WR,Day3+UDFA,6,0.417,0.234,0.183,0.6791901161950327
Ted Williams,RB,Day2,7,1.387,1.096,0.291,0.6816163523584138
John Morton,WR,Day3+UDFA,9,0.333,0.234,0.099,0.6841662299619283
Sean Ryan,WR,Day2,7,0.786,0.63,0.156,0.6926604388847248
Bernie Parmalee,RB,Day3+UDFA,18,0.389,0.315,0.074,0.6971941565952181
Mike LaFleur,WR,Day3+UDFA,6,0.167,0.234,-0.067,0.703422313115068
Mike Pope,TE,Day2,6,0.667,0.837,-0.17,0.703610298031939
Tim Kelly,TE,Day3+UDFA,5,0.4,0.281,0.119,0.7045518817449306
Steve Heiden,TE,Day3+UDFA,5,0.2,0.281,-0.081,0.7054769194543393
Frisman Jackson,WR,Day2,13,0.538,0.63,-0.091,0.7060559844008036
George Stewart,WR,Day3+UDFA,16,0.294,0.234,0.06,0.7203520534236315
Adam Henry,WR,Day2,10,0.75,0.63,0.12,0.7217928824278568
James Casey,TE,Day3+UDFA,6,0.222,0.281,-0.059,0.7349967910202001
Robert Prince,WR,Day3+UDFA,23,0.284,0.234,0.05,0.7379127474947581
Shawn Jefferson,WR,Day1,10,1.447,1.299,0.147,0.740666500316185
Gene Huey,RB,Day3+UDFA,8,0.417,0.315,0.102,0.7440778730522328
Burton Burns,RB,Day3+UDFA,5,0.4,0.315,0.085,0.7449690296247199
Justin Hill,RB,Day3+UDFA,6,0.444,0.315,0.13,0.7475606906453834
Eddie Faulkner,RB,Day3+UDFA,8,0.406,0.315,0.092,0.7489249683036586
Ben Sirmans,RB,Day3+UDFA,13,0.393,0.315,0.078,0.749807029581123
Steve Watson,WR,Day3+UDFA,5,0.35,0.234,0.116,0.7567109870602378
Drew Terrell,WR,Day2,6,0.528,0.63,-0.102,0.7608218242053002
Reggie Wayne,WR,Day2,5,0.75,0.63,0.12,0.7621444358565824
Pat McPherson,TE,Day2,10,0.717,0.837,-0.12,0.7625040180254945
Jerry Sullivan,WR,Day3+UDFA,19,0.281,0.234,0.047,0.7638311596100629
Ben Steele,TE,Day3+UDFA,7,0.214,0.281,-0.067,0.7653590004290338
Josh McDaniels,QB,Day3+UDFA,6,0.556,0.419,0.136,0.7675667085125444
Tyke Tolbert,WR,Day1,11,1.431,1.299,0.132,0.7683645911503485
Ike Hilliard,WR,Day2,14,0.714,0.63,0.084,0.7722421030335862
Noel Mazzone,WR,Day3+UDFA,6,0.333,0.234,0.099,0.7774227450619965
Johnny Roland,RB,Day3+UDFA,9,0.389,0.315,0.074,0.7828500652374436
Henry Ellard,WR,Day1,6,1.417,1.299,0.117,0.7893511604949666
Fred Graves,WR,Day3+UDFA,18,0.269,0.234,0.035,0.7909364465699573
Jeff Nixon,RB,Day3+UDFA,6,0.25,0.315,-0.065,0.8063617849736398
Pep Hamilton,QB,Day1,6,1.167,1.321,-0.155,0.8071869383764266
Wes Phillips,TE,Day3+UDFA,8,0.354,0.281,0.073,0.8082346561065369
Jon Embree,TE,Day2,5,1.0,0.837,0.163,0.8088585470696876
Tim Spencer,RB,Day2,5,0.91,1.096,-0.186,0.8134550862340061
Chad O'Shea,WR,Day1,5,1.4,1.299,0.101,0.813511343675711
Terry Malone,TE,Day3+UDFA,6,0.333,0.281,0.052,0.8145647151507099
Robert Prince,WR,Day2,13,0.573,0.63,-0.057,0.815982383503546
Charlie Joiner,WR,Day2,6,0.542,0.63,-0.088,0.825110600645947
Stump Mitchell,RB,Day3+UDFA,15,0.35,0.315,0.035,0.82572915806199
Dave Brock,WR,Day3+UDFA,7,0.19,0.234,-0.043,0.8273265041509744
Mike McCoy,QB,Day3+UDFA,6,0.367,0.419,-0.053,0.8299153549274109
Aaron Moorehead,WR,Day2,5,0.75,0.63,0.12,0.8336651103622923
Vinnie Sunseri,RB,Day3+UDFA,5,0.4,0.315,0.085,0.8414000865319847
John DeFilippo,QB,Day1,6,1.25,1.321,-0.071,0.8505646336740125
John Dunn,TE,Day3+UDFA,8,0.312,0.281,0.031,0.8522997078085511
Adam Henry,WR,Day3+UDFA,21,0.262,0.234,0.028,0.8525719083685744
Terry Robiskie,WR,Day1,6,1.417,1.299,0.117,0.8551987360367245
Sanjay Lal,WR,Day2,21,0.667,0.63,0.037,0.8552059445296265
Jason Michael,TE,Day3+UDFA,14,0.321,0.281,0.04,0.8577372775013292
Ben McDaniels,WR,Day2,8,0.562,0.63,-0.067,0.8612019709119572
Jimmie Johnson,TE,Day3+UDFA,12,0.25,0.281,-0.031,0.8650604954619197
Chad Hall,WR,Day2,6,0.583,0.63,-0.047,0.8706120151962141
Todd Haley,WR,Day3+UDFA,5,0.2,0.234,-0.034,0.8737155812033166
John Garrett,WR,Day3+UDFA,5,0.2,0.234,-0.034,0.8737155812033166
Leonard Hankerson,WR,Day3+UDFA,5,0.2,0.234,-0.034,0.8737155812033166
Tyler Hughes,WR,Day3+UDFA,5,0.2,0.234,-0.034,0.8737155812033166
Ivan Fears,RB,Day2,7,1.171,1.096,0.075,0.87712218525919
Mike Groh,WR,Day3+UDFA,20,0.258,0.234,0.024,0.8778096949870264
Richard Angulo,TE,Day3+UDFA,9,0.333,0.281,0.052,0.8796239518428979
