coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Charlie Baggett,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Hubbard Alexander,WR,8,0,0.0,0.07049345417925479,1.0
Todd Haley,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Terry Robiskie,WR,32,2,0.0625,0.07049345417925479,1.0
Larry Kirksey,WR,23,1,0.043478260869565216,0.07049345417925479,1.0
Jimmy Robinson,WR,20,1,0.05,0.07049345417925479,1.0
David Culley,WR,18,1,0.05555555555555555,0.07049345417925479,1.0
Fred Graves,WR,38,2,0.05263157894736842,0.07049345417925479,1.0
Robert Ford,WR,11,0,0.0,0.07049345417925479,1.0
Richard Mann,WR,32,2,0.0625,0.07049345417925479,1.0
Craig Johnson,QB,8,0,0.0,0.10034602076124567,1.0
Craig Johnson,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Tom Melvin,TE,21,2,0.09523809523809523,0.11368015414258188,1.0
Brian Daboll,WR,13,0,0.0,0.07049345417925479,1.0
Wes Chandler,WR,16,1,0.0625,0.07049345417925479,1.0
Pat McPherson,TE,24,2,0.08333333333333333,0.11368015414258188,1.0
Anthony Lynn,RB,28,3,0.10714285714285714,0.12995896032831739,1.0
Tyke Tolbert,WR,63,4,0.06349206349206349,0.07049345417925479,1.0
Eric Yarber,WR,32,2,0.0625,0.07049345417925479,1.0
Steve Watson,WR,10,0,0.0,0.07049345417925479,1.0
Pep Hamilton,QB,12,1,0.08333333333333333,0.10034602076124567,1.0
Tim Spencer,RB,21,2,0.09523809523809523,0.12995896032831739,1.0
Bruce Arians,WR,8,0,0.0,0.07049345417925479,1.0
Stan Hixon,WR,28,2,0.07142857142857142,0.07049345417925479,1.0
Paul Hackett,QB,8,0,0.0,0.10034602076124567,1.0
Ben McAdoo,TE,8,1,0.125,0.11368015414258188,1.0
Terry Malone,TE,10,1,0.1,0.11368015414258188,1.0
Curtis Johnson,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Mike Sullivan,WR,11,0,0.0,0.07049345417925479,1.0
John DeFilippo,QB,11,1,0.09090909090909091,0.10034602076124567,1.0
Jason Michael,TE,18,2,0.1111111111111111,0.11368015414258188,1.0
Todd Monken,WR,21,1,0.047619047619047616,0.07049345417925479,1.0
Alex Van Pelt,QB,10,1,0.1,0.10034602076124567,1.0
Gerald Brown,RB,8,1,0.125,0.12995896032831739,1.0
Charles London,RB,15,2,0.13333333333333333,0.12995896032831739,1.0
James Urban,WR,17,1,0.058823529411764705,0.07049345417925479,1.0
Bret Ingalls,RB,10,1,0.1,0.12995896032831739,1.0
Richie Anderson,WR,9,0,0.0,0.07049345417925479,1.0
Chad O'Shea,WR,37,2,0.05405405405405406,0.07049345417925479,1.0
Jerry Fontenot,TE,8,1,0.125,0.11368015414258188,1.0
Dave Ragone,QB,9,1,0.1111111111111111,0.10034602076124567,1.0
Ben Sirmans,RB,20,2,0.1,0.12995896032831739,1.0
Andrew Hayes-Stoker,WR,16,1,0.0625,0.07049345417925479,1.0
Ken O'Keefe,WR,8,0,0.0,0.07049345417925479,1.0
Ted Gilmore,WR,12,0,0.0,0.07049345417925479,1.0
Nick Sirianni,WR,13,0,0.0,0.07049345417925479,1.0
Tyrone Wheatley,RB,14,1,0.07142857142857142,0.12995896032831739,1.0
Rick Christophel,TE,12,1,0.08333333333333333,0.11368015414258188,1.0
Mike McDaniel,WR,11,0,0.0,0.07049345417925479,1.0
Ricky Proehl,WR,11,0,0.0,0.07049345417925479,1.0
Kyle Caskey,RB,13,1,0.07692307692307693,0.12995896032831739,1.0
Kevin Patullo,WR,8,0,0.0,0.07049345417925479,1.0
Joel Thomas,RB,20,2,0.1,0.12995896032831739,1.0
Richard Angulo,TE,14,1,0.07142857142857142,0.11368015414258188,1.0
Ronald Curry,WR,15,1,0.06666666666666667,0.07049345417925479,1.0
Jemal Singleton,RB,13,1,0.07692307692307693,0.12995896032831739,1.0
Greg Lewis,WR,19,1,0.05263157894736842,0.07049345417925479,1.0
Nick Caley,TE,15,1,0.06666666666666667,0.11368015414258188,1.0
Lance Taylor,WR,10,0,0.0,0.07049345417925479,1.0
Mike LaFleur,WR,8,0,0.0,0.07049345417925479,1.0
Frisman Jackson,WR,27,1,0.037037037037037035,0.07049345417925479,1.0
Joe Bleymaier,WR,11,0,0.0,0.07049345417925479,1.0
Deland McCullough,RB,12,1,0.08333333333333333,0.12995896032831739,1.0
Tom Manning,TE,8,1,0.125,0.11368015414258188,1.0
Nate Carroll,WR,10,0,0.0,0.07049345417925479,1.0
Mike Furrey,WR,9,0,0.0,0.07049345417925479,1.0
Eddie Faulkner,RB,12,1,0.08333333333333333,0.12995896032831739,1.0
Justin Outten,TE,10,1,0.1,0.11368015414258188,1.0
John Dunn,TE,12,1,0.08333333333333333,0.11368015414258188,1.0
Steve Heiden,TE,9,1,0.1111111111111111,0.11368015414258188,1.0
Chad Hall,WR,20,1,0.05,0.07049345417925479,1.0
Troy Brown,WR,10,0,0.0,0.07049345417925479,1.0
Jason Vrable,WR,17,1,0.058823529411764705,0.07049345417925479,1.0
Josh Grizzard,WR,8,0,0.0,0.07049345417925479,1.0
Derrick Foster,RB,16,2,0.125,0.12995896032831739,1.0
Michael Pitre,RB,8,1,0.125,0.12995896032831739,1.0
Taylor Embree,RB,12,1,0.08333333333333333,0.12995896032831739,1.0
Kevin Koger,TE,8,1,0.125,0.11368015414258188,1.0
Luke Steckel,TE,10,1,0.1,0.11368015414258188,1.0
Chris Beatty,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Tee Martin,WR,8,0,0.0,0.07049345417925479,1.0
Jim Dray,TE,9,1,0.1111111111111111,0.11368015414258188,1.0
Leonard Hankerson,WR,11,0,0.0,0.07049345417925479,1.0
Reggie Wayne,WR,8,0,0.0,0.07049345417925479,1.0
Kodi Burns,WR,10,0,0.0,0.07049345417925479,1.0
Ross Douglas,WR,9,0,0.0,0.07049345417925479,1.0
Keary Colbert,WR,10,0,0.0,0.07049345417925479,1.0
Ryan Mahaffey,WR,8,0,0.0,0.07049345417925479,1.0
Keith Williams,WR,10,0,0.0,0.07049345417925479,1.0
