coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Mike Mularkey,TE,8,1,0.125,0.11368015414258188,1.0
Chan Gailey,TE,11,1,0.09090909090909091,0.11368015414258188,1.0
Chan Gailey,WR,25,1,0.04,0.07049345417925479,1.0
Sherman Lewis,WR,12,0,0.0,0.07049345417925479,1.0
Clyde Christensen,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Gary Kubiak,RB,18,2,0.1111111111111111,0.12995896032831739,1.0
Gary Kubiak,TE,12,1,0.08333333333333333,0.11368015414258188,1.0
Gary Kubiak,WR,21,1,0.047619047619047616,0.07049345417925479,1.0
Charlie Weis,WR,13,0,0.0,0.07049345417925479,1.0
Bruce Arians,TE,14,1,0.07142857142857142,0.11368015414258188,1.0
Matt Cavanaugh,TE,10,1,0.1,0.11368015414258188,1.0
Paul Hackett,WR,9,0,0.0,0.07049345417925479,1.0
Maurice Carthon,WR,12,0,0.0,0.07049345417925479,1.0
John Shoop,WR,9,0,0.0,0.07049345417925479,1.0
Mike Sheppard,WR,9,0,0.0,0.07049345417925479,1.0
Gil Haskell,WR,12,0,0.0,0.07049345417925479,1.0
Marc Trestman,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Marc Trestman,WR,15,1,0.06666666666666667,0.07049345417925479,1.0
Scott Linehan,TE,19,2,0.10526315789473684,0.11368015414258188,1.0
Scott Linehan,WR,35,2,0.05714285714285714,0.07049345417925479,1.0
Kevin Gilbride,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Brad Childress,RB,15,2,0.13333333333333333,0.12995896032831739,1.0
Brad Childress,TE,10,1,0.1,0.11368015414258188,1.0
Brad Childress,WR,20,1,0.05,0.07049345417925479,1.0
Bill Muir,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Bill Muir,WR,20,1,0.05,0.07049345417925479,1.0
Cam Cameron,TE,9,1,0.1111111111111111,0.11368015414258188,1.0
Chris Palmer,RB,10,1,0.1,0.12995896032831739,1.0
Chris Palmer,WR,12,0,0.0,0.07049345417925479,1.0
Dan Henning,QB,8,0,0.0,0.10034602076124567,1.0
Bill Musgrave,QB,8,0,0.0,0.10034602076124567,1.0
Bill Musgrave,RB,17,2,0.11764705882352941,0.12995896032831739,1.0
Bill Musgrave,WR,26,1,0.038461538461538464,0.07049345417925479,1.0
Jimmy Raye,TE,8,1,0.125,0.11368015414258188,1.0
Jimmy Raye,WR,12,0,0.0,0.07049345417925479,1.0
Rob Chudzinski,QB,10,1,0.1,0.10034602076124567,1.0
Rob Chudzinski,TE,13,1,0.07692307692307693,0.11368015414258188,1.0
Rob Chudzinski,WR,23,1,0.043478260869565216,0.07049345417925479,1.0
Terry Robiskie,WR,12,0,0.0,0.07049345417925479,1.0
Norm Chow,WR,10,0,0.0,0.07049345417925479,1.0
Marty Mornhinweg,QB,11,1,0.09090909090909091,0.10034602076124567,1.0
Marty Mornhinweg,TE,16,1,0.0625,0.11368015414258188,1.0
Tom Clements,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Tom Clements,TE,8,1,0.125,0.11368015414258188,1.0
Ron Turner,RB,8,1,0.125,0.12995896032831739,1.0
Ron Turner,WR,12,0,0.0,0.07049345417925479,1.0
Josh McDaniels,TE,23,2,0.08695652173913043,0.11368015414258188,1.0
Josh McDaniels,WR,42,3,0.07142857142857142,0.07049345417925479,1.0
Brian Schottenheimer,QB,11,1,0.09090909090909091,0.10034602076124567,1.0
Jeff Davidson,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Jeff Davidson,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Todd Haley,QB,8,0,0.0,0.10034602076124567,1.0
Todd Haley,TE,14,1,0.07142857142857142,0.11368015414258188,1.0
Dirk Koetter,WR,34,2,0.058823529411764705,0.07049345417925479,1.0
Clarence Shelmon,WR,9,0,0.0,0.07049345417925479,1.0
Hue Jackson,RB,10,1,0.1,0.12995896032831739,1.0
Hue Jackson,TE,10,1,0.1,0.11368015414258188,1.0
Joe Philbin,TE,10,1,0.1,0.11368015414258188,1.0
Kyle Shanahan,RB,20,2,0.1,0.12995896032831739,1.0
Kyle Shanahan,WR,28,2,0.07142857142857142,0.07049345417925479,1.0
"Pete Carmichael, Jr.",RB,9,1,0.1111111111111111,0.12995896032831739,1.0
"Pete Carmichael, Jr.",WR,8,0,0.0,0.07049345417925479,1.0
Jason Garrett,WR,12,0,0.0,0.07049345417925479,1.0
Alex Van Pelt,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Alex Van Pelt,TE,9,1,0.1111111111111111,0.11368015414258188,1.0
Brian Daboll,QB,12,1,0.08333333333333333,0.10034602076124567,1.0
Curtis Modkins,RB,9,1,0.1111111111111111,0.12995896032831739,1.0
Jeremy Bates,WR,11,0,0.0,0.07049345417925479,1.0
Greg Roman,QB,11,1,0.09090909090909091,0.10034602076124567,1.0
Greg Roman,TE,20,2,0.1,0.11368015414258188,1.0
Jay Gruden,RB,10,1,0.1,0.12995896032831739,1.0
Jay Gruden,WR,15,1,0.06666666666666667,0.07049345417925479,1.0
Jim Bob Cooter,QB,8,0,0.0,0.10034602076124567,1.0
Jim Bob Cooter,RB,16,2,0.125,0.12995896032831739,1.0
Mike Sullivan,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Mike Sullivan,WR,14,1,0.07142857142857142,0.07049345417925479,1.0
Dowell Loggains,TE,14,1,0.07142857142857142,0.11368015414258188,1.0
Mike Shula,RB,8,1,0.125,0.12995896032831739,1.0
Mike Shula,WR,22,1,0.045454545454545456,0.07049345417925479,1.0
Pep Hamilton,WR,13,0,0.0,0.07049345417925479,1.0
Doug Pederson,WR,12,0,0.0,0.07049345417925479,1.0
Harold Goodwin,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Harold Goodwin,WR,9,0,0.0,0.07049345417925479,1.0
Nathaniel Hackett,QB,10,1,0.1,0.10034602076124567,1.0
Nathaniel Hackett,RB,23,3,0.13043478260869565,0.12995896032831739,1.0
Frank Reich,WR,15,1,0.06666666666666667,0.07049345417925479,1.0
Sean McVay,WR,8,0,0.0,0.07049345417925479,1.0
Jason Michael,WR,8,0,0.0,0.07049345417925479,1.0
Pete Carmichael,WR,23,1,0.043478260869565216,0.07049345417925479,1.0
George Godsey,RB,10,1,0.1,0.12995896032831739,1.0
John DeFilippo,WR,11,0,0.0,0.07049345417925479,1.0
Rob Boras,WR,8,0,0.0,0.07049345417925479,1.0
Todd Monken,WR,22,1,0.045454545454545456,0.07049345417925479,1.0
Matt Nagy,RB,11,1,0.09090909090909091,0.12995896032831739,1.0
Matt Nagy,WR,19,1,0.05263157894736842,0.07049345417925479,1.0
