coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
Steve Mariucci,WR,24,2,0.08333333333333333,0.0410126582278481,0.25822419514649164
Jack Del Rio,TE,28,0,0.0,0.07368918280585735,0.2619246727911453
Ken Whisenhunt,RB,23,0,0.0,0.09202226345083488,0.2627473790186713
Rex Ryan,RB,23,0,0.0,0.09202226345083488,0.2627473790186713
John Harbaugh,WR,88,1,0.011363636363636364,0.0410126582278481,0.267544089535791
Bill Belichick,RB,91,5,0.054945054945054944,0.09202226345083488,0.26861975592190535
Jack Del Rio,WR,51,0,0.0,0.0410126582278481,0.2714821339786453
Ron Rivera,QB,19,2,0.10526315789473684,0.05466970387243736,0.2787465001613526
Romeo Crennel,TE,15,2,0.13333333333333333,0.07368918280585735,0.3043082942522699
Norv Turner,RB,27,4,0.14814814814814814,0.09202226345083488,0.3056553301008531
Sean McVay,RB,27,4,0.14814814814814814,0.09202226345083488,0.3056553301008531
Pat Shurmur,TE,16,2,0.125,0.07368918280585735,0.3323095936994625
Jay Gruden,TE,16,2,0.125,0.07368918280585735,0.3323095936994625
Mike Zimmer,RB,29,4,0.13793103448275862,0.09202226345083488,0.33459913446424616
Jim Caldwell,WR,29,2,0.06896551724137931,0.0410126582278481,0.3351330934489482
Raheem Morris,TE,17,2,0.11764705882352941,0.07368918280585735,0.35998836509019566
Ken Whisenhunt,WR,32,2,0.0625,0.0410126582278481,0.38025660864845345
Mike Tice,RB,15,0,0.0,0.09202226345083488,0.38780003593618717
John Harbaugh,TE,47,5,0.10638297872340426,0.07368918280585735,0.38919413540448944
Steve Mariucci,RB,16,0,0.0,0.09202226345083488,0.389475787954011
Jack Del Rio,RB,38,5,0.13157894736842105,0.09202226345083488,0.390269879537796
Dick Jauron,TE,20,0,0.0,0.07368918280585735,0.3934021059694145
Bill O'Brien,TE,20,0,0.0,0.07368918280585735,0.3934021059694145
Gus Bradley,RB,17,0,0.0,0.09202226345083488,0.3940436900461888
Adam Gase,RB,17,0,0.0,0.09202226345083488,0.3940436900461888
Norv Turner,WR,35,0,0.0,0.0410126582278481,0.40090806679078866
Zac Taylor,TE,22,0,0.0,0.07368918280585735,0.40150942964025
Doug Marrone,WR,36,0,0.0,0.0410126582278481,0.4017370552915282
Rex Ryan,WR,37,0,0.0,0.0410126582278481,0.403119748262288
Dick Jauron,WR,38,0,0.0,0.0410126582278481,0.4050257366562533
Todd Bowles,TE,23,0,0.0,0.07368918280585735,0.40787171512444775
Mike Vrabel,TE,23,0,0.0,0.07368918280585735,0.40787171512444775
Doug Pederson,WR,40,0,0.0,0.0410126582278481,0.41029042098027
Matt LaFleur,WR,45,3,0.06666666666666667,0.0410126582278481,0.4306531878804768
Bill Belichick,WR,108,6,0.05555555555555555,0.0410126582278481,0.4534003310234923
Jon Gruden,TE,28,3,0.10714285714285714,0.07368918280585735,0.4565690121438778
Jason Garrett,WR,52,3,0.057692307692307696,0.0410126582278481,0.47174399045235504
John Fox,RB,54,3,0.05555555555555555,0.09202226345083488,0.4772373626020709
Doug Marrone,RB,24,3,0.125,0.09202226345083488,0.47985122246075346
Matt LaFleur,RB,24,3,0.125,0.09202226345083488,0.47985122246075346
Brian Daboll,WR,17,1,0.058823529411764705,0.0410126582278481,0.5100208961801049
John Harbaugh,RB,63,7,0.1111111111111111,0.09202226345083488,0.5128289231080476
Doug Pederson,RB,30,1,0.03333333333333333,0.09202226345083488,0.5176073060558115
Gary Kubiak,RB,35,4,0.11428571428571428,0.09202226345083488,0.5577834469942649
Leslie Frazier,WR,20,1,0.05,0.0410126582278481,0.5681220018033426
Tom Coughlin,RB,39,2,0.05128205128205128,0.09202226345083488,0.575749727236748
Ron Rivera,RB,39,2,0.05128205128205128,0.09202226345083488,0.575749727236748
Bruce Arians,RB,39,2,0.05128205128205128,0.09202226345083488,0.575749727236748
Mike Tomlin,TE,49,2,0.04081632653061224,0.07368918280585735,0.5782704771359098
Jim Haslett,WR,21,1,0.047619047619047616,0.0410126582278481,0.5859246063091591
Sean Payton,TE,56,5,0.08928571428571429,0.07368918280585735,0.6021002055975722
Joe Philbin,WR,22,1,0.045454545454545456,0.0410126582278481,0.6029977072961574
