coach_name,n_candidates,n_breakouts,breakout_rate,expected_rate_weighted,p_value
Mike LaFleur,26,1,0.038461538461538464,0.0855076667145454,0.7218511147357211
Jim Bob Cooter,32,3,0.09375,0.08928517763064947,0.7609355524503238
Brad Childress,33,3,0.09090909090909091,0.0867081629238744,0.7614017259921507
Rob Chudzinski,34,2,0.058823529411764705,0.08625730729020373,0.7655806458689982
Bill Musgrave,35,2,0.05714285714285714,0.09001589792266369,0.7666396383426465
Mike McCarthy,19,1,0.05263157894736842,0.09442129715560188,1.0
Ron Turner,19,1,0.05263157894736842,0.09456633099727878,1.0
Jimmy Raye,22,2,0.09090909090909091,0.08856167111715975,1.0
Marc Trestman,20,1,0.05,0.0909972312873286,1.0
Bill Muir,33,2,0.06060606060606061,0.08805732795930515,1.0
Jeff Davidson,18,1,0.05555555555555555,0.09083695092369713,1.0
Tom Rossley,19,1,0.05263157894736842,0.09381127815900508,1.0
Greg Olson,66,5,0.07575757575757576,0.08401306354670025,1.0
Matt Cavanaugh,20,1,0.05,0.08031901693136709,1.0
Mike Sherman,15,1,0.06666666666666667,0.08984756323104791,1.0
Hue Jackson,19,1,0.05263157894736842,0.08403291370192352,1.0
Alex Van Pelt,26,2,0.07692307692307693,0.08903845653494126,1.0
Harold Goodwin,21,1,0.047619047619047616,0.08512277322264218,1.0
Todd Haley,30,2,0.06666666666666667,0.08868852713751399,1.0
Frank Reich,15,1,0.06666666666666667,0.0882410720783547,1.0
Ben McAdoo,18,1,0.05555555555555555,0.08671855651017848,1.0
Pete Carmichael,30,2,0.06666666666666667,0.09145386415931772,1.0
George Godsey,16,1,0.0625,0.0864055091374583,1.0
Greg Roman,56,4,0.07142857142857142,0.0862526630024836,1.0
Todd Monken,37,3,0.08108108108108109,0.08876972573264577,1.0
Scott Turner,27,2,0.07407407407407407,0.0867695869359537,1.0
Nick Sirianni,16,1,0.0625,0.08093298051553231,1.0
Dave Ragone,18,1,0.05555555555555555,0.08612557231486632,1.0
Press Taylor,17,1,0.058823529411764705,0.08467771845007081,1.0
Drew Petzing,16,1,0.0625,0.08423231646208222,1.0
Adam Stenavich,20,1,0.05,0.0890747773898136,1.0
